Year,Geography,Age group and family type,Statistics,GeoCode,Value
1999,,,,,63.6
2005,,,,,65.1
2012,,,,,65.3
2016,,,,,66.6
2019,,,,,67.1
1999,Canada,Persons all ages and family types,Persons who are asset resilient for at least 1 month,,74.5
1999,Canada,Persons all ages and family types,Persons who are asset resilient for at least 6 months,,54.5
1999,Canada,Persons under 18 years old,Persons who are asset resilient for at least 1 month,,67.8
1999,Canada,Persons under 18 years old,Persons who are asset resilient for at least 3 months,,55.7
1999,Canada,Persons under 18 years old,Persons who are asset resilient for at least 6 months,,45.5
1999,Canada,Persons 18 to 64 years old,Persons who are asset resilient for at least 1 month,,75.3
1999,Canada,Persons 18 to 64 years old,Persons who are asset resilient for at least 3 months,,64.0
1999,Canada,Persons 18 to 64 years old,Persons who are asset resilient for at least 6 months,,55.0
1999,Canada,Persons 65 years and older,Persons who are asset resilient for at least 1 month,,83.7
1999,Canada,Persons 65 years and older,Persons who are asset resilient for at least 3 months,,76.6
1999,Canada,Persons 65 years and older,Persons who are asset resilient for at least 6 months,,69.9
1999,Canada,Persons in an economic family,Persons who are asset resilient for at least 1 month,,75.4
1999,Canada,Persons in an economic family,Persons who are asset resilient for at least 3 months,,64.6
1999,Canada,Persons in an economic family,Persons who are asset resilient for at least 6 months,,55.4
1999,Canada,Persons in a couple only family,Persons who are asset resilient for at least 1 month,,83.8
1999,Canada,Persons in a couple only family,Persons who are asset resilient for at least 3 months,,76.4
1999,Canada,Persons in a couple only family,Persons who are asset resilient for at least 6 months,,69.2
1999,Canada,Persons in a couple with children family,Persons who are asset resilient for at least 1 month,,74.8
1999,Canada,Persons in a couple with children family,Persons who are asset resilient for at least 3 months,,61.7
1999,Canada,Persons in a couple with children family,Persons who are asset resilient for at least 6 months,,50.6
1999,Canada,Persons in a lone-parent family,Persons who are asset resilient for at least 1 month,,39.7
1999,Canada,Persons in a lone-parent family,Persons who are asset resilient for at least 3 months,,30.1
1999,Canada,Persons in a lone-parent family,Persons who are asset resilient for at least 6 months,,24.1
1999,Canada,Persons in an other economic family type,Persons who are asset resilient for at least 1 month,,80.1
1999,Canada,Persons in an other economic family type,Persons who are asset resilient for at least 3 months,,70.6
1999,Canada,Persons in an other economic family type,Persons who are asset resilient for at least 6 months,,63.0
1999,Canada,Persons not in an economic family,Persons who are asset resilient for at least 1 month,,69.0
1999,Canada,Persons not in an economic family,Persons who are asset resilient for at least 3 months,,56.9
1999,Canada,Persons not in an economic family,Persons who are asset resilient for at least 6 months,,48.6
1999,Newfoundland and Labrador,Persons all ages and family types,Persons who are asset resilient for at least 1 month,10,56.8
1999,Newfoundland and Labrador,Persons all ages and family types,Persons who are asset resilient for at least 3 months,10,42.7
1999,Newfoundland and Labrador,Persons all ages and family types,Persons who are asset resilient for at least 6 months,10,33.5
1999,Newfoundland and Labrador,Persons under 18 years old,Persons who are asset resilient for at least 1 month,10,50.0
1999,Newfoundland and Labrador,Persons under 18 years old,Persons who are asset resilient for at least 3 months,10,38.3
1999,Newfoundland and Labrador,Persons under 18 years old,Persons who are asset resilient for at least 6 months,10,27.7
