Year,Geography,Economic family type,GeoCode,Value
2015,,,,66700.0
2016,,,,66600.0
2017,,,,68300.0
2018,,,,68500.0
2019,,,,68800.0
2020,,,,73700.0
2021,,,,73000.0
2022,,,,70500.0
2015,Canada,Economic families,,92400.0
2015,Canada,Elderly families,,68900.0
2015,Canada,Elderly couples,,67200.0
2015,Canada,Other elderly families,,76200.0
2015,Canada,Non-elderly families,,99100.0
2015,Canada,Couples,,89400.0
2015,Canada,Couples with children,,112800.0
2015,Canada,Couples with other relatives,,137100.0
2015,Canada,Lone-parent families,,54200.0
2015,Canada,Male lone-parent families,,68900.0
2015,Canada,Female lone-parent families,,50900.0
2015,Canada,Other non-elderly families,,80800.0
2015,Canada,Persons not in an economic family,,33800.0
2015,Canada,Elderly persons not in an economic family,,31500.0
2015,Canada,Elderly males not in an economic family,,32600.0
2015,Canada,Elderly females not in an economic family,,30800.0
2015,Canada,Non-elderly persons not in an economic family,,35200.0
2015,Canada,Non-elderly males not in an economic family,,38100.0
2015,Canada,Non-elderly females not in an economic family,,31300.0
2015,Atlantic provinces,Economic families and persons not in an economic family,,59900.0
2015,Atlantic provinces,Economic families,,82300.0
2015,Atlantic provinces,Elderly families,,58700.0
2015,Atlantic provinces,Elderly couples,,57900.0
2015,Atlantic provinces,Other elderly families,,62500.0
2015,Atlantic provinces,Non-elderly families,,91200.0
2015,Atlantic provinces,Couples,,81000.0
2015,Atlantic provinces,Couples with children,,107700.0
2015,Atlantic provinces,Couples with other relatives,,122600.0
2015,Atlantic provinces,Lone-parent families,,45900.0
2015,Atlantic provinces,Male lone-parent families,,55800.0
2015,Atlantic provinces,Female lone-parent families,,44500.0
2015,Atlantic provinces,Other non-elderly families,,67800.0
2015,Atlantic provinces,Persons not in an economic family,,28800.0
2015,Atlantic provinces,Elderly persons not in an economic family,,28000.0
2015,Atlantic provinces,Elderly males not in an economic family,,31100.0
2015,Atlantic provinces,Elderly females not in an economic family,,26900.0
2015,Atlantic provinces,Non-elderly persons not in an economic family,,29500.0
2015,Atlantic provinces,Non-elderly males not in an economic family,,31600.0
2015,Atlantic provinces,Non-elderly females not in an economic family,,28200.0
2015,Newfoundland and Labrador,Economic families and persons not in an economic family,10,64400.0
2015,Newfoundland and Labrador,Economic families,10,91000.0
2015,Newfoundland and Labrador,Elderly families,10,50100.0
2015,Newfoundland and Labrador,Elderly couples,10,47800.0
2015,Newfoundland and Labrador,Other elderly families,10,65300.0
2015,Newfoundland and Labrador,Non-elderly families,10,102600.0
2015,Newfoundland and Labrador,Couples,10,84700.0
2015,Newfoundland and Labrador,Couples with children,10,115800.0
2015,Newfoundland and Labrador,Couples with other relatives,10,150700.0
2015,Newfoundland and Labrador,Lone-parent families,10,40000.0
2015,Newfoundland and Labrador,Male lone-parent families,10,
2015,Newfoundland and Labrador,Female lone-parent families,10,34900.0
2015,Newfoundland and Labrador,Other non-elderly families,10,81800.0
2015,Newfoundland and Labrador,Persons not in an economic family,10,27200.0
2015,Newfoundland and Labrador,Elderly persons not in an economic family,10,26300.0
2015,Newfoundland and Labrador,Elderly males not in an economic family,10,30500.0
2015,Newfoundland and Labrador,Elderly females not in an economic family,10,24700.0
2015,Newfoundland and Labrador,Non-elderly persons not in an economic family,10,28200.0
2015,Newfoundland and Labrador,Non-elderly males not in an economic family,10,31800.0
2015,Newfoundland and Labrador,Non-elderly females not in an economic family,10,25100.0
2015,Prince Edward Island,Economic families and persons not in an economic family,11,61400.0
2015,Prince Edward Island,Economic families,11,79200.0
2015,Prince Edward Island,Elderly families,11,64100.0
2015,Prince Edward Island,Elderly couples,11,63600.0
2015,Prince Edward Island,Other elderly families,11,66900.0
2015,Prince Edward Island,Non-elderly families,11,85300.0
2015,Prince Edward Island,Couples,11,75100.0
2015,Prince Edward Island,Couples with children,11,98400.0
2015,Prince Edward Island,Couples with other relatives,11,115800.0
2015,Prince Edward Island,Lone-parent families,11,44700.0
2015,Prince Edward Island,Male lone-parent families,11,
2015,Prince Edward Island,Female lone-parent families,11,44700.0
2015,Prince Edward Island,Other non-elderly families,11,
2015,Prince Edward Island,Persons not in an economic family,11,29900.0
2015,Prince Edward Island,Elderly persons not in an economic family,11,28600.0
2015,Prince Edward Island,Elderly males not in an economic family,11,30400.0
2015,Prince Edward Island,Elderly females not in an economic family,11,27500.0
2015,Prince Edward Island,Non-elderly persons not in an economic family,11,30500.0
2015,Prince Edward Island,Non-elderly males not in an economic family,11,31600.0
2015,Prince Edward Island,Non-elderly females not in an economic family,11,27500.0
2015,Nova Scotia,Economic families and persons not in an economic family,12,57000.0
2015,Nova Scotia,Economic families,12,82100.0
2015,Nova Scotia,Elderly families,12,61400.0
2015,Nova Scotia,Elderly couples,12,59300.0
2015,Nova Scotia,Other elderly families,12,68400.0
2015,Nova Scotia,Non-elderly families,12,88100.0
2015,Nova Scotia,Couples,12,79200.0
2015,Nova Scotia,Couples with children,12,106000.0
2015,Nova Scotia,Couples with other relatives,12,122600.0
2015,Nova Scotia,Lone-parent families,12,45700.0
2015,Nova Scotia,Male lone-parent families,12,
2015,Nova Scotia,Female lone-parent families,12,45700.0
2015,Nova Scotia,Other non-elderly families,12,72000.0
2015,Nova Scotia,Persons not in an economic family,12,29700.0
2015,Nova Scotia,Elderly persons not in an economic family,12,28500.0
2015,Nova Scotia,Elderly males not in an economic family,12,30700.0
2015,Nova Scotia,Elderly females not in an economic family,12,28000.0
2015,Nova Scotia,Non-elderly persons not in an economic family,12,30900.0
2015,Nova Scotia,Non-elderly males not in an economic family,12,32400.0
2015,Nova Scotia,Non-elderly females not in an economic family,12,28200.0
2015,New Brunswick,Economic families and persons not in an economic family,13,60000.0
2015,New Brunswick,Economic families,13,79400.0
2015,New Brunswick,Elderly families,13,60200.0
2015,New Brunswick,Elderly couples,13,61200.0
2015,New Brunswick,Other elderly families,13,51300.0
2015,New Brunswick,Non-elderly families,13,87200.0
2015,New Brunswick,Couples,13,80400.0
2015,New Brunswick,Couples with children,13,100700.0
2015,New Brunswick,Couples with other relatives,13,104400.0
2015,New Brunswick,Lone-parent families,13,52500.0
2015,New Brunswick,Male lone-parent families,13,
2015,New Brunswick,Female lone-parent families,13,46700.0
2015,New Brunswick,Other non-elderly families,13,58600.0
2015,New Brunswick,Persons not in an economic family,13,29000.0
2015,New Brunswick,Elderly persons not in an economic family,13,28600.0
2015,New Brunswick,Elderly males not in an economic family,13,32000.0
2015,New Brunswick,Elderly females not in an economic family,13,26500.0
2015,New Brunswick,Non-elderly persons not in an economic family,13,29000.0
2015,New Brunswick,Non-elderly males not in an economic family,13,29900.0
2015,New Brunswick,Non-elderly females not in an economic family,13,28600.0
2015,Quebec,Economic families and persons not in an economic family,24,57700.0
2015,Quebec,Economic families,24,82400.0
2015,Quebec,Elderly families,24,60200.0
2015,Quebec,Elderly couples,24,59100.0
2015,Quebec,Other elderly families,24,67400.0
2015,Quebec,Non-elderly families,24,88400.0
2015,Quebec,Couples,24,79200.0
2015,Quebec,Couples with children,24,103100.0
2015,Quebec,Couples with other relatives,24,113900.0
2015,Quebec,Lone-parent families,24,57000.0
2015,Quebec,Male lone-parent families,24,73100.0
2015,Quebec,Female lone-parent families,24,55000.0
2015,Quebec,Other non-elderly families,24,77500.0
2015,Quebec,Persons not in an economic family,24,32100.0
2015,Quebec,Elderly persons not in an economic family,24,29400.0
2015,Quebec,Elderly males not in an economic family,24,29400.0
2015,Quebec,Elderly females not in an economic family,24,29500.0
2015,Quebec,Non-elderly persons not in an economic family,24,34400.0
2015,Quebec,Non-elderly males not in an economic family,24,36300.0
2015,Quebec,Non-elderly females not in an economic family,24,31600.0
2015,Ontario,Economic families and persons not in an economic family,35,69700.0
2015,Ontario,Economic families,35,96200.0
2015,Ontario,Elderly families,35,76300.0
2015,Ontario,Elderly couples,35,74600.0
2015,Ontario,Other elderly families,35,84200.0
2015,Ontario,Non-elderly families,35,101500.0
2015,Ontario,Couples,35,89600.0
2015,Ontario,Couples with children,35,114500.0
2015,Ontario,Couples with other relatives,35,146500.0
2015,Ontario,Lone-parent families,35,52000.0
2015,Ontario,Male lone-parent families,35,60000.0
2015,Ontario,Female lone-parent families,35,49400.0
2015,Ontario,Other non-elderly families,35,80800.0
2015,Ontario,Persons not in an economic family,35,34400.0
2015,Ontario,Elderly persons not in an economic family,35,34800.0
2015,Ontario,Elderly males not in an economic family,35,38000.0
2015,Ontario,Elderly females not in an economic family,35,32800.0
2015,Ontario,Non-elderly persons not in an economic family,35,34400.0
2015,Ontario,Non-elderly males not in an economic family,35,41100.0
2015,Ontario,Non-elderly females not in an economic family,35,30000.0
2015,Prairie provinces,Economic families and persons not in an economic family,,80000.0
2015,Prairie provinces,Economic families,,107100.0
2015,Prairie provinces,Elderly families,,75700.0
2015,Prairie provinces,Elderly couples,,74000.0
2015,Prairie provinces,Other elderly families,,85700.0
2015,Prairie provinces,Non-elderly families,,113600.0
2015,Prairie provinces,Couples,,106900.0
2015,Prairie provinces,Couples with children,,120500.0
2015,Prairie provinces,Couples with other relatives,,158700.0
2015,Prairie provinces,Lone-parent families,,55800.0
2015,Prairie provinces,Male lone-parent families,,85700.0
2015,Prairie provinces,Female lone-parent families,,50300.0
2015,Prairie provinces,Other non-elderly families,,97500.0
2015,Prairie provinces,Persons not in an economic family,,42800.0
2015,Prairie provinces,Elderly persons not in an economic family,,35800.0
2015,Prairie provinces,Elderly males not in an economic family,,40700.0
2015,Prairie provinces,Elderly females not in an economic family,,34300.0
2015,Prairie provinces,Non-elderly persons not in an economic family,,45800.0
