Year,Geography,Type of work,National Occupational Classification (NOC),Age,GeoCode,Value
2015,,,,,,0.84
2016,,,,,,0.83
2017,,,,,,0.84
2018,,,,,,0.87
2019,,,,,,0.85
2020,,,,,,0.86
2021,,,,,,0.86
2022,,,,,,0.84
2015,Canada,Both full- and part-time employees,"Total employees, all occupations",15 to 24 years,,0.92
2015,Canada,Both full- and part-time employees,"Total employees, all occupations",25 to 54 years,,0.84
2015,Canada,Both full- and part-time employees,"Total employees, all occupations",55 years and over,,0.82
2015,Canada,Both full- and part-time employees,Management occupations,15 years and over,,0.84
2015,Canada,Both full- and part-time employees,Management occupations,15 to 24 years,,0.93
2015,Canada,Both full- and part-time employees,Management occupations,25 to 54 years,,0.85
2015,Canada,Both full- and part-time employees,Management occupations,55 years and over,,0.87
2015,Canada,Both full- and part-time employees,"Business, finance and administration occupations",15 years and over,,0.9
2015,Canada,Both full- and part-time employees,"Business, finance and administration occupations",15 to 24 years,,1.01
2015,Canada,Both full- and part-time employees,"Business, finance and administration occupations",25 to 54 years,,0.89
2015,Canada,Both full- and part-time employees,"Business, finance and administration occupations",55 years and over,,0.84
2015,Canada,Both full- and part-time employees,Natural and applied sciences and related occupations,15 years and over,,0.88
2015,Canada,Both full- and part-time employees,Natural and applied sciences and related occupations,15 to 24 years,,0.91
2015,Canada,Both full- and part-time employees,Natural and applied sciences and related occupations,25 to 54 years,,0.9
2015,Canada,Both full- and part-time employees,Natural and applied sciences and related occupations,55 years and over,,0.89
2015,Canada,Both full- and part-time employees,Health occupations,15 years and over,,0.96
2015,Canada,Both full- and part-time employees,Health occupations,15 to 24 years,,1.0
2015,Canada,Both full- and part-time employees,Health occupations,25 to 54 years,,0.92
2015,Canada,Both full- and part-time employees,Health occupations,55 years and over,,1.13
2015,Canada,Both full- and part-time employees,"Occupations in education, law and social, community and government services",15 years and over,,0.74
2015,Canada,Both full- and part-time employees,"Occupations in education, law and social, community and government services",15 to 24 years,,0.97
2015,Canada,Both full- and part-time employees,"Occupations in education, law and social, community and government services",25 to 54 years,,0.78
2015,Canada,Both full- and part-time employees,"Occupations in education, law and social, community and government services",55 years and over,,0.64
2015,Canada,Both full- and part-time employees,"Occupations in art, culture, recreation and sport",15 years and over,,0.92
2015,Canada,Both full- and part-time employees,"Occupations in art, culture, recreation and sport",15 to 24 years,,0.95
2015,Canada,Both full- and part-time employees,"Occupations in art, culture, recreation and sport",25 to 54 years,,0.96
2015,Canada,Both full- and part-time employees,"Occupations in art, culture, recreation and sport",55 years and over,,0.86
2015,Canada,Both full- and part-time employees,Sales and service occupations,15 years and over,,0.87
2015,Canada,Both full- and part-time employees,Sales and service occupations,15 to 24 years,,1.0
2015,Canada,Both full- and part-time employees,Sales and service occupations,25 to 54 years,,0.82
2015,Canada,Both full- and part-time employees,Sales and service occupations,55 years and over,,0.81
2015,Canada,Both full- and part-time employees,"Trades, transport and equipment operators and related occupations",15 years and over,,0.75
2015,Canada,Both full- and part-time employees,"Trades, transport and equipment operators and related occupations",15 to 24 years,,0.81
2015,Canada,Both full- and part-time employees,"Trades, transport and equipment operators and related occupations",25 to 54 years,,0.77
2015,Canada,Both full- and part-time employees,"Trades, transport and equipment operators and related occupations",55 years and over,,0.65
2015,Canada,Both full- and part-time employees,"Natural resources, agriculture and related production occupations",15 years and over,,0.62
2015,Canada,Both full- and part-time employees,"Natural resources, agriculture and related production occupations",15 to 24 years,,0.82
2015,Canada,Both full- and part-time employees,"Natural resources, agriculture and related production occupations",25 to 54 years,,0.6
2015,Canada,Both full- and part-time employees,"Natural resources, agriculture and related production occupations",55 years and over,,0.59
2015,Canada,Both full- and part-time employees,Occupations in manufacturing and utilities,15 years and over,,0.74
2015,Canada,Both full- and part-time employees,Occupations in manufacturing and utilities,15 to 24 years,,0.95
2015,Canada,Both full- and part-time employees,Occupations in manufacturing and utilities,25 to 54 years,,0.74
2015,Canada,Both full- and part-time employees,Occupations in manufacturing and utilities,55 years and over,,0.65
2015,Canada,Full-time employees,"Total employees, all occupations",15 years and over,,0.87
2015,Canada,Full-time employees,"Total employees, all occupations",15 to 24 years,,0.88
2015,Canada,Full-time employees,"Total employees, all occupations",25 to 54 years,,0.87
2015,Canada,Full-time employees,"Total employees, all occupations",55 years and over,,0.84
2015,Canada,Full-time employees,Management occupations,15 years and over,,0.86
2015,Canada,Full-time employees,Management occupations,15 to 24 years,,0.92
2015,Canada,Full-time employees,Management occupations,25 to 54 years,,0.86
2015,Canada,Full-time employees,Management occupations,55 years and over,,0.89
2015,Canada,Full-time employees,"Business, finance and administration occupations",15 years and over,,0.9
2015,Canada,Full-time employees,"Business, finance and administration occupations",15 to 24 years,,0.98
2015,Canada,Full-time employees,"Business, finance and administration occupations",25 to 54 years,,0.89
2015,Canada,Full-time employees,"Business, finance and administration occupations",55 years and over,,0.87
2015,Canada,Full-time employees,Natural and applied sciences and related occupations,15 years and over,,0.87
2015,Canada,Full-time employees,Natural and applied sciences and related occupations,15 to 24 years,,0.93
2015,Canada,Full-time employees,Natural and applied sciences and related occupations,25 to 54 years,,0.89
2015,Canada,Full-time employees,Natural and applied sciences and related occupations,55 years and over,,0.89
2015,Canada,Full-time employees,Health occupations,15 years and over,,0.9
2015,Canada,Full-time employees,Health occupations,15 to 24 years,,0.98
2015,Canada,Full-time employees,Health occupations,25 to 54 years,,0.9
2015,Canada,Full-time employees,Health occupations,55 years and over,,1.15
2015,Canada,Full-time employees,"Occupations in education, law and social, community and government services",15 years and over,,0.77
2015,Canada,Full-time employees,"Occupations in education, law and social, community and government services",15 to 24 years,,0.86
2015,Canada,Full-time employees,"Occupations in education, law and social, community and government services",25 to 54 years,,0.81
2015,Canada,Full-time employees,"Occupations in education, law and social, community and government services",55 years and over,,0.72
2015,Canada,Full-time employees,"Occupations in art, culture, recreation and sport",15 years and over,,0.93
2015,Canada,Full-time employees,"Occupations in art, culture, recreation and sport",15 to 24 years,,0.87
2015,Canada,Full-time employees,"Occupations in art, culture, recreation and sport",25 to 54 years,,0.98
2015,Canada,Full-time employees,"Occupations in art, culture, recreation and sport",55 years and over,,0.94
2015,Canada,Full-time employees,Sales and service occupations,15 years and over,,0.84
2015,Canada,Full-time employees,Sales and service occupations,15 to 24 years,,0.98
2015,Canada,Full-time employees,Sales and service occupations,25 to 54 years,,0.83
2015,Canada,Full-time employees,Sales and service occupations,55 years and over,,0.83
2015,Canada,Full-time employees,"Trades, transport and equipment operators and related occupations",15 years and over,,0.77
2015,Canada,Full-time employees,"Trades, transport and equipment operators and related occupations",15 to 24 years,,0.89
2015,Canada,Full-time employees,"Trades, transport and equipment operators and related occupations",25 to 54 years,,0.78
2015,Canada,Full-time employees,"Trades, transport and equipment operators and related occupations",55 years and over,,0.68
2015,Canada,Full-time employees,"Natural resources, agriculture and related production occupations",15 years and over,,0.63
2015,Canada,Full-time employees,"Natural resources, agriculture and related production occupations",15 to 24 years,,0.78
2015,Canada,Full-time employees,"Natural resources, agriculture and related production occupations",25 to 54 years,,0.59
2015,Canada,Full-time employees,"Natural resources, agriculture and related production occupations",55 years and over,,0.57
2015,Canada,Full-time employees,Occupations in manufacturing and utilities,15 years and over,,0.76
2015,Canada,Full-time employees,Occupations in manufacturing and utilities,15 to 24 years,,0.98
2015,Canada,Full-time employees,Occupations in manufacturing and utilities,25 to 54 years,,0.73
2015,Canada,Full-time employees,Occupations in manufacturing and utilities,55 years and over,,0.67
2015,Canada,Part-time employees,"Total employees, all occupations",15 years and over,,1.17
2015,Canada,Part-time employees,"Total employees, all occupations",15 to 24 years,,1.01
2015,Canada,Part-time employees,"Total employees, all occupations",25 to 54 years,,1.06
2015,Canada,Part-time employees,"Total employees, all occupations",55 years and over,,1.03
2015,Canada,Part-time employees,Management occupations,15 years and over,,0.81
2015,Canada,Part-time employees,Management occupations,15 to 24 years,,
2015,Canada,Part-time employees,Management occupations,25 to 54 years,,0.89
2015,Canada,Part-time employees,Management occupations,55 years and over,,0.77
2015,Canada,Part-time employees,"Business, finance and administration occupations",15 years and over,,1.2
2015,Canada,Part-time employees,"Business, finance and administration occupations",15 to 24 years,,1.02
2015,Canada,Part-time employees,"Business, finance and administration occupations",25 to 54 years,,1.29
2015,Canada,Part-time employees,"Business, finance and administration occupations",55 years and over,,0.87
2015,Canada,Part-time employees,Natural and applied sciences and related occupations,15 years and over,,0.88
2015,Canada,Part-time employees,Natural and applied sciences and related occupations,15 to 24 years,,0.88
2015,Canada,Part-time employees,Natural and applied sciences and related occupations,25 to 54 years,,0.92
2015,Canada,Part-time employees,Natural and applied sciences and related occupations,55 years and over,,
2015,Canada,Part-time employees,Health occupations,15 years and over,,1.19
2015,Canada,Part-time employees,Health occupations,15 to 24 years,,1.2
2015,Canada,Part-time employees,Health occupations,25 to 54 years,,1.18
2015,Canada,Part-time employees,Health occupations,55 years and over,,0.93
2015,Canada,Part-time employees,"Occupations in education, law and social, community and government services",15 years and over,,0.9
2015,Canada,Part-time employees,"Occupations in education, law and social, community and government services",15 to 24 years,,1.02
2015,Canada,Part-time employees,"Occupations in education, law and social, community and government services",25 to 54 years,,0.86
2015,Canada,Part-time employees,"Occupations in education, law and social, community and government services",55 years and over,,0.68
2015,Canada,Part-time employees,"Occupations in art, culture, recreation and sport",15 years and over,,0.99
2015,Canada,Part-time employees,"Occupations in art, culture, recreation and sport",15 to 24 years,,0.95
2015,Canada,Part-time employees,"Occupations in art, culture, recreation and sport",25 to 54 years,,0.88
2015,Canada,Part-time employees,"Occupations in art, culture, recreation and sport",55 years and over,,0.87
2015,Canada,Part-time employees,Sales and service occupations,15 years and over,,1.03
2015,Canada,Part-time employees,Sales and service occupations,15 to 24 years,,1.0
2015,Canada,Part-time employees,Sales and service occupations,25 to 54 years,,0.94
2015,Canada,Part-time employees,Sales and service occupations,55 years and over,,0.98
2015,Canada,Part-time employees,"Trades, transport and equipment operators and related occupations",15 years and over,,0.96
2015,Canada,Part-time employees,"Trades, transport and equipment operators and related occupations",15 to 24 years,,0.94
2015,Canada,Part-time employees,"Trades, transport and equipment operators and related occupations",25 to 54 years,,0.78
2015,Canada,Part-time employees,"Trades, transport and equipment operators and related occupations",55 years and over,,0.94
2015,Canada,Part-time employees,"Natural resources, agriculture and related production occupations",15 years and over,,1.02
2015,Canada,Part-time employees,"Natural resources, agriculture and related production occupations",15 to 24 years,,0.94
2015,Canada,Part-time employees,"Natural resources, agriculture and related production occupations",25 to 54 years,,0.89
2015,Canada,Part-time employees,"Natural resources, agriculture and related production occupations",55 years and over,,
2015,Canada,Part-time employees,Occupations in manufacturing and utilities,15 years and over,,0.92
2015,Canada,Part-time employees,Occupations in manufacturing and utilities,15 to 24 years,,1.0
2015,Canada,Part-time employees,Occupations in manufacturing and utilities,25 to 54 years,,0.86
2015,Canada,Part-time employees,Occupations in manufacturing and utilities,55 years and over,,0.89
2015,Newfoundland and Labrador,Both full- and part-time employees,"Total employees, all occupations",15 years and over,10,0.72
2015,Newfoundland and Labrador,Both full- and part-time employees,"Total employees, all occupations",15 to 24 years,10,0.87
2015,Newfoundland and Labrador,Both full- and part-time employees,"Total employees, all occupations",25 to 54 years,10,0.75
2015,Newfoundland and Labrador,Both full- and part-time employees,"Total employees, all occupations",55 years and over,10,0.6
2015,Newfoundland and Labrador,Both full- and part-time employees,Management occupations,15 years and over,10,0.82
2015,Newfoundland and Labrador,Both full- and part-time employees,Management occupations,15 to 24 years,10,
2015,Newfoundland and Labrador,Both full- and part-time employees,Management occupations,25 to 54 years,10,0.89
2015,Newfoundland and Labrador,Both full- and part-time employees,Management occupations,55 years and over,10,0.62
2015,Newfoundland and Labrador,Both full- and part-time employees,"Business, finance and administration occupations",15 years and over,10,0.84
2015,Newfoundland and Labrador,Both full- and part-time employees,"Business, finance and administration occupations",15 to 24 years,10,1.24
2015,Newfoundland and Labrador,Both full- and part-time employees,"Business, finance and administration occupations",25 to 54 years,10,0.86
2015,Newfoundland and Labrador,Both full- and part-time employees,"Business, finance and administration occupations",55 years and over,10,0.62
2015,Newfoundland and Labrador,Both full- and part-time employees,Natural and applied sciences and related occupations,15 years and over,10,0.91
2015,Newfoundland and Labrador,Both full- and part-time employees,Natural and applied sciences and related occupations,15 to 24 years,10,
2015,Newfoundland and Labrador,Both full- and part-time employees,Natural and applied sciences and related occupations,25 to 54 years,10,0.94
2015,Newfoundland and Labrador,Both full- and part-time employees,Natural and applied sciences and related occupations,55 years and over,10,
2015,Newfoundland and Labrador,Both full- and part-time employees,Health occupations,15 years and over,10,1.07
2015,Newfoundland and Labrador,Both full- and part-time employees,Health occupations,15 to 24 years,10,
2015,Newfoundland and Labrador,Both full- and part-time employees,Health occupations,25 to 54 years,10,1.14
2015,Newfoundland and Labrador,Both full- and part-time employees,Health occupations,55 years and over,10,
2015,Newfoundland and Labrador,Both full- and part-time employees,"Occupations in education, law and social, community and government services",15 years and over,10,0.56
2015,Newfoundland and Labrador,Both full- and part-time employees,"Occupations in education, law and social, community and government services",15 to 24 years,10,0.99
2015,Newfoundland and Labrador,Both full- and part-time employees,"Occupations in education, law and social, community and government services",25 to 54 years,10,0.62
2015,Newfoundland and Labrador,Both full- and part-time employees,"Occupations in education, law and social, community and government services",55 years and over,10,0.53
2015,Newfoundland and Labrador,Both full- and part-time employees,"Occupations in art, culture, recreation and sport",15 years and over,10,0.92
2015,Newfoundland and Labrador,Both full- and part-time employees,"Occupations in art, culture, recreation and sport",15 to 24 years,10,
2015,Newfoundland and Labrador,Both full- and part-time employees,"Occupations in art, culture, recreation and sport",25 to 54 years,10,
2015,Newfoundland and Labrador,Both full- and part-time employees,"Occupations in art, culture, recreation and sport",55 years and over,10,
2015,Newfoundland and Labrador,Both full- and part-time employees,Sales and service occupations,15 years and over,10,0.86
2015,Newfoundland and Labrador,Both full- and part-time employees,Sales and service occupations,15 to 24 years,10,0.96
2015,Newfoundland and Labrador,Both full- and part-time employees,Sales and service occupations,25 to 54 years,10,0.75
2015,Newfoundland and Labrador,Both full- and part-time employees,Sales and service occupations,55 years and over,10,0.72
2015,Newfoundland and Labrador,Both full- and part-time employees,"Trades, transport and equipment operators and related occupations",15 years and over,10,0.8
2015,Newfoundland and Labrador,Both full- and part-time employees,"Trades, transport and equipment operators and related occupations",15 to 24 years,10,
