Year,Geography,Sources of waste for disposal,Value
2002,Alberta,All sources of waste for disposal,923.9
2004,Alberta,All sources of waste for disposal,950.2
2006,Alberta,All sources of waste for disposal,1116.5
2008,Alberta,All sources of waste for disposal,1153.4
2010,Alberta,All sources of waste for disposal,1049.7
2012,Alberta,All sources of waste for disposal,1010.2
2014,Alberta,All sources of waste for disposal,1003.4
2016,Alberta,All sources of waste for disposal,1002.5
2018,Alberta,All sources of waste for disposal,958.1
2002,Alberta,Non-residential sources of waste for disposal,646.9
2004,Alberta,Non-residential sources of waste for disposal,658.9
2006,Alberta,Non-residential sources of waste for disposal,831.9
2008,Alberta,Non-residential sources of waste for disposal,877.0
2010,Alberta,Non-residential sources of waste for disposal,756.8
2012,Alberta,Non-residential sources of waste for disposal,706.6
2014,Alberta,Non-residential sources of waste for disposal,702.1
2016,Alberta,Non-residential sources of waste for disposal,692.7
2018,Alberta,Non-residential sources of waste for disposal,647.1
2002,Alberta,Residential sources of waste for disposal,276.9
2004,Alberta,Residential sources of waste for disposal,291.3
2006,Alberta,Residential sources of waste for disposal,284.6
2008,Alberta,Residential sources of waste for disposal,276.4
2010,Alberta,Residential sources of waste for disposal,292.9
2012,Alberta,Residential sources of waste for disposal,303.6
2014,Alberta,Residential sources of waste for disposal,301.4
2016,Alberta,Residential sources of waste for disposal,309.8
2018,Alberta,Residential sources of waste for disposal,311.0
2002,British Columbia,All sources of waste for disposal,655.5
2004,British Columbia,All sources of waste for disposal,666.0
2006,British Columbia,All sources of waste for disposal,687.7
2008,British Columbia,All sources of waste for disposal,646.4
2010,British Columbia,All sources of waste for disposal,595.3
2012,British Columbia,All sources of waste for disposal,570.2
2014,British Columbia,All sources of waste for disposal,578.1
2016,British Columbia,All sources of waste for disposal,538.0
2018,British Columbia,All sources of waste for disposal,542.8
2002,British Columbia,Non-residential sources of waste for disposal,428.9
2004,British Columbia,Non-residential sources of waste for disposal,444.8
2006,British Columbia,Non-residential sources of waste for disposal,462.1
2008,British Columbia,Non-residential sources of waste for disposal,425.6
2010,British Columbia,Non-residential sources of waste for disposal,381.7
2012,British Columbia,Non-residential sources of waste for disposal,362.8
2014,British Columbia,Non-residential sources of waste for disposal,378.1
2016,British Columbia,Non-residential sources of waste for disposal,346.7
2018,British Columbia,Non-residential sources of waste for disposal,344.6
2002,British Columbia,Residential sources of waste for disposal,226.6
2004,British Columbia,Residential sources of waste for disposal,221.2
2006,British Columbia,Residential sources of waste for disposal,225.6
2008,British Columbia,Residential sources of waste for disposal,220.8
2010,British Columbia,Residential sources of waste for disposal,213.6
2012,British Columbia,Residential sources of waste for disposal,207.5
2014,British Columbia,Residential sources of waste for disposal,200.0
