Year,Industries,Environmental protection activities or management practices,Value
2018,,,90.3
2018,,,87.5
2018,,,89.4
2018,,,93.8
2018,,,84.8
2018,,,88.0
2018,,,89.5
2018,,,90.9
2018,,,90.5
2018,,,85.1
2018,,,86.4
2018,,,92.8
2018,,,91.2
2018,,,91.3
2018,,,83.3
2019,,,86.6
2019,,,88.0
2019,,,86.2
2019,,,87.4
2019,,,87.2
2019,,,90.2
2019,,,84.8
2019,,,89.1
2019,,,87.3
2019,,,91.3
2019,,,89.1
2019,,,85.9
2019,,,82.6
2019,,,82.7
2019,,,79.0
2020,,,86.3
2020,,,82.8
2020,,,83.0
2020,,,84.1
2020,,,80.4
2020,,,85.1
2020,,,87.7
2020,,,87.4
2020,,,87.6
2020,,,88.5
2020,,,92.1
2020,,,86.3
2020,,,81.6
2020,,,81.7
2020,,,77.2
2021,,,86.4
2021,,,84.0
2021,,,85.8
2021,,,81.4
2021,,,80.0
2021,,,89.7
2021,,,86.2
2021,,,87.2
2021,,,85.0
2021,,,84.9
2021,,,89.7
2021,,,84.0
2021,,,87.3
2021,,,87.3
2021,,,87.1
2018,"Total, industries",Wastewater management,64.5
2018,"Total, industries",Air pollution management,20.1
2018,"Total, industries","Protection and remediation of soil, groundwater and surface water",10.2
2018,"Total, industries",Protection of biodiversity and habitat,5.2
2018,"Total, industries",Noise and vibration abatement,7.9
2018,Logging (except contract),"Total, environmental protection activities",72.9
2018,Logging (except contract),Wastewater management,58.9
2018,Logging (except contract),Air pollution management,6.6
2018,Logging (except contract),"Protection and remediation of soil, groundwater and surface water",19.1
2018,Logging (except contract),Protection of biodiversity and habitat,11.6
2018,Logging (except contract),Noise and vibration abatement,7.4
2018,Oil and gas extraction,"Total, environmental protection activities",87.3
2018,Oil and gas extraction,Wastewater management,78.1
2018,Oil and gas extraction,Air pollution management,59.5
2018,Oil and gas extraction,"Protection and remediation of soil, groundwater and surface water",62.0
2018,Oil and gas extraction,Protection of biodiversity and habitat,30.4
2018,Oil and gas extraction,Noise and vibration abatement,22.5
2018,Mining and quarrying,"Total, environmental protection activities",97.8
2018,Mining and quarrying,Wastewater management,90.0
2018,Mining and quarrying,Air pollution management,63.3
2018,Mining and quarrying,"Protection and remediation of soil, groundwater and surface water",67.8
2018,Mining and quarrying,Protection of biodiversity and habitat,55.6
2018,Mining and quarrying,Noise and vibration abatement,26.7
2018,"Electric power generation, transmission and distribution","Total, environmental protection activities",88.5
2018,"Electric power generation, transmission and distribution",Wastewater management,68.5
2018,"Electric power generation, transmission and distribution",Air pollution management,35.9
2018,"Electric power generation, transmission and distribution","Protection and remediation of soil, groundwater and surface water",36.1
2018,"Electric power generation, transmission and distribution",Protection of biodiversity and habitat,27.2
2018,"Electric power generation, transmission and distribution",Noise and vibration abatement,17.6
2018,Natural gas distribution,"Total, environmental protection activities",66.6
2018,Natural gas distribution,Wastewater management,50.2
2018,Natural gas distribution,Air pollution management,45.4
2018,Natural gas distribution,"Protection and remediation of soil, groundwater and surface water",40.6
2018,Natural gas distribution,Protection of biodiversity and habitat,43.0
2018,Natural gas distribution,Noise and vibration abatement,38.2
2018,Food manufacturing,"Total, environmental protection activities",94.7
2018,Food manufacturing,Wastewater management,84.2
2018,Food manufacturing,Air pollution management,15.2
2018,Food manufacturing,"Protection and remediation of soil, groundwater and surface water",11.3
2018,Food manufacturing,Protection of biodiversity and habitat,6.5
2018,Food manufacturing,Noise and vibration abatement,15.0
2018,Beverage and tobacco product manufacturing,"Total, environmental protection activities",98.3
2018,Beverage and tobacco product manufacturing,Wastewater management,92.6
2018,Beverage and tobacco product manufacturing,Air pollution management,14.7
2018,Beverage and tobacco product manufacturing,"Protection and remediation of soil, groundwater and surface water",8.8
2018,Beverage and tobacco product manufacturing,Protection of biodiversity and habitat,8.7
2018,Beverage and tobacco product manufacturing,Noise and vibration abatement,5.7
2018,Wood product manufacturing,"Total, environmental protection activities",89.9
2018,Wood product manufacturing,Wastewater management,63.9
2018,Wood product manufacturing,Air pollution management,30.4
2018,Wood product manufacturing,"Protection and remediation of soil, groundwater and surface water",14.4
2018,Wood product manufacturing,Protection of biodiversity and habitat,2.3
2018,Wood product manufacturing,Noise and vibration abatement,7.4
2018,Paper manufacturing,"Total, environmental protection activities",97.7
2018,Paper manufacturing,Wastewater management,85.1
2018,Paper manufacturing,Air pollution management,53.0
2018,Paper manufacturing,"Protection and remediation of soil, groundwater and surface water",35.9
2018,Paper manufacturing,Protection of biodiversity and habitat,18.4
2018,Paper manufacturing,Noise and vibration abatement,16.3
2018,Petroleum and coal product manufacturing,"Total, environmental protection activities",100.0
2018,Petroleum and coal product manufacturing,Wastewater management,92.9
2018,Petroleum and coal product manufacturing,Air pollution management,92.9
2018,Petroleum and coal product manufacturing,"Protection and remediation of soil, groundwater and surface water",75.0
2018,Petroleum and coal product manufacturing,Protection of biodiversity and habitat,42.9
2018,Petroleum and coal product manufacturing,Noise and vibration abatement,57.2
2018,Chemical manufacturing,"Total, environmental protection activities",95.6
2018,Chemical manufacturing,Wastewater management,78.5
2018,Chemical manufacturing,Air pollution management,42.7
2018,Chemical manufacturing,"Protection and remediation of soil, groundwater and surface water",24.9
2018,Chemical manufacturing,Protection of biodiversity and habitat,3.5
2018,Chemical manufacturing,Noise and vibration abatement,6.8
2018,Non-metallic mineral product manufacturing,"Total, environmental protection activities",86.3
2018,Non-metallic mineral product manufacturing,Wastewater management,68.7
2018,Non-metallic mineral product manufacturing,Air pollution management,41.5
2018,Non-metallic mineral product manufacturing,"Protection and remediation of soil, groundwater and surface water",16.0
2018,Non-metallic mineral product manufacturing,Protection of biodiversity and habitat,5.5
2018,Non-metallic mineral product manufacturing,Noise and vibration abatement,13.4
2018,Primary metal manufacturing,"Total, environmental protection activities",95.7
2018,Primary metal manufacturing,Wastewater management,83.9
2018,Primary metal manufacturing,Air pollution management,69.9
2018,Primary metal manufacturing,"Protection and remediation of soil, groundwater and surface water",49.6
2018,Primary metal manufacturing,Protection of biodiversity and habitat,16.6
2018,Primary metal manufacturing,Noise and vibration abatement,26.5
2018,Fabricated metal product manufacturing,"Total, environmental protection activities",93.7
2018,Fabricated metal product manufacturing,Wastewater management,60.7
2018,Fabricated metal product manufacturing,Air pollution management,13.0
2018,Fabricated metal product manufacturing,"Protection and remediation of soil, groundwater and surface water",1.5
2018,Fabricated metal product manufacturing,Protection of biodiversity and habitat,0.2
2018,Fabricated metal product manufacturing,Noise and vibration abatement,2.2
2018,Transportation equipment manufacturing,"Total, environmental protection activities",93.5
2018,Transportation equipment manufacturing,Wastewater management,70.9
2018,Transportation equipment manufacturing,Air pollution management,28.1
2018,Transportation equipment manufacturing,"Protection and remediation of soil, groundwater and surface water",12.1
2018,Transportation equipment manufacturing,Protection of biodiversity and habitat,5.6
2018,Transportation equipment manufacturing,Noise and vibration abatement,11.8
2018,Plastics and rubber products manufacturing,"Total, environmental protection activities",93.4
2018,Plastics and rubber products manufacturing,Wastewater management,62.9
2018,Plastics and rubber products manufacturing,Air pollution management,16.4
2018,Plastics and rubber products manufacturing,"Protection and remediation of soil, groundwater and surface water",4.0
2018,Plastics and rubber products manufacturing,Protection of biodiversity and habitat,0.0
2018,Plastics and rubber products manufacturing,Noise and vibration abatement,4.7
2018,Machinery manufacturing,"Total, environmental protection activities",93.3
2018,Machinery manufacturing,Wastewater management,62.4
2018,Machinery manufacturing,Air pollution management,17.6
2018,Machinery manufacturing,"Protection and remediation of soil, groundwater and surface water",10.3
2018,Machinery manufacturing,Protection of biodiversity and habitat,3.1
2018,Machinery manufacturing,Noise and vibration abatement,5.9
2018,Furniture and related product manufacturing,"Total, environmental protection activities",93.5
2018,Furniture and related product manufacturing,Wastewater management,61.1
2018,Furniture and related product manufacturing,Air pollution management,18.9
2018,Furniture and related product manufacturing,"Protection and remediation of soil, groundwater and surface water",6.0
2018,Furniture and related product manufacturing,Protection of biodiversity and habitat,5.6
2018,Furniture and related product manufacturing,Noise and vibration abatement,13.2
2018,Other manufacturing industries,"Total, environmental protection activities",87.0
2018,Other manufacturing industries,Wastewater management,57.6
2018,Other manufacturing industries,Air pollution management,10.9
2018,Other manufacturing industries,"Protection and remediation of soil, groundwater and surface water",1.6
2018,Other manufacturing industries,Protection of biodiversity and habitat,2.3
2018,Other manufacturing industries,Noise and vibration abatement,4.2
2018,Pipeline transportation,"Total, environmental protection activities",86.9
2018,Pipeline transportation,Wastewater management,65.6
2018,Pipeline transportation,Air pollution management,59.0
2018,Pipeline transportation,"Protection and remediation of soil, groundwater and surface water",75.4
2018,Pipeline transportation,Protection of biodiversity and habitat,67.2
2018,Pipeline transportation,Noise and vibration abatement,50.8
2018,"Total, industries",Wastewater management,65.4
2018,"Total, industries",Air pollution management,15.1
2018,"Total, industries","Protection and remediation of soil, groundwater and surface water",12.8
2018,"Total, industries",Protection of biodiversity and habitat,7.8
2018,"Total, industries",Noise and vibration abatement,9.2
2018,"Total, industries",Wastewater management,67.0
2018,"Total, industries",Air pollution management,14.0
2018,"Total, industries","Protection and remediation of soil, groundwater and surface water",10.2
2018,"Total, industries",Protection of biodiversity and habitat,5.9
2018,"Total, industries",Noise and vibration abatement,12.0
2018,"Total, industries",Wastewater management,69.6
2018,"Total, industries",Air pollution management,16.7
2018,"Total, industries","Protection and remediation of soil, groundwater and surface water",9.7
2018,"Total, industries",Protection of biodiversity and habitat,8.6
2018,"Total, industries",Noise and vibration abatement,8.6
2018,"Total, industries",Wastewater management,60.8
