Year,Geography,Type of materials diverted,Sources of materials prepared for recycling,GeoCode,Value
2018,,,,,257.6880441
2020,,,,,260.5568381
2018,Canada,All materials diverted,Residential sources of diverted materials,,
2018,Canada,All materials diverted,Non-residential sources of diverted materials,,
2018,Canada,All paper fibres,All sources of diverted materials,,94.95969306
2018,Canada,All paper fibres,Residential sources of diverted materials,,41.46918971
2018,Canada,All paper fibres,Non-residential sources of diverted materials,,53.49050335
2018,Canada,Glass,All sources of diverted materials,,10.7090274
2018,Canada,Glass,Residential sources of diverted materials,,8.04131457
2018,Canada,Glass,Non-residential sources of diverted materials,,2.667712826
2018,Canada,Ferrous metals,All sources of diverted materials,,16.85861551
2018,Canada,Ferrous metals,Residential sources of diverted materials,,3.098900302
2018,Canada,Ferrous metals,Non-residential sources of diverted materials,,13.75971521
2018,Canada,Copper and aluminum,All sources of diverted materials,,3.562975872
2018,Canada,Copper and aluminum,Residential sources of diverted materials,,1.098473161
2018,Canada,Copper and aluminum,Non-residential sources of diverted materials,,2.464502711
2018,Canada,Mixed metals,All sources of diverted materials,,3.156258866
2018,Canada,Mixed metals,Residential sources of diverted materials,,1.615050974
2018,Canada,Mixed metals,Non-residential sources of diverted materials,,1.541207893
2018,Canada,White goods,All sources of diverted materials,,1.712096484
2018,Canada,White goods,Residential sources of diverted materials,,1.041492311
2018,Canada,White goods,Non-residential sources of diverted materials,,0.670604173
2018,Canada,Electronics,All sources of diverted materials,,2.840139253
2018,Canada,Electronics,Residential sources of diverted materials,,
2018,Canada,Electronics,Non-residential sources of diverted materials,,
2018,Canada,Plastics,All sources of diverted materials,,9.565849089
2018,Canada,Plastics,Residential sources of diverted materials,,6.75360671
2018,Canada,Plastics,Non-residential sources of diverted materials,,2.812242379
2018,Canada,Gable top and aseptic containers,All sources of diverted materials,,0.680505675
2018,Canada,Gable top and aseptic containers,Residential sources of diverted materials,,0.599081335
2018,Canada,Gable top and aseptic containers,Non-residential sources of diverted materials,,0.08142434
2018,Canada,Textiles,All sources of diverted materials,,1.58896173
2018,Canada,Textiles,Residential sources of diverted materials,,1.5757957
2018,Canada,Textiles,Non-residential sources of diverted materials,,0.01316603
2018,Canada,Tires,All sources of diverted materials,,13.16343975
2018,Canada,Tires,Residential sources of diverted materials,,
