Year,Sex,Age group,Value
2000,,,3
2000,Males,"Total, all ages",3
2000,Females,"Total, all ages",0
2000,Both sexes,Under 1 years,0
2000,Males,Under 1 years,0
2000,Females,Under 1 years,0
2000,Both sexes,1 to 4 years,0
2000,Males,1 to 4 years,0
2000,Females,1 to 4 years,0
2000,Both sexes,5 to 9 years,0
2000,Males,5 to 9 years,0
2000,Females,5 to 9 years,0
2000,Both sexes,10 to 14 years,0
2000,Males,10 to 14 years,0
2000,Females,10 to 14 years,0
2000,Both sexes,15 to 19 years,0
2000,Males,15 to 19 years,0
2000,Females,15 to 19 years,0
2000,Both sexes,20 to 24 years,0
2000,Males,20 to 24 years,0
2000,Females,20 to 24 years,0
2000,Both sexes,25 to 29 years,0
2000,Males,25 to 29 years,0
2000,Females,25 to 29 years,0
2000,Both sexes,30 to 34 years,0
2000,Males,30 to 34 years,0
2000,Females,30 to 34 years,0
2000,Both sexes,35 to 39 years,0
2000,Males,35 to 39 years,0
2000,Females,35 to 39 years,0
2000,Both sexes,40 to 44 years,1
2000,Males,40 to 44 years,1
2000,Females,40 to 44 years,0
2000,Both sexes,45 to 49 years,0
2000,Males,45 to 49 years,0
2000,Females,45 to 49 years,0
2000,Both sexes,50 to 54 years,0
2000,Males,50 to 54 years,0
2000,Females,50 to 54 years,0
2000,Both sexes,55 to 59 years,0
2000,Males,55 to 59 years,0
2000,Females,55 to 59 years,0
2000,Both sexes,60 to 64 years,1
2000,Males,60 to 64 years,1
2000,Females,60 to 64 years,0
2000,Both sexes,65 to 69 years,0
2000,Males,65 to 69 years,0
2000,Females,65 to 69 years,0
2000,Both sexes,70 to 74 years,0
2000,Males,70 to 74 years,0
2000,Females,70 to 74 years,0
2000,Both sexes,75 to 79 years,0
2000,Males,75 to 79 years,0
2000,Females,75 to 79 years,0
2000,Both sexes,80 to 84 years,1
2000,Males,80 to 84 years,1
2000,Females,80 to 84 years,0
2000,Both sexes,85 to 89 years,0
2000,Males,85 to 89 years,0
2000,Females,85 to 89 years,0
2000,Both sexes,90 years and over,0
2000,Males,90 years and over,0
2000,Females,90 years and over,0
2000,Both sexes,"Age, not stated",0
2000,Males,"Age, not stated",0
2000,Females,"Age, not stated",0
2001,,,17
2001,Males,"Total, all ages",8
2001,Females,"Total, all ages",9
2001,Both sexes,Under 1 years,0
2001,Males,Under 1 years,0
2001,Females,Under 1 years,0
2001,Both sexes,1 to 4 years,0
2001,Males,1 to 4 years,0
2001,Females,1 to 4 years,0
2001,Both sexes,5 to 9 years,0
2001,Males,5 to 9 years,0
2001,Females,5 to 9 years,0
2001,Both sexes,10 to 14 years,0
2001,Males,10 to 14 years,0
2001,Females,10 to 14 years,0
2001,Both sexes,15 to 19 years,0
2001,Males,15 to 19 years,0
2001,Females,15 to 19 years,0
2001,Both sexes,20 to 24 years,0
2001,Males,20 to 24 years,0
2001,Females,20 to 24 years,0
2001,Both sexes,25 to 29 years,2
2001,Males,25 to 29 years,2
2001,Females,25 to 29 years,0
2001,Both sexes,30 to 34 years,0
2001,Males,30 to 34 years,0
2001,Females,30 to 34 years,0
2001,Both sexes,35 to 39 years,2
2001,Males,35 to 39 years,2
2001,Females,35 to 39 years,0
2001,Both sexes,40 to 44 years,0
2001,Males,40 to 44 years,0
2001,Females,40 to 44 years,0
2001,Both sexes,45 to 49 years,1
2001,Males,45 to 49 years,0
2001,Females,45 to 49 years,1
2001,Both sexes,50 to 54 years,1
2001,Males,50 to 54 years,1
2001,Females,50 to 54 years,0
2001,Both sexes,55 to 59 years,0
2001,Males,55 to 59 years,0
2001,Females,55 to 59 years,0
2001,Both sexes,60 to 64 years,2
2001,Males,60 to 64 years,1
2001,Females,60 to 64 years,1
2001,Both sexes,65 to 69 years,0
2001,Males,65 to 69 years,0
2001,Females,65 to 69 years,0
2001,Both sexes,70 to 74 years,1
2001,Males,70 to 74 years,0
2001,Females,70 to 74 years,1
2001,Both sexes,75 to 79 years,2
2001,Males,75 to 79 years,0
2001,Females,75 to 79 years,2
2001,Both sexes,80 to 84 years,1
2001,Males,80 to 84 years,1
2001,Females,80 to 84 years,0
2001,Both sexes,85 to 89 years,2
