Year,Geography,Visible minority,Sociodemographic characteristics,Value
2021,Canada,data.Total – Visible minority,"Total, 15 years and over",79.0
2021,Canada,data.Total – Visible minority,Men+,81.5
2021,Canada,data.Total – Visible minority,Women+,76.0
2021,Canada,data.Total – Visible minority,15 to 24 years,78.0
2021,Canada,data.Total – Visible minority,25 to 64 years,80.4
2021,Canada,data.Total – Visible minority,65 years and over,75.0
2021,Canada,data.Total – Visible minority,Non-immigrants,79.0
2021,Canada,data.Total – Visible minority,Immigrants,78.0
2021,Canada,Total visible minority population,"Total, 15 years and over",77.0
2021,Canada,Total visible minority population,Men+,79.0
2021,Canada,Total visible minority population,Women+,75.0
2021,Canada,Total visible minority population,15 to 24 years,75.0
2021,Canada,Total visible minority population,25 to 64 years,78.0
2021,Canada,Total visible minority population,65 years and over,78.0
2021,Canada,Total visible minority population,Non-immigrants,72.0
2021,Canada,Total visible minority population,Immigrants,78.0
2021,Canada,South Asian,"Total, 15 years and over",81.0
2021,Canada,South Asian,Men+,83.6
2021,Canada,South Asian,Women+,78.0
2021,Canada,South Asian,15 to 24 years,80.0
2021,Canada,South Asian,25 to 64 years,80.5
2021,Canada,South Asian,65 years and over,85.5
2021,Canada,South Asian,Non-immigrants,71.0
2021,Canada,South Asian,Immigrants,83.2
2021,Canada,Chinese,"Total, 15 years and over",76.0
2021,Canada,Chinese,Men+,77.0
2021,Canada,Chinese,Women+,76.0
2021,Canada,Chinese,15 to 24 years,76.0
2021,Canada,Chinese,25 to 64 years,76.0
2021,Canada,Chinese,65 years and over,78.0
2021,Canada,Chinese,Non-immigrants,72.0
2021,Canada,Chinese,Immigrants,77.0
2021,Canada,Black,"Total, 15 years and over",75.0
2021,Canada,Black,Men+,77.0
2021,Canada,Black,Women+,74.0
2021,Canada,Black,15 to 24 years,75.0
2021,Canada,Black,25 to 64 years,76.0
2021,Canada,Black,65 years and over,76.0
2021,Canada,Black,Non-immigrants,76.0
2021,Canada,Black,Immigrants,74.0
2021,Canada,Filipino,"Total, 15 years and over",77.0
2021,Canada,Filipino,Men+,77.0
2021,Canada,Filipino,Women+,76.0
2021,Canada,Filipino,15 to 24 years,74.0
2021,Canada,Filipino,25 to 64 years,78.0
2021,Canada,Filipino,65 years and over,71.0
2021,Canada,Filipino,Non-immigrants,74.0
2021,Canada,Filipino,Immigrants,76.0
2021,Canada,Arab,"Total, 15 years and over",76.0
2021,Canada,Arab,Men+,80.0
2021,Canada,Arab,Women+,72.0
2021,Canada,Arab,15 to 24 years,70.0
2021,Canada,Arab,25 to 64 years,78.0
2021,Canada,Arab,65 years and over,67.0
2021,Canada,Arab,Non-immigrants,63.0
2021,Canada,Arab,Immigrants,79.0
2021,Canada,Latin American,"Total, 15 years and over",78.0
2021,Canada,Latin American,Men+,80.0
2021,Canada,Latin American,Women+,77.0
2021,Canada,Latin American,15 to 24 years,74.0
2021,Canada,Latin American,25 to 64 years,81.2
2021,Canada,Latin American,65 years and over,65.0
2021,Canada,Latin American,Non-immigrants,76.0
2021,Canada,Latin American,Immigrants,78.0
2021,Canada,Southeast Asian,"Total, 15 years and over",67.0
2021,Canada,Southeast Asian,Men+,75.0
2021,Canada,Southeast Asian,Women+,63.0
2021,Canada,Southeast Asian,15 to 24 years,57.0
2021,Canada,Southeast Asian,25 to 64 years,69.0
2021,Canada,Southeast Asian,65 years and over,78.0
2021,Canada,Southeast Asian,Non-immigrants,59.0
2021,Canada,Southeast Asian,Immigrants,66.0
2021,Canada,Not a visible minority,"Total, 15 years and over",80.0
2021,Canada,Not a visible minority,Men+,82.6
2021,Canada,Not a visible minority,Women+,77.0
2021,Canada,Not a visible minority,15 to 24 years,80.8
2021,Canada,Not a visible minority,25 to 64 years,81.6
2021,Canada,Not a visible minority,65 years and over,74.0
2021,Canada,Not a visible minority,Non-immigrants,80.0
2021,Canada,Not a visible minority,Immigrants,79.0
