Year,Geography,Violations,GeoCode,Value
2015,,,,1070.26
2015,Canada,Homicide,,1.71
2015,Canada,Total other violations causing death,,0.24
2015,Canada,Attempted murder,,2.18
2015,Canada,"Sexual assault, level 3, aggravated",,0.29
2015,Canada,"Sexual assault, level 2, weapon or bodily harm",,1.06
2015,Canada,"Sexual assault, level 1",,57.32
2015,Canada,Total sexual violations against children,,14.72
2015,Canada,"Assault, level 3, aggravated",,9.3
2015,Canada,"Assault, level 2, weapon or bodily harm",,132.73
2015,Canada,"Assault, level 1",,439.87
2015,Canada,Total robbery,,62.04
2015,Canada,Uttering threats,,175.94
2015,Canada,Total other violent violations,,14.16
2015,Newfoundland and Labrador,Total violent Criminal Code violations,,1368.64
2015,Newfoundland and Labrador,Homicide,,0.57
2015,Newfoundland and Labrador,Total other violations causing death,,0.0
2015,Newfoundland and Labrador,Attempted murder,,0.76
2015,Newfoundland and Labrador,"Sexual assault, level 3, aggravated",,0.19
2015,Newfoundland and Labrador,"Sexual assault, level 2, weapon or bodily harm",,0.19
2015,Newfoundland and Labrador,"Sexual assault, level 1",,68.55
2015,Newfoundland and Labrador,Total sexual violations against children,,19.12
2015,Newfoundland and Labrador,"Assault, level 3, aggravated",,7.38
2015,Newfoundland and Labrador,"Assault, level 2, weapon or bodily harm",,114.94
2015,Newfoundland and Labrador,"Assault, level 1",,600.44
2015,Newfoundland and Labrador,Total robbery,,35.41
2015,Newfoundland and Labrador,Uttering threats,,351.82
2015,Newfoundland and Labrador,Total other violent violations,,9.09
2015,Prince Edward Island,Total violent Criminal Code violations,,749.24
2015,Prince Edward Island,Homicide,,0.69
2015,Prince Edward Island,Total other violations causing death,,0.0
2015,Prince Edward Island,Attempted murder,,2.08
2015,Prince Edward Island,"Sexual assault, level 3, aggravated",,0.0
2015,Prince Edward Island,"Sexual assault, level 2, weapon or bodily harm",,0.0
2015,Prince Edward Island,"Sexual assault, level 1",,48.43
2015,Prince Edward Island,Total sexual violations against children,,15.91
2015,Prince Edward Island,"Assault, level 3, aggravated",,4.15
2015,Prince Edward Island,"Assault, level 2, weapon or bodily harm",,62.26
2015,Prince Edward Island,"Assault, level 1",,312.7
2015,Prince Edward Island,Total robbery,,11.07
2015,Prince Edward Island,Uttering threats,,140.44
2015,Prince Edward Island,Total other violent violations,,13.84
2015,Nova Scotia,Total violent Criminal Code violations,,1205.84
2015,Nova Scotia,Homicide,,1.28
2015,Nova Scotia,Total other violations causing death,,0.21
2015,Nova Scotia,Attempted murder,,3.52
2015,Nova Scotia,"Sexual assault, level 3, aggravated",,0.43
2015,Nova Scotia,"Sexual assault, level 2, weapon or bodily harm",,0.75
2015,Nova Scotia,"Sexual assault, level 1",,69.62
2015,Nova Scotia,Total sexual violations against children,,21.14
2015,Nova Scotia,"Assault, level 3, aggravated",,9.5
2015,Nova Scotia,"Assault, level 2, weapon or bodily harm",,112.44
2015,Nova Scotia,"Assault, level 1",,461.17
2015,Nova Scotia,Total robbery,,34.28
2015,Nova Scotia,Uttering threats,,260.11
2015,Nova Scotia,Total other violent violations,,16.23
2015,New Brunswick,Total violent Criminal Code violations,,1175.34
2015,New Brunswick,Homicide,,1.45
2015,New Brunswick,Total other violations causing death,,0.13
2015,New Brunswick,Attempted murder,,2.24
