Year,Series,Geography,Offences,Age of accused,Sex of accused,GeoCode,Value
2014/2015,Adult criminal courts,,,,,,123.0
2015/2016,Adult criminal courts,,,,,,126.0
2016/2017,Adult criminal courts,,,,,,136.0
2017/2018,Adult criminal courts,,,,,,137.0
2018/2019,Adult criminal courts,,,,,,141.0
2019/2020,Adult criminal courts,,,,,,141.0
2020/2021,Adult criminal courts,,,,,,187.0
2021/2022,Adult criminal courts,,,,,,202.0
2022/2023,Adult criminal courts,,,,,,199.0
2014/2015,Youth courts,,,,,,120.0
2015/2016,Youth courts,,,,,,125.0
2016/2017,Youth courts,,,,,,135.0
2017/2018,Youth courts,,,,,,141.0
2018/2019,Youth courts,,,,,,155.0
2019/2020,Youth courts,,,,,,162.0
2020/2021,Youth courts,,,,,,237.0
2021/2022,Youth courts,,,,,,229.0
2022/2023,Youth courts,,,,,,211.0
2014/2015,Adult criminal courts,Canada,Total offences,"Total, age of accused",Males,,123.0
2014/2015,Adult criminal courts,Canada,Total offences,"Total, age of accused",Females,,113.0
2014/2015,Adult criminal courts,Canada,Total offences,"Total, age of accused",Company,,217.0
2014/2015,Adult criminal courts,Canada,Total offences,"Total, age of accused",Sex unknown,,148.0
2014/2015,Adult criminal courts,Canada,Total offences,18 to 24 years,"Total, sex of accused",,129.0
2014/2015,Adult criminal courts,Canada,Total offences,18 to 24 years,Males,,131.0
2014/2015,Adult criminal courts,Canada,Total offences,18 to 24 years,Females,,114.0
2014/2015,Adult criminal courts,Canada,Total offences,18 to 24 years,Sex unknown,,151.0
2014/2015,Adult criminal courts,Canada,Total offences,25 to 34 years,"Total, sex of accused",,121.0
2014/2015,Adult criminal courts,Canada,Total offences,25 to 34 years,Males,,121.0
2014/2015,Adult criminal courts,Canada,Total offences,25 to 34 years,Females,,113.0
2014/2015,Adult criminal courts,Canada,Total offences,25 to 34 years,Sex unknown,,147.0
2014/2015,Adult criminal courts,Canada,Total offences,35 to 44 years,"Total, sex of accused",,123.0
2014/2015,Adult criminal courts,Canada,Total offences,35 to 44 years,Males,,123.0
2014/2015,Adult criminal courts,Canada,Total offences,35 to 44 years,Females,,116.0
2014/2015,Adult criminal courts,Canada,Total offences,35 to 44 years,Sex unknown,,148.0
2014/2015,Adult criminal courts,Canada,Total offences,45 to 54 years,"Total, sex of accused",,120.0
2014/2015,Adult criminal courts,Canada,Total offences,45 to 54 years,Males,,121.0
2014/2015,Adult criminal courts,Canada,Total offences,45 to 54 years,Females,,107.0
2014/2015,Adult criminal courts,Canada,Total offences,45 to 54 years,Sex unknown,,146.0
2014/2015,Adult criminal courts,Canada,Total offences,55 years and over,"Total, sex of accused",,107.0
2014/2015,Adult criminal courts,Canada,Total offences,55 years and over,Males,,110.0
2014/2015,Adult criminal courts,Canada,Total offences,55 years and over,Females,,90.0
2014/2015,Adult criminal courts,Canada,Total offences,55 years and over,Sex unknown,,138.0
2014/2015,Adult criminal courts,Canada,Total offences,Other ages,"Total, sex of accused",,130.0
2014/2015,Adult criminal courts,Canada,Total offences,Other ages,Males,,125.0
2014/2015,Adult criminal courts,Canada,Total offences,Other ages,Females,,74.0
2014/2015,Adult criminal courts,Canada,Total offences,Other ages,Sex unknown,,166.0
2014/2015,Adult criminal courts,Canada,Total offences,Age not applicable,"Total, sex of accused",,217.0
2014/2015,Adult criminal courts,Canada,Total offences,Age not applicable,Company,,217.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,"Total, age of accused","Total, sex of accused",,122.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,"Total, age of accused",Males,,123.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,"Total, age of accused",Females,,107.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,"Total, age of accused",Company,,171.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,"Total, age of accused",Sex unknown,,149.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,"Total, sex of accused",,128.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Males,,131.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Females,,113.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,18 to 24 years,Sex unknown,,153.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,"Total, sex of accused",,120.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Males,,120.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Females,,109.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,25 to 34 years,Sex unknown,,144.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,"Total, sex of accused",,121.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Males,,122.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Females,,113.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,35 to 44 years,Sex unknown,,150.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,"Total, sex of accused",,120.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Males,,123.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Females,,105.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,45 to 54 years,Sex unknown,,148.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,55 years and over,"Total, sex of accused",,113.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Males,,117.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Females,,85.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,55 years and over,Sex unknown,,148.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,Other ages,"Total, sex of accused",,136.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,Other ages,Males,,135.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,Other ages,Females,,79.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,Other ages,Sex unknown,,162.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,Age not applicable,"Total, sex of accused",,171.0
2014/2015,Adult criminal courts,Canada,Total Criminal Code,Age not applicable,Company,,171.0
2014/2015,Adult criminal courts,Canada,Crimes against the person,"Total, age of accused","Total, sex of accused",,174.0
