Year,Institutions,Characteristics,Level of confidence,Value
2019,,,,41
2019,Police,Total population,Some confidence,49
2019,Police,Total population,Not very much or no confidence,9
2019,Police,Male,A great deal of confidence,41
2019,Police,Male,Some confidence,49
2019,Police,Male,Not very much or no confidence,10
2019,Police,Female,A great deal of confidence,42
2019,Police,Female,Some confidence,49
2019,Police,Female,Not very much or no confidence,9
2019,Police,Indigenous person,A great deal of confidence,27
2019,Police,Indigenous person,Some confidence,55
2019,Police,Indigenous person,Not very much or no confidence,16
2019,Police,Non-Indigenous person,A great deal of confidence,42
2019,Police,Non-Indigenous person,Some confidence,49
2019,Police,Non-Indigenous person,Not very much or no confidence,9
2019,Police,Visible minority,A great deal of confidence,35
2019,Police,Visible minority,Some confidence,52
2019,Police,Visible minority,Not very much or no confidence,13
2019,Police,Non-visible minority,A great deal of confidence,44
2019,Police,Non-visible minority,Some confidence,48
2019,Police,Non-visible minority,Not very much or no confidence,8
2020,Police,Black,Not confident,21
2020,Police,"First Nations, Métis, or Inuit",Not confident,22
2020,Police,Other group designated as visible minority,Not confident,11
2020,Police,"Non-Indigenous, non-visible minority",Not confident,11
2020,Police,Black,Confident,54
2020,Police,"First Nations, Métis, or Inuit",Confident,52
2020,Police,Other group designated as visible minority,Confident,66
2020,Police,"Non-Indigenous, non-visible minority",Confident,70
2020,Justice system and courts,Black,Not confident,16
2020,Justice system and courts,"First Nations, Métis, or Inuit",Not confident,30
2020,Justice system and courts,Other group designated as visible minority,Not confident,10
2020,Justice system and courts,"Non-Indigenous, non-visible minority",Not confident,16
2020,Justice system and courts,Black,Confident,54
2020,Justice system and courts,"First Nations, Métis, or Inuit",Confident,37
2020,Justice system and courts,Other group designated as visible minority,Confident,68
2020,Justice system and courts,"Non-Indigenous, non-visible minority",Confident,53
2020,School system,Black,Not confident,9
2020,School system,"First Nations, Métis, or Inuit",Not confident,20
2020,School system,Other group designated as visible minority,Not confident,10
2020,School system,"Non-Indigenous, non-visible minority",Not confident,11
2020,School system,Black,Confident,61
2020,School system,"First Nations, Métis, or Inuit",Confident,45
2020,School system,Other group designated as visible minority,Confident,66
2020,School system,"Non-Indigenous, non-visible minority",Confident,57
2020,Federal Parliament,Black,Not confident,13
2020,Federal Parliament,"First Nations, Métis, or Inuit",Not confident,31
2020,Federal Parliament,Other group designated as visible minority,Not confident,11
2020,Federal Parliament,"Non-Indigenous, non-visible minority",Not confident,21
2020,Federal Parliament,Black,Confident,52
2020,Federal Parliament,"First Nations, Métis, or Inuit",Confident,28
2020,Federal Parliament,Other group designated as visible minority,Confident,60
2020,Federal Parliament,"Non-Indigenous, non-visible minority",Confident,41
2020,Banks,Black,Not confident,15
2020,Banks,"First Nations, Métis, or Inuit",Not confident,22
2020,Banks,Other group designated as visible minority,Not confident,10
2020,Banks,"Non-Indigenous, non-visible minority",Not confident,17
2020,Banks,Black,Confident,57
2020,Banks,"First Nations, Métis, or Inuit",Confident,46
2020,Banks,Other group designated as visible minority,Confident,63
2020,Banks,"Non-Indigenous, non-visible minority",Confident,52
2020,Major corporations,Black,Not confident,29
2020,Major corporations,"First Nations, Métis, or Inuit",Not confident,38
2020,Major corporations,Other group designated as visible minority,Not confident,21
2020,Major corporations,"Non-Indigenous, non-visible minority",Not confident,32
2020,Major corporations,Black,Confident,32
2020,Major corporations,"First Nations, Métis, or Inuit",Confident,20
2020,Major corporations,Other group designated as visible minority,Confident,42
2020,Major corporations,"Non-Indigenous, non-visible minority",Confident,26
2020,Local merchants and business people,Black,Not confident,14
2020,Local merchants and business people,"First Nations, Métis, or Inuit",Not confident,11
2020,Local merchants and business people,Other group designated as visible minority,Not confident,8
2020,Local merchants and business people,"Non-Indigenous, non-visible minority",Not confident,5
2020,Local merchants and business people,Black,Confident,54
2020,Local merchants and business people,"First Nations, Métis, or Inuit",Confident,62
2020,Local merchants and business people,Other group designated as visible minority,Confident,57
2020,Local merchants and business people,"Non-Indigenous, non-visible minority",Confident,69
2020,Canadian media,Black,Not confident,15
2020,Canadian media,"First Nations, Métis, or Inuit",Not confident,32
2020,Canadian media,Other group designated as visible minority,Not confident,14
2020,Canadian media,"Non-Indigenous, non-visible minority",Not confident,22
2020,Canadian media,Black,Confident,47
2020,Canadian media,"First Nations, Métis, or Inuit",Confident,30
2020,Canadian media,Other group designated as visible minority,Confident,47
2020,Canadian media,"Non-Indigenous, non-visible minority",Confident,40
