Year,Pillar,Value
2022,Pillar 1: Data Use,100.0
2022,Pillar 2: Data Services,92.6
2022,Pillar 3: Data Products,83.6875
2022,Pillar 4: Data Sources,88.325
2022,Pillar 5: Data Infrastructure,100.0
2022,,92.9225
2021,Pillar 1: Data Use,100.0
2021,Pillar 2: Data Services,93.06666667
2021,Pillar 3: Data Products,83.6875
2021,Pillar 4: Data Sources,90.35
2021,Pillar 5: Data Infrastructure,100.0
2021,,93.42083333
2020,Pillar 1: Data Use,100.0
2020,Pillar 2: Data Services,93.06666667
2020,Pillar 3: Data Products,67.1
2020,Pillar 4: Data Sources,82.01666667
2020,Pillar 5: Data Infrastructure,95.0
2020,,87.43666667
2019,Pillar 1: Data Use,100.0
2019,Pillar 2: Data Services,93.2
2019,Pillar 3: Data Products,60.0125
2019,Pillar 4: Data Sources,84.11666667
2019,Pillar 5: Data Infrastructure,100.0
2019,,87.46583333
2018,Pillar 1: Data Use,100.0
2018,Pillar 2: Data Services,93.2
2018,Pillar 3: Data Products,60.5375
2018,Pillar 4: Data Sources,84.11666667
2018,Pillar 5: Data Infrastructure,95.0
2018,,86.57083333
2017,Pillar 1: Data Use,100.0
2017,Pillar 2: Data Services,95.23333333
2017,Pillar 3: Data Products,64.14375
2017,Pillar 4: Data Sources,77.86666667
2017,Pillar 5: Data Infrastructure,95.0
2017,,86.44875
2016,Pillar 1: Data Use,100.0
2016,Pillar 2: Data Services,95.1
2016,Pillar 3: Data Products,59.20625
2016,Pillar 4: Data Sources,82.09166667
2016,Pillar 5: Data Infrastructure,95.0
2016,,86.27958333
2015,Pillar 1: Data Use,80.0
2015,Pillar 3: Data Products,57.16875
2014,Pillar 1: Data Use,60.0
2014,Pillar 3: Data Products,50.56875
2013,Pillar 1: Data Use,60.0
2013,Pillar 3: Data Products,51.29375
2012,Pillar 1: Data Use,60.0
2012,Pillar 3: Data Products,51.34375
2011,Pillar 1: Data Use,60.0
2011,Pillar 3: Data Products,50.09375
2010,Pillar 1: Data Use,60.0
2010,Pillar 3: Data Products,49.7
2009,Pillar 1: Data Use,40.0
2009,Pillar 3: Data Products,49.9375
2008,Pillar 1: Data Use,40.0
2008,Pillar 3: Data Products,49.9375
2007,Pillar 1: Data Use,40.0
2007,Pillar 3: Data Products,49.70625
2006,Pillar 1: Data Use,40.0
2006,Pillar 3: Data Products,49.00625
2005,Pillar 1: Data Use,40.0
2005,Pillar 3: Data Products,48.85625
2004,Pillar 1: Data Use,40.0
