Year,Pillar,Region,Unnamed: 4,Unnamed: 5,Value
2021-2022,,,,,8650
2020-2021,,,,,10800
2019-2020,,,,,7100
2018-2019,,,,,6600
2021-2022,Cross-border flows to TOSSD-eligible countries,All regions,,,3080
2021-2022,Cross-border flows to TOSSD-eligible countries,Global,,,3
2021-2022,Cross-border flows to TOSSD-eligible countries,Africa,,,1516
2021-2022,Cross-border flows to TOSSD-eligible countries,Asia,,,454
2021-2022,Cross-border flows to TOSSD-eligible countries,America,,,525
2021-2022,Cross-border flows to TOSSD-eligible countries,Europe,,,60
2021-2022,Cross-border flows to TOSSD-eligible countries,Middle East,,,515
2021-2022,Cross-border flows to TOSSD-eligible countries,Oceania,,,6
2021-2022,Global and regional expenditures for international public goods,All regions,,,5570
2021-2022,Global and regional expenditures for international public goods,Global,,,1015
2021-2022,Global and regional expenditures for international public goods,Africa,,,2322
2021-2022,Global and regional expenditures for international public goods,Asia,,,1142
2021-2022,Global and regional expenditures for international public goods,America,,,687
2021-2022,Global and regional expenditures for international public goods,Europe,,,170
2021-2022,Global and regional expenditures for international public goods,Middle East,,,134
2021-2022,Global and regional expenditures for international public goods,Oceania,,,97
2020-2021,Cross-border flows to TOSSD-eligible countries,All regions,,,3100
2020-2021,Cross-border flows to TOSSD-eligible countries,Global,,,1
2020-2021,Cross-border flows to TOSSD-eligible countries,Africa,,,1365
2020-2021,Cross-border flows to TOSSD-eligible countries,Asia,,,547
2020-2021,Cross-border flows to TOSSD-eligible countries,America,,,574
2020-2021,Cross-border flows to TOSSD-eligible countries,Europe,,,60
2020-2021,Cross-border flows to TOSSD-eligible countries,Middle East,,,537
2020-2021,Cross-border flows to TOSSD-eligible countries,Oceania,,,17
2020-2021,Global and regional expenditures for international public goods,All regions,,,7600
2020-2021,Global and regional expenditures for international public goods,Global,,,1847
2020-2021,Global and regional expenditures for international public goods,Africa,,,3185
2020-2021,Global and regional expenditures for international public goods,Asia,,,969
2020-2021,Global and regional expenditures for international public goods,America,,,1345
2020-2021,Global and regional expenditures for international public goods,Europe,,,88
2020-2021,Global and regional expenditures for international public goods,Middle East,,,121
2020-2021,Global and regional expenditures for international public goods,Oceania,,,66
2019-2020,Cross-border flows to TOSSD-eligible countries,All regions,,,4809
2019-2020,Cross-border flows to TOSSD-eligible countries,Global,,,147
2019-2020,Cross-border flows to TOSSD-eligible countries,Africa,,,2133
2019-2020,Cross-border flows to TOSSD-eligible countries,Asia,,,1060
2019-2020,Cross-border flows to TOSSD-eligible countries,America,,,720
2019-2020,Cross-border flows to TOSSD-eligible countries,Europe,,,111
2019-2020,Cross-border flows to TOSSD-eligible countries,Middle East,,,614
2019-2020,Cross-border flows to TOSSD-eligible countries,Oceania,,,24
2019-2020,Global and regional expenditures for international public goods,All regions,,,2320
2019-2020,Global and regional expenditures for international public goods,Global,,,1346
2019-2020,Global and regional expenditures for international public goods,Africa,,,521
2019-2020,Global and regional expenditures for international public goods,Asia,,,204
2019-2020,Global and regional expenditures for international public goods,America,,,152
2019-2020,Global and regional expenditures for international public goods,Europe,,,41
2019-2020,Global and regional expenditures for international public goods,Middle East,,,33
2019-2020,Global and regional expenditures for international public goods,Oceania,,,23
2018-2019,Cross-border flows to TOSSD-eligible countries,All regions,,,5000
2018-2019,Global and regional expenditures for international public goods,All regions,,,1600
