Year,Geography,Economic family type,Demographic characteristics,Household food security status,GeoCode,Value
2018,,,,,,11.6
2019,,,,,,10.8
2020,,,,,,11.2
2021,,,,,,12.9
2022,,,,,,16.9
2018,Canada,All persons,,Food secure,,83.2
2018,Canada,All persons,,Food secure,,16.8
2018,Canada,All persons,,"Food insecure, marginal",,5.2
2018,Canada,All persons,,"Food insecure, moderate",,8.0
2018,Canada,All persons,,"Food insecure, severe",,3.6
2018,Canada,Persons in economic families,,Food secure,,83.9
2018,Canada,Persons in economic families,,Food secure,,16.1
2018,Canada,Persons in economic families,,"Food insecure, marginal",,5.2
2018,Canada,Persons in economic families,,"Food insecure, moderate or severe",,10.9
2018,Canada,Persons in economic families,,"Food insecure, moderate",,7.9
2018,Canada,Persons in economic families,,"Food insecure, severe",,3.0
2018,Canada,Persons in elderly families,,Food secure,,92.9
2018,Canada,Persons in elderly families,,Food secure,,7.1
2018,Canada,Persons in elderly families,,"Food insecure, marginal",,2.7
2018,Canada,Persons in elderly families,,"Food insecure, moderate or severe",,4.5
2018,Canada,Persons in elderly families,,"Food insecure, moderate",,3.0
2018,Canada,Persons in elderly families,,"Food insecure, severe",,1.5
2018,Canada,Persons in elderly couples,,Food secure,,95.1
2018,Canada,Persons in elderly couples,,Food secure,,4.9
2018,Canada,Persons in elderly couples,,"Food insecure, marginal",,2.0
2018,Canada,Persons in elderly couples,,"Food insecure, moderate or severe",,2.9
2018,Canada,Persons in elderly couples,,"Food insecure, moderate",,2.1
2018,Canada,Persons in elderly couples,,"Food insecure, severe",,0.8
2018,Canada,Persons in other elderly families,,Food secure,,87.4
2018,Canada,Persons in other elderly families,,Food secure,,12.6
2018,Canada,Persons in other elderly families,,"Food insecure, marginal",,4.2
2018,Canada,Persons in other elderly families,,"Food insecure, moderate or severe",,8.3
2018,Canada,Persons in other elderly families,,"Food insecure, moderate",,5.1
2018,Canada,Persons in other elderly families,,"Food insecure, severe",,3.2
2018,Canada,Persons in non-elderly families,,Food secure,,82.4
2018,Canada,Persons in non-elderly families,,Food secure,,17.6
2018,Canada,Persons in non-elderly families,,"Food insecure, marginal",,5.7
2018,Canada,Persons in non-elderly families,,"Food insecure, moderate or severe",,12.0
2018,Canada,Persons in non-elderly families,,"Food insecure, moderate",,8.8
