Year,Units,data.Geography,data.Type of event,Value
2016,data.Number,data.Canada,data.Apparent opioid toxicity deaths,2825.0
2016,"data.Rate per 100,000 population",data.Canada,data.Apparent opioid toxicity deaths,7.8
2017,data.Number,data.Canada,data.Apparent opioid toxicity deaths,3916.0
2017,"data.Rate per 100,000 population",data.Canada,data.Apparent opioid toxicity deaths,10.8
2018,data.Number,data.Canada,data.Apparent opioid toxicity deaths,4389.0
2018,"data.Rate per 100,000 population",data.Canada,data.Apparent opioid toxicity deaths,11.9
2019,data.Number,data.Canada,data.Apparent opioid toxicity deaths,3830.0
2019,"data.Rate per 100,000 population",data.Canada,data.Apparent opioid toxicity deaths,10.3
2020,data.Number,data.Canada,data.Apparent opioid toxicity deaths,6214.0
2020,"data.Rate per 100,000 population",data.Canada,data.Apparent opioid toxicity deaths,17.2
2016,data.Number,data.British Columbia,data.Apparent opioid toxicity deaths,805.0
2016,"data.Rate per 100,000 population",data.British Columbia,data.Apparent opioid toxicity deaths,16.4
2017,data.Number,data.British Columbia,data.Apparent opioid toxicity deaths,1287.0
2017,"data.Rate per 100,000 population",data.British Columbia,data.Apparent opioid toxicity deaths,26.0
2018,data.Number,data.British Columbia,data.Apparent opioid toxicity deaths,1569.0
2018,"data.Rate per 100,000 population",data.British Columbia,data.Apparent opioid toxicity deaths,31.3
2019,data.Number,data.British Columbia,data.Apparent opioid toxicity deaths,1013.0
2019,"data.Rate per 100,000 population",data.British Columbia,data.Apparent opioid toxicity deaths,19.9
2020,data.Number,data.British Columbia,data.Apparent opioid toxicity deaths,1738.0
2020,"data.Rate per 100,000 population",data.British Columbia,data.Apparent opioid toxicity deaths,33.9
2016,data.Number,data.Alberta,data.Apparent opioid toxicity deaths,602.0
2016,"data.Rate per 100,000 population",data.Alberta,data.Apparent opioid toxicity deaths,13.8
2017,data.Number,data.Alberta,data.Apparent opioid toxicity deaths,744.0
2017,"data.Rate per 100,000 population",data.Alberta,data.Apparent opioid toxicity deaths,17.0
2018,data.Number,data.Alberta,data.Apparent opioid toxicity deaths,805.0
2018,"data.Rate per 100,000 population",data.Alberta,data.Apparent opioid toxicity deaths,18.3
2019,data.Number,data.Alberta,data.Apparent opioid toxicity deaths,623.0
2019,"data.Rate per 100,000 population",data.Alberta,data.Apparent opioid toxicity deaths,14.0
2020,data.Number,data.Alberta,data.Apparent opioid toxicity deaths,1144.0
2020,"data.Rate per 100,000 population",data.Alberta,data.Apparent opioid toxicity deaths,25.6
2016,data.Number,data.Saskatchewan,data.Apparent opioid toxicity deaths,83.0
2016,"data.Rate per 100,000 population",data.Saskatchewan,data.Apparent opioid toxicity deaths,7.5
2017,data.Number,data.Saskatchewan,data.Apparent opioid toxicity deaths,85.0
2017,"data.Rate per 100,000 population",data.Saskatchewan,data.Apparent opioid toxicity deaths,7.6
2018,data.Number,data.Saskatchewan,data.Apparent opioid toxicity deaths,126.0
2018,"data.Rate per 100,000 population",data.Saskatchewan,data.Apparent opioid toxicity deaths,11.3
