Year,Geography,Age group,Sex,Household income,Highest level of education,GeoCode,Value
2015,,,,,,,18.8
2016,,,,,,,17.9
2017,,,,,,,17.2
2018,,,,,,,16.7
2019,,,,,,,15.7
2020,,,,,,,13.8
2021,,,,,,,12.7
2022,,,,,,,12.5
2023,,,,,,,11.4
2024,,,,,,,11.1
2015,Canada,"Total, 18 years and over",Males,,,,21.7
2015,Canada,"Total, 18 years and over",Females,,,,15.9
2015,Canada,18 to 34 years,Both sexes,,,,22.1
2015,Canada,18 to 34 years,Males,,,,26.4
2015,Canada,18 to 34 years,Females,,,,17.8
2015,Canada,35 to 49 years,Both sexes,,,,19.5
2015,Canada,35 to 49 years,Males,,,,22.9
2015,Canada,35 to 49 years,Females,,,,16.2
2015,Canada,50 to 64 years,Both sexes,,,,21.0
2015,Canada,50 to 64 years,Males,,,,23.2
2015,Canada,50 to 64 years,Females,,,,18.8
2015,Canada,65 years and over,Both sexes,,,,9.8
2015,Canada,65 years and over,Males,,,,10.5
2015,Canada,65 years and over,Females,,,,9.2
2015,Newfoundland and Labrador,"Total, 18 years and over",Both sexes,,,10,25.6
2015,Newfoundland and Labrador,"Total, 18 years and over",Males,,,10,27.5
2015,Newfoundland and Labrador,"Total, 18 years and over",Females,,,10,23.7
2015,Newfoundland and Labrador,18 to 34 years,Both sexes,,,10,27.5
2015,Newfoundland and Labrador,18 to 34 years,Males,,,10,30.7
2015,Newfoundland and Labrador,18 to 34 years,Females,,,10,24.2
2015,Newfoundland and Labrador,35 to 49 years,Both sexes,,,10,36.6
2015,Newfoundland and Labrador,35 to 49 years,Males,,,10,39.7
2015,Newfoundland and Labrador,35 to 49 years,Females,,,10,33.7
2015,Newfoundland and Labrador,50 to 64 years,Both sexes,,,10,24.6
2015,Newfoundland and Labrador,50 to 64 years,Males,,,10,24.4
2015,Newfoundland and Labrador,50 to 64 years,Females,,,10,24.8
2015,Newfoundland and Labrador,65 years and over,Both sexes,,,10,12.1
2015,Newfoundland and Labrador,65 years and over,Males,,,10,13.7
2015,Newfoundland and Labrador,65 years and over,Females,,,10,10.6
2015,Prince Edward Island,"Total, 18 years and over",Both sexes,,,11,15.6
2015,Prince Edward Island,"Total, 18 years and over",Males,,,11,17.6
2015,Prince Edward Island,"Total, 18 years and over",Females,,,11,13.8
2015,Prince Edward Island,18 to 34 years,Both sexes,,,11,15.4
2015,Prince Edward Island,18 to 34 years,Males,,,11,20.7
2015,Prince Edward Island,18 to 34 years,Females,,,11,10.2
2015,Prince Edward Island,35 to 49 years,Both sexes,,,11,20.5
2015,Prince Edward Island,35 to 49 years,Males,,,11,20.1
2015,Prince Edward Island,35 to 49 years,Females,,,11,20.8
2015,Prince Edward Island,50 to 64 years,Both sexes,,,11,16.2
2015,Prince Edward Island,50 to 64 years,Males,,,11,17.5
2015,Prince Edward Island,50 to 64 years,Females,,,11,15.0
2015,Prince Edward Island,65 years and over,Both sexes,,,11,9.8
2015,Prince Edward Island,65 years and over,Males,,,11,10.9
2015,Prince Edward Island,65 years and over,Females,,,11,9.0
2015,Nova Scotia,"Total, 18 years and over",Both sexes,,,12,19.9
2015,Nova Scotia,"Total, 18 years and over",Males,,,12,23.7
2015,Nova Scotia,"Total, 18 years and over",Females,,,12,16.4
2015,Nova Scotia,18 to 34 years,Both sexes,,,12,21.9
2015,Nova Scotia,18 to 34 years,Males,,,12,27.8
2015,Nova Scotia,18 to 34 years,Females,,,12,15.9
2015,Nova Scotia,35 to 49 years,Both sexes,,,12,25.1
2015,Nova Scotia,35 to 49 years,Males,,,12,31.1
2015,Nova Scotia,35 to 49 years,Females,,,12,19.5
2015,Nova Scotia,50 to 64 years,Both sexes,,,12,20.3
2015,Nova Scotia,50 to 64 years,Males,,,12,23.3
2015,Nova Scotia,50 to 64 years,Females,,,12,17.5
2015,Nova Scotia,65 years and over,Both sexes,,,12,11.9
2015,Nova Scotia,65 years and over,Males,,,12,11.5
2015,Nova Scotia,65 years and over,Females,,,12,12.3
2015,New Brunswick,"Total, 18 years and over",Both sexes,,,13,18.5
2015,New Brunswick,"Total, 18 years and over",Males,,,13,16.9
2015,New Brunswick,"Total, 18 years and over",Females,,,13,20.0
2015,New Brunswick,18 to 34 years,Both sexes,,,13,25.4
2015,New Brunswick,18 to 34 years,Males,,,13,21.9
2015,New Brunswick,18 to 34 years,Females,,,13,28.9
2015,New Brunswick,35 to 49 years,Both sexes,,,13,19.4
2015,New Brunswick,35 to 49 years,Males,,,13,22.6
2015,New Brunswick,35 to 49 years,Females,,,13,16.4
2015,New Brunswick,50 to 64 years,Both sexes,,,13,18.8
2015,New Brunswick,50 to 64 years,Males,,,13,14.6
2015,New Brunswick,50 to 64 years,Females,,,13,22.9
2015,New Brunswick,65 years and over,Both sexes,,,13,9.9
2015,New Brunswick,65 years and over,Males,,,13,8.1
2015,New Brunswick,65 years and over,Females,,,13,11.5
2015,Quebec,"Total, 18 years and over",Both sexes,,,24,19.6
2015,Quebec,"Total, 18 years and over",Males,,,24,22.7
2015,Quebec,"Total, 18 years and over",Females,,,24,16.6
2015,Quebec,18 to 34 years,Both sexes,,,24,23.8
2015,Quebec,18 to 34 years,Males,,,24,28.1
