Year,Geography,Sex,Grade,Type of e-cigarettes,GeoCode,Value
2016-2017,,,,,,10.0
2016-2017,Canada,Male,All grades,Both type,,12.4
2016-2017,Canada,Female,All grades,Both type,,7.6
2016-2017,Canada,Both sexes,Grades 7-9,Both type,,5.4
2016-2017,Canada,Male,Grades 7-9,Both type,,6.5
2016-2017,Canada,Female,Grades 7-9,Both type,,4.4
2016-2017,Canada,Both sexes,Grades 10-12,Both type,,14.6
2016-2017,Canada,Male,Grades 10-12,Both type,,18.3
2016-2017,Canada,Female,Grades 10-12,Both type,,10.7
2016-2017,Newfoundland and Labrador,Both sexes,All grades,Both type,10,22.4
2016-2017,Newfoundland and Labrador,Male,All grades,Both type,10,26.1
2016-2017,Newfoundland and Labrador,Female,All grades,Both type,10,18.6
2016-2017,Newfoundland and Labrador,Both sexes,Grades 7-9,Both type,10,12.2
2016-2017,Newfoundland and Labrador,Male,Grades 7-9,Both type,10,15.6
2016-2017,Newfoundland and Labrador,Female,Grades 7-9,Both type,10,8.7
2016-2017,Newfoundland and Labrador,Both sexes,Grades 10-12,Both type,10,31.9
2016-2017,Newfoundland and Labrador,Male,Grades 10-12,Both type,10,35.8
2016-2017,Newfoundland and Labrador,Female,Grades 10-12,Both type,10,28.0
2016-2017,Prince Edward Island,Both sexes,All grades,Both type,11,17.0
2016-2017,Prince Edward Island,Male,All grades,Both type,11,20.8
2016-2017,Prince Edward Island,Female,All grades,Both type,11,13.0
2016-2017,Prince Edward Island,Both sexes,Grades 7-9,Both type,11,7.3
2016-2017,Prince Edward Island,Male,Grades 7-9,Both type,11,9.5
2016-2017,Prince Edward Island,Female,Grades 7-9,Both type,11,5.1
2016-2017,Prince Edward Island,Both sexes,Grades 10-12,Both type,11,26.0
2016-2017,Prince Edward Island,Male,Grades 10-12,Both type,11,30.8
2016-2017,Prince Edward Island,Female,Grades 10-12,Both type,11,20.6
2016-2017,Nova Scotia,Both sexes,All grades,Both type,12,20.9
2016-2017,Nova Scotia,Male,All grades,Both type,12,24.3
2016-2017,Nova Scotia,Female,All grades,Both type,12,17.5
2016-2017,Nova Scotia,Both sexes,Grades 7-9,Both type,12,12.9
2016-2017,Nova Scotia,Male,Grades 7-9,Both type,12,14.6
2016-2017,Nova Scotia,Female,Grades 7-9,Both type,12,11.2
2016-2017,Nova Scotia,Both sexes,Grades 10-12,Both type,12,28.1
2016-2017,Nova Scotia,Male,Grades 10-12,Both type,12,32.9
2016-2017,Nova Scotia,Female,Grades 10-12,Both type,12,23.1
2016-2017,Quebec,Both sexes,All grades,Both type,24,9.8
2016-2017,Quebec,Male,All grades,Both type,24,12.4
2016-2017,Quebec,Female,All grades,Both type,24,7.1
2016-2017,Quebec,Both sexes,Secondary I-III,Both type,24,7.5
2016-2017,Quebec,Male,Secondary I-III,Both type,24,8.9
2016-2017,Quebec,Female,Secondary I-III,Both type,24,6.0
2016-2017,Quebec,Both sexes,Secondary IV-V,Both type,24,13.9
2016-2017,Quebec,Male,Secondary IV-V,Both type,24,18.9
2016-2017,Quebec,Female,Secondary IV-V,Both type,24,9.1
2016-2017,Ontario,Both sexes,All grades,Both type,35,6.6
2016-2017,Ontario,Male,All grades,Both type,35,8.9
2016-2017,Ontario,Female,All grades,Both type,35,4.3
2016-2017,Ontario,Both sexes,Grades 7-9,Both type,35,2.8
2016-2017,Ontario,Male,Grades 7-9,Both type,35,3.9
2016-2017,Ontario,Female,Grades 7-9,Both type,35,1.6
2016-2017,Ontario,Both sexes,Grades 10-12,Both type,35,9.9
2016-2017,Ontario,Male,Grades 10-12,Both type,35,13.1
2016-2017,Ontario,Female,Grades 10-12,Both type,35,6.5
2016-2017,Manitoba,Both sexes,All grades,Both type,46,15.0
2016-2017,Manitoba,Male,All grades,Both type,46,15.4
2016-2017,Manitoba,Female,All grades,Both type,46,14.7
2016-2017,Manitoba,Both sexes,Grades 7-9,Both type,46,7.0
2016-2017,Manitoba,Male,Grades 7-9,Both type,46,8.0
2016-2017,Manitoba,Female,Grades 7-9,Both type,46,6.1
2016-2017,Manitoba,Both sexes,Grades 10-12,Both type,46,22.0
2016-2017,Manitoba,Male,Grades 10-12,Both type,46,22.0
2016-2017,Manitoba,Female,Grades 10-12,Both type,46,22.1
2016-2017,Saskatchewan,Both sexes,All grades,Both type,47,10.8
2016-2017,Saskatchewan,Male,All grades,Both type,47,13.4
2016-2017,Saskatchewan,Female,All grades,Both type,47,8.0
2016-2017,Saskatchewan,Both sexes,Grades 7-9,Both type,47,6.3
2016-2017,Saskatchewan,Male,Grades 7-9,Both type,47,7.7
2016-2017,Saskatchewan,Female,Grades 7-9,Both type,47,4.7
2016-2017,Saskatchewan,Both sexes,Grades 10-12,Both type,47,14.7
2016-2017,Saskatchewan,Male,Grades 10-12,Both type,47,18.4
2016-2017,Saskatchewan,Female,Grades 10-12,Both type,47,10.9
2016-2017,Alberta,Both sexes,All grades,Both type,48,14.5
2016-2017,Alberta,Male,All grades,Both type,48,16.4
2016-2017,Alberta,Female,All grades,Both type,48,12.4
2016-2017,Alberta,Both sexes,Grades 7-9,Both type,48,6.8
2016-2017,Alberta,Male,Grades 7-9,Both type,48,7.2
