Year,Geography,Type of beverage,GeoCode,Value
2014/2015,,,,8.0
2015/2016,,,,8.1
2016/2017,,,,8.2
2017/2018,,,,8.2
2018/2019,,,,8.0
2019/2020,,,,8.1
2020/2021,,,,8.3
2021/2022,,,,8.1
2022/2023,,,,7.8
2014/2015,Canada,Spirits,,2.0
2014/2015,Canada,Wines,,2.0
2014/2015,Canada,Beer,,3.7
2014/2015,Canada,"Ciders, Coolers, and Other Refreshment Beverages",,0.3
2014/2015,Newfoundland and Labrador,Total alcoholic beverages,10,9.4
2014/2015,Newfoundland and Labrador,Spirits,10,3.3
2014/2015,Newfoundland and Labrador,Wines,10,1.2
2014/2015,Newfoundland and Labrador,Beer,10,4.6
2014/2015,Newfoundland and Labrador,"Ciders, Coolers, and Other Refreshment Beverages",10,0.3
2014/2015,Prince Edward Island,Total alcoholic beverages,11,7.9
2014/2015,Prince Edward Island,Spirits,11,2.6
2014/2015,Prince Edward Island,Wines,11,1.4
2014/2015,Prince Edward Island,Beer,11,3.7
2014/2015,Prince Edward Island,"Ciders, Coolers, and Other Refreshment Beverages",11,0.2
2014/2015,Nova Scotia,Total alcoholic beverages,12,7.7
2014/2015,Nova Scotia,Spirits,12,2.3
2014/2015,Nova Scotia,Wines,12,1.5
2014/2015,Nova Scotia,Beer,12,3.7
2014/2015,Nova Scotia,"Ciders, Coolers, and Other Refreshment Beverages",12,0.3
2014/2015,New Brunswick,Total alcoholic beverages,13,6.6
2014/2015,New Brunswick,Spirits,13,1.7
2014/2015,New Brunswick,Wines,13,1.2
2014/2015,New Brunswick,Beer,13,3.4
2014/2015,New Brunswick,"Ciders, Coolers, and Other Refreshment Beverages",13,0.2
2014/2015,Quebec,Total alcoholic beverages,24,8.3
2014/2015,Quebec,Spirits,24,1.2
2014/2015,Quebec,Wines,24,2.9
2014/2015,Quebec,Beer,24,4.1
2014/2015,Quebec,"Ciders, Coolers, and Other Refreshment Beverages",24,0.1
2014/2015,Ontario,Total alcoholic beverages,35,7.3
2014/2015,Ontario,Spirits,35,1.9
2014/2015,Ontario,Wines,35,1.9
2014/2015,Ontario,Beer,35,3.2
2014/2015,Ontario,"Ciders, Coolers, and Other Refreshment Beverages",35,0.2
2014/2015,Manitoba,Total alcoholic beverages,46,7.7
2014/2015,Manitoba,Spirits,46,2.6
2014/2015,Manitoba,Wines,46,1.4
2014/2015,Manitoba,Beer,46,3.6
2014/2015,Manitoba,"Ciders, Coolers, and Other Refreshment Beverages",46,0.2
2014/2015,Saskatchewan,Total alcoholic beverages,47,8.3
2014/2015,Saskatchewan,Spirits,47,3.0
2014/2015,Saskatchewan,Wines,47,1.0
2014/2015,Saskatchewan,Beer,47,3.8
2014/2015,Saskatchewan,"Ciders, Coolers, and Other Refreshment Beverages",47,0.4
2014/2015,Alberta,Total alcoholic beverages,48,9.4
2014/2015,Alberta,Spirits,48,3.1
2014/2015,Alberta,Wines,48,1.6
2014/2015,Alberta,Beer,48,4.2
2014/2015,Alberta,"Ciders, Coolers, and Other Refreshment Beverages",48,0.5
2014/2015,British Columbia,Total alcoholic beverages,59,8.7
2014/2015,British Columbia,Spirits,59,2.3
2014/2015,British Columbia,Wines,59,2.2
2014/2015,British Columbia,Beer,59,3.6
2014/2015,British Columbia,"Ciders, Coolers, and Other Refreshment Beverages",59,0.5
2014/2015,Yukon,Total alcoholic beverages,60,12.8
2014/2015,Yukon,Spirits,60,4.0
2014/2015,Yukon,Wines,60,2.2
2014/2015,Yukon,Beer,60,6.0
2014/2015,Yukon,"Ciders, Coolers, and Other Refreshment Beverages",60,0.6
2014/2015,Northwest Territories,Total alcoholic beverages,61,11.9
2014/2015,Northwest Territories,Spirits,61,5.1
2014/2015,Northwest Territories,Wines,61,1.5
2014/2015,Northwest Territories,Beer,61,5.0
2014/2015,Northwest Territories,"Ciders, Coolers, and Other Refreshment Beverages",61,0.4
2014/2015,Nunavut,Total alcoholic beverages,62,1.9
2014/2015,Nunavut,Spirits,62,0.6
2014/2015,Nunavut,Wines,62,0.2
2014/2015,Nunavut,Beer,62,1.0
2014/2015,Nunavut,"Ciders, Coolers, and Other Refreshment Beverages",62,0.0
2015/2016,Canada,Spirits,,2.1
2015/2016,Canada,Wines,,2.1
2015/2016,Canada,Beer,,3.7
2015/2016,Canada,"Ciders, Coolers, and Other Refreshment Beverages",,0.3
2015/2016,Newfoundland and Labrador,Total alcoholic beverages,10,9.3
2015/2016,Newfoundland and Labrador,Spirits,10,3.3
2015/2016,Newfoundland and Labrador,Wines,10,1.2
2015/2016,Newfoundland and Labrador,Beer,10,4.6
2015/2016,Newfoundland and Labrador,"Ciders, Coolers, and Other Refreshment Beverages",10,0.3
2015/2016,Prince Edward Island,Total alcoholic beverages,11,8.1
2015/2016,Prince Edward Island,Spirits,11,2.6
2015/2016,Prince Edward Island,Wines,11,1.5
2015/2016,Prince Edward Island,Beer,11,3.8
2015/2016,Prince Edward Island,"Ciders, Coolers, and Other Refreshment Beverages",11,0.2
2015/2016,Nova Scotia,Total alcoholic beverages,12,7.8
2015/2016,Nova Scotia,Spirits,12,2.3
2015/2016,Nova Scotia,Wines,12,1.5
2015/2016,Nova Scotia,Beer,12,3.7
2015/2016,Nova Scotia,"Ciders, Coolers, and Other Refreshment Beverages",12,0.3
2015/2016,New Brunswick,Total alcoholic beverages,13,6.8
2015/2016,New Brunswick,Spirits,13,1.7
2015/2016,New Brunswick,Wines,13,1.3
2015/2016,New Brunswick,Beer,13,3.5
2015/2016,New Brunswick,"Ciders, Coolers, and Other Refreshment Beverages",13,0.3
2015/2016,Quebec,Total alcoholic beverages,24,8.3
2015/2016,Quebec,Spirits,24,1.2
2015/2016,Quebec,Wines,24,2.9
2015/2016,Quebec,Beer,24,4.1
2015/2016,Quebec,"Ciders, Coolers, and Other Refreshment Beverages",24,0.1
2015/2016,Ontario,Total alcoholic beverages,35,7.5
2015/2016,Ontario,Spirits,35,2.0
2015/2016,Ontario,Wines,35,1.9
2015/2016,Ontario,Beer,35,3.3
2015/2016,Ontario,"Ciders, Coolers, and Other Refreshment Beverages",35,0.3
2015/2016,Manitoba,Total alcoholic beverages,46,7.8
2015/2016,Manitoba,Spirits,46,2.6
2015/2016,Manitoba,Wines,46,1.4
2015/2016,Manitoba,Beer,46,3.6
2015/2016,Manitoba,"Ciders, Coolers, and Other Refreshment Beverages",46,0.3
2015/2016,Saskatchewan,Total alcoholic beverages,47,8.5
2015/2016,Saskatchewan,Spirits,47,3.0
2015/2016,Saskatchewan,Wines,47,1.1
2015/2016,Saskatchewan,Beer,47,3.7
2015/2016,Saskatchewan,"Ciders, Coolers, and Other Refreshment Beverages",47,0.6
2015/2016,Alberta,Total alcoholic beverages,48,9.3
2015/2016,Alberta,Spirits,48,3.1
2015/2016,Alberta,Wines,48,1.7
2015/2016,Alberta,Beer,48,4.0
2015/2016,Alberta,"Ciders, Coolers, and Other Refreshment Beverages",48,0.5
2015/2016,British Columbia,Total alcoholic beverages,59,8.9
2015/2016,British Columbia,Spirits,59,2.4
2015/2016,British Columbia,Wines,59,2.2
2015/2016,British Columbia,Beer,59,3.6
2015/2016,British Columbia,"Ciders, Coolers, and Other Refreshment Beverages",59,0.6
2015/2016,Yukon,Total alcoholic beverages,60,13.2
2015/2016,Yukon,Spirits,60,4.1
2015/2016,Yukon,Wines,60,2.3
2015/2016,Yukon,Beer,60,6.0
2015/2016,Yukon,"Ciders, Coolers, and Other Refreshment Beverages",60,0.8
2015/2016,Northwest Territories,Total alcoholic beverages,61,11.8
2015/2016,Northwest Territories,Spirits,61,5.0
2015/2016,Northwest Territories,Wines,61,1.4
2015/2016,Northwest Territories,Beer,61,4.8
2015/2016,Northwest Territories,"Ciders, Coolers, and Other Refreshment Beverages",61,0.4
2015/2016,Nunavut,Total alcoholic beverages,62,1.8
2015/2016,Nunavut,Spirits,62,0.6
2015/2016,Nunavut,Wines,62,0.2
2015/2016,Nunavut,Beer,62,1.0
2015/2016,Nunavut,"Ciders, Coolers, and Other Refreshment Beverages",62,0.0
2016/2017,Canada,Spirits,,2.1
2016/2017,Canada,Wines,,2.1
2016/2017,Canada,Beer,,3.6
2016/2017,Canada,"Ciders, Coolers, and Other Refreshment Beverages",,0.3
2016/2017,Newfoundland and Labrador,Total alcoholic beverages,10,9.2
2016/2017,Newfoundland and Labrador,Spirits,10,3.2
2016/2017,Newfoundland and Labrador,Wines,10,1.2
2016/2017,Newfoundland and Labrador,Beer,10,4.5
2016/2017,Newfoundland and Labrador,"Ciders, Coolers, and Other Refreshment Beverages",10,0.3
2016/2017,Prince Edward Island,Total alcoholic beverages,11,8.2
2016/2017,Prince Edward Island,Spirits,11,2.4
2016/2017,Prince Edward Island,Wines,11,1.5
2016/2017,Prince Edward Island,Beer,11,3.9
2016/2017,Prince Edward Island,"Ciders, Coolers, and Other Refreshment Beverages",11,0.3
2016/2017,Nova Scotia,Total alcoholic beverages,12,7.7
2016/2017,Nova Scotia,Spirits,12,2.3
2016/2017,Nova Scotia,Wines,12,1.5
2016/2017,Nova Scotia,Beer,12,3.6
2016/2017,Nova Scotia,"Ciders, Coolers, and Other Refreshment Beverages",12,0.4
