Year,Geography,Age group,Sex,Household income,Highest level of education,Visible minority,Immigration status,GeoCode,Value
2015,,,,,,,,,61.1
2016,,,,,,,,,60.0
2017,,,,,,,,,59.9
2018,,,,,,,,,59.7
2019,,,,,,,,,60.1
2020,,,,,,,,,61.3
2021,,,,,,,,,58.8
2022,,,,,,,,,53.8
2023,,,,,,,,,52.2
2024,,,,,,,,,52.0
2015,Canada,"Total, 18 years and over",Males,,,,,,62.1
2015,Canada,"Total, 18 years and over",Females,,,,,,60.1
2015,Canada,18 to 34 years,Both sexes,,,,,,70.9
2015,Canada,18 to 34 years,Males,,,,,,71.3
2015,Canada,18 to 34 years,Females,,,,,,70.5
2015,Canada,35 to 49 years,Both sexes,,,,,,64.3
2015,Canada,35 to 49 years,Males,,,,,,65.7
2015,Canada,35 to 49 years,Females,,,,,,62.9
2015,Canada,50 to 64 years,Both sexes,,,,,,57.7
2015,Canada,50 to 64 years,Males,,,,,,57.9
2015,Canada,50 to 64 years,Females,,,,,,57.6
2015,Canada,65 years and over,Both sexes,,,,,,47.0
2015,Canada,65 years and over,Males,,,,,,48.5
2015,Canada,65 years and over,Females,,,,,,45.8
2015,Newfoundland and Labrador,"Total, 18 years and over",Both sexes,,,,,10,57.9
2015,Newfoundland and Labrador,"Total, 18 years and over",Males,,,,,10,56.2
2015,Newfoundland and Labrador,"Total, 18 years and over",Females,,,,,10,59.6
2015,Newfoundland and Labrador,18 to 34 years,Both sexes,,,,,10,61.3
2015,Newfoundland and Labrador,18 to 34 years,Males,,,,,10,55.7
2015,Newfoundland and Labrador,18 to 34 years,Females,,,,,10,67.1
2015,Newfoundland and Labrador,35 to 49 years,Both sexes,,,,,10,58.7
2015,Newfoundland and Labrador,35 to 49 years,Males,,,,,10,61.1
2015,Newfoundland and Labrador,35 to 49 years,Females,,,,,10,56.5
2015,Newfoundland and Labrador,50 to 64 years,Both sexes,,,,,10,60.5
2015,Newfoundland and Labrador,50 to 64 years,Males,,,,,10,57.8
2015,Newfoundland and Labrador,50 to 64 years,Females,,,,,10,63.2
2015,Newfoundland and Labrador,65 years and over,Both sexes,,,,,10,49.9
2015,Newfoundland and Labrador,65 years and over,Males,,,,,10,48.8
2015,Newfoundland and Labrador,65 years and over,Females,,,,,10,50.8
2015,Prince Edward Island,"Total, 18 years and over",Both sexes,,,,,11,61.3
2015,Prince Edward Island,"Total, 18 years and over",Males,,,,,11,55.6
2015,Prince Edward Island,"Total, 18 years and over",Females,,,,,11,66.6
2015,Prince Edward Island,18 to 34 years,Both sexes,,,,,11,74.4
2015,Prince Edward Island,18 to 34 years,Males,,,,,11,67.5
2015,Prince Edward Island,18 to 34 years,Females,,,,,11,81.2
2015,Prince Edward Island,35 to 49 years,Both sexes,,,,,11,67.3
2015,Prince Edward Island,35 to 49 years,Males,,,,,11,66.8
2015,Prince Edward Island,35 to 49 years,Females,,,,,11,67.8
2015,Prince Edward Island,50 to 64 years,Both sexes,,,,,11,52.0
