Year,Geography,Education attainment level,Gender,Age group,Population characteristics,GeoCode,Value
2010,,,,,,,50.0
2011,,,,,,,51.0
2012,,,,,,,52.0
2013,,,,,,,53.0
2014,,,,,,,53.0
2015,,,,,,,55.0
2016,,,,,,,56.0
2017,,,,,,,56.0
2018,,,,,,,58.0
2019,,,,,,,59.0
2020,,,,,,,60.0
2021,,,,,,,62.0
2022,,,,,,,63.0
2023,,,,,,,63.0
2024,,,,,,,65.0
2010,Canada,Tertiary education,Men+,"Total, 25 to 64 years",Total population,,45.0
2010,Canada,Tertiary education,Women+,"Total, 25 to 64 years",Total population,,55.0
2010,Canada,Tertiary education,Total - Gender,25 to 34 years,Total population,,57.0
2010,Canada,Tertiary education,Men+,25 to 34 years,Total population,,49.0
2010,Canada,Tertiary education,Women+,25 to 34 years,Total population,,64.0
2010,Canada,Tertiary education,Total - Gender,30 to 34 years,Total population,,58.0
2010,Canada,Tertiary education,Men+,30 to 34 years,Total population,,51.0
2010,Canada,Tertiary education,Women+,30 to 34 years,Total population,,65.0
2010,Canada,Tertiary education,Total - Gender,35 to 44 years,Total population,,56.0
2010,Canada,Tertiary education,Men+,35 to 44 years,Total population,,50.0
2010,Canada,Tertiary education,Women+,35 to 44 years,Total population,,63.0
2010,Canada,Tertiary education,Total - Gender,45 to 54 years,Total population,,46.0
2010,Canada,Tertiary education,Men+,45 to 54 years,Total population,,42.0
2010,Canada,Tertiary education,Women+,45 to 54 years,Total population,,50.0
2010,Canada,Tertiary education,Total - Gender,55 to 64 years,Total population,,42.0
2010,Canada,Tertiary education,Men+,55 to 64 years,Total population,,41.0
2010,Canada,Tertiary education,Women+,55 to 64 years,Total population,,43.0
2010,Canada,Short-cycle tertiary,Total - Gender,"Total, 25 to 64 years",Total population,,24.0
2010,Canada,Short-cycle tertiary,Men+,"Total, 25 to 64 years",Total population,,20.0
2010,Canada,Short-cycle tertiary,Women+,"Total, 25 to 64 years",Total population,,28.0
2010,Canada,Short-cycle tertiary,Total - Gender,25 to 34 years,Total population,,26.0
2010,Canada,Short-cycle tertiary,Men+,25 to 34 years,Total population,,22.0
2010,Canada,Short-cycle tertiary,Women+,25 to 34 years,Total population,,29.0
2010,Canada,Short-cycle tertiary,Total - Gender,30 to 34 years,Total population,,27.0
2010,Canada,Short-cycle tertiary,Men+,30 to 34 years,Total population,,23.0
2010,Canada,Short-cycle tertiary,Women+,30 to 34 years,Total population,,31.0
2010,Canada,Short-cycle tertiary,Total - Gender,35 to 44 years,Total population,,26.0
2010,Canada,Short-cycle tertiary,Men+,35 to 44 years,Total population,,22.0
