Year,Geography,Type of intimate partner violence,Age group,Indigenous group,Visible minority,Immigrant status,Disability,Highest degree earned,Household income,Location of residence,Marital status,GeoCode,Value
2018,,,,,,,,,,,,,12.1
2018,Canada,"Total, any type of intimate partner violence",Age 15 to 24,,,,,,,,,,29.13
2018,Canada,"Total, any type of intimate partner violence",Age 25 to 34,,,,,,,,,,14.07
2018,Canada,"Total, any type of intimate partner violence",Age 35 to 44,,,,,,,,,,12.89
2018,Canada,"Total, any type of intimate partner violence",Age 45 to 54,,,,,,,,,,10.28
2018,Canada,"Total, any type of intimate partner violence",Age 55 to 64,,,,,,,,,,8.44
2018,Canada,"Total, any type of intimate partner violence",Age 65 to 74,,,,,,,,,,5.07
2018,Canada,"Total, any type of intimate partner violence",Age 75 and older,,,,,,,,,,4.91
2018,Canada,"Emotional, psychological violence or financial exploitation","Total, all persons",,,,,,,,,,11.89
2018,Canada,"Emotional, psychological violence or financial exploitation",Age 15 to 24,,,,,,,,,,27.76
2018,Canada,"Emotional, psychological violence or financial exploitation",Age 25 to 34,,,,,,,,,,13.99
2018,Canada,"Emotional, psychological violence or financial exploitation",Age 35 to 44,,,,,,,,,,12.75
2018,Canada,"Emotional, psychological violence or financial exploitation",Age 45 to 54,,,,,,,,,,10.25
2018,Canada,"Emotional, psychological violence or financial exploitation",Age 55 to 64,,,,,,,,,,8.37
2018,Canada,"Emotional, psychological violence or financial exploitation",Age 65 to 74,,,,,,,,,,4.99
2018,Canada,"Emotional, psychological violence or financial exploitation",Age 75 and older,,,,,,,,,,4.89
2018,Canada,"Total, physical or sexual intimate partner violence","Total, all persons",,,,,,,,,,3.1
2018,Canada,"Total, physical or sexual intimate partner violence",Age 15 to 24,,,,,,,,,,10.17
2018,Canada,"Total, physical or sexual intimate partner violence",Age 25 to 34,,,,,,,,,,3.1
2018,Canada,"Total, physical or sexual intimate partner violence",Age 35 to 44,,,,,,,,,,3.65
2018,Canada,"Total, physical or sexual intimate partner violence",Age 45 to 54,,,,,,,,,,2.34
2018,Canada,"Total, physical or sexual intimate partner violence",Age 55 to 64,,,,,,,,,,1.38
2018,Canada,"Total, physical or sexual intimate partner violence",Age 65 to 74,,,,,,,,,,1.45
2018,Canada,Physical violence,"Total, all persons",,,,,,,,,,2.41
2018,Canada,Physical violence,Age 15 to 24,,,,,,,,,,6.19
2018,Canada,Physical violence,Age 25 to 34,,,,,,,,,,2.49
2018,Canada,Physical violence,Age 35 to 44,,,,,,,,,,3.07
2018,Canada,Physical violence,Age 45 to 54,,,,,,,,,,2.13
2018,Canada,Physical violence,Age 55 to 64,,,,,,,,,,1.13
2018,Canada,Physical violence,Age 65 to 74,,,,,,,,,,1.42
2018,Canada,Sexual violence,"Total, all persons",,,,,,,,,,1.15
2018,Canada,Sexual violence,Age 15 to 24,,,,,,,,,,5.06
2018,Canada,Sexual violence,Age 25 to 34,,,,,,,,,,1.26
2018,Canada,Sexual violence,Age 35 to 44,,,,,,,,,,1.15
2018,Canada,Sexual violence,Age 45 to 54,,,,,,,,,,0.67
2018,Canada,Sexual violence,Age 55 to 64,,,,,,,,,,0.47
2018,Atlantic provinces,"Total, any type of intimate partner violence","Total, all persons",,,,,,,,,,10.65
2018,Atlantic provinces,"Total, any type of intimate partner violence",Age 15 to 24,,,,,,,,,,20.97
2018,Atlantic provinces,"Total, any type of intimate partner violence",Age 25 to 34,,,,,,,,,,15.88
2018,Atlantic provinces,"Total, any type of intimate partner violence",Age 35 to 44,,,,,,,,,,12.92
2018,Atlantic provinces,"Total, any type of intimate partner violence",Age 45 to 54,,,,,,,,,,9.69
