Year,Geography,GeoCode,Value
2016,,,3.6
2018,,,4.5
2016,Newfoundland and Labrador,10,27.3
2018,Newfoundland and Labrador,10,20.6
2016,Prince Edward Island,11,0.0
2018,Prince Edward Island,11,0.0
2016,Nova Scotia,12,1.4
2018,Nova Scotia,12,3.4
2016,New Brunswick,13,2.4
2018,New Brunswick,13,3.6
2016,Quebec,24,5.7
2018,Quebec,24,6.5
2016,Ontario,35,0.7
2018,Ontario,35,0.6
2016,Manitoba,46,0.0
2018,Manitoba,46,2.7
2016,Saskatchewan,47,6.3
2018,Saskatchewan,47,5.9
2016,Alberta,48,0.0
2018,Alberta,48,0.9
2016,British Columbia,59,4.3
2018,British Columbia,59,3.9
2016,Yukon,60,0.0
2018,Yukon,60,0.0
2016,Northwest Territories,61,0.0
2018,Northwest Territories,61,0.0
2016,Nunavut,62,0.0
2018,Nunavut,62,0.0
