Year,Geography,Value
2015,,55750
2016,,56094
2017,,58575
2018,,60196
2019,,61466
2015,Newfoundland and Labrador,59004
2016,Newfoundland and Labrador,59534
2017,Newfoundland and Labrador,63777
2018,Newfoundland and Labrador,64619
2019,Newfoundland and Labrador,67527
2015,Prince Edward Island,42118
2016,Prince Edward Island,43383
2017,Prince Edward Island,45146
2018,Prince Edward Island,45849
2019,Prince Edward Island,47837
2015,Nova Scotia,43460
2016,Nova Scotia,44123
2017,Nova Scotia,45589
2018,Nova Scotia,46825
2019,Nova Scotia,48039
2015,New Brunswick,44084
2016,New Brunswick,44973
2017,New Brunswick,46735
2018,New Brunswick,48169
2019,New Brunswick,49218
2015,Quebec,47419
2016,Quebec,48532
2017,Quebec,50430
2018,Quebec,52535
2019,Quebec,54149
2015,Ontario,55477
2016,Ontario,56989
2017,Ontario,58633
2018,Ontario,60039
2019,Ontario,61315
2015,Manitoba,51031
2016,Manitoba,51211
2017,Manitoba,53405
2018,Manitoba,54025
2019,Manitoba,53897
2015,Saskatchewan,71081
2016,Saskatchewan,66633
2017,Saskatchewan,69769
2018,Saskatchewan,71311
2019,Saskatchewan,70730
2015,Alberta,78189
2016,Alberta,72519
2017,Alberta,78342
2018,Alberta,79963
2019,Alberta,80905
2015,British Columbia,52505
2016,British Columbia,54311
2017,British Columbia,57265
2018,British Columbia,59103
2019,British Columbia,60707
2015,Yukon,69939
2016,Yukon,72353
2017,Yukon,72676
2018,Yukon,75247
2019,Yukon,76114
2015,Northwest Territories,106721
2016,Northwest Territories,99666
2017,Northwest Territories,103072
2018,Northwest Territories,105333
2019,Northwest Territories,100871
2015,Nunavut,66351
2016,Nunavut,69831
2017,Nunavut,80728
2018,Nunavut,87906
2019,Nunavut,95535
