Year,Geography,Asset,GeoCode,Value
2015,,,,0.242
2016,,,,0.2524
2017,,,,0.2485
2018,,,,0.2417
2019,,,,0.2345
2020,,,,0.2128
2021,,,,0.1895
2022,,,,0.1704
2023,,,,0.169
2024,,,,0.1647
2015,Canada,Commercial buildings,,0.1964
2015,Canada,Institutional buildings,,0.1885
2015,Canada,Marine engineering infrastructure,,0.2258
2015,Canada,Transportation engineering infrastructure,,0.3152
2015,Canada,Waterworks infrastructure,,0.2611
2015,Canada,Sewage infrastructure,,0.2688
2015,Canada,Communications networks,,0.2512
2015,Canada,Electric power infrastructure,,0.1776
2015,Canada,Oil and gas engineering construction,,0.2436
2015,Canada,Other engineering construction,,0.29
2015,Canada,Other machinery and equipment,,0.2136
2015,Canada,Transportation machinery and equipment,,0.2725
2015,Newfoundland and Labrador,Total assets,10,0.137
2015,Newfoundland and Labrador,Commercial buildings,10,0.1795
2015,Newfoundland and Labrador,Institutional buildings,10,0.1795
2015,Newfoundland and Labrador,Marine engineering infrastructure,10,0.1572
2015,Newfoundland and Labrador,Transportation engineering infrastructure,10,0.233
2015,Newfoundland and Labrador,Waterworks infrastructure,10,0.1572
2015,Newfoundland and Labrador,Sewage infrastructure,10,0.1572
2015,Newfoundland and Labrador,Communications networks,10,0.304
2015,Newfoundland and Labrador,Electric power infrastructure,10,0.1184
2015,Newfoundland and Labrador,Oil and gas engineering construction,10,0.2782
2015,Newfoundland and Labrador,Other engineering construction,10,0.1572
2015,Newfoundland and Labrador,Other machinery and equipment,10,0.1628
2015,Newfoundland and Labrador,Transportation machinery and equipment,10,0.2056
2015,Prince Edward Island,Total assets,11,0.2659
2015,Prince Edward Island,Commercial buildings,11,0.162
2015,Prince Edward Island,Institutional buildings,11,0.162
2015,Prince Edward Island,Marine engineering infrastructure,11,0.3341
2015,Prince Edward Island,Transportation engineering infrastructure,11,0.3391
2015,Prince Edward Island,Waterworks infrastructure,11,0.3341
2015,Prince Edward Island,Sewage infrastructure,11,0.3341
2015,Prince Edward Island,Communications networks,11,0.2594
2015,Prince Edward Island,Electric power infrastructure,11,0.1074
2015,Prince Edward Island,Oil and gas engineering construction,11,
2015,Prince Edward Island,Other engineering construction,11,0.3341
