Year,Age,Generation,Type of household,Ownership status,Income quintile,Main source of household income,Value
2015 Q4,,,,,,,178.8
2016 Q4,,,,,,,188.4
2017 Q4,,,,,,,188.8
2018 Q4,,,,,,,190.8
2019 Q4,,,,,,,189.6
2020 Q4,,,,,,,176.9
2021 Q4,,,,,,,183.7
2022 Q4,,,,,,,180.7
2023 Q4,,,,,,,176.5
2024 Q4,,,,,,,171.9
2015 Q4,Less than 35 years,,,,,,204.9
2015 Q4,35 to 44 years,,,,,,246.1
2015 Q4,45 to 54 years,,,,,,202.4
2015 Q4,55 to 64 years,,,,,,165.9
2015 Q4,65 years and over,,,,,,70.0
2016 Q4,Less than 35 years,,,,,,211.1
2016 Q4,35 to 44 years,,,,,,251.7
2016 Q4,45 to 54 years,,,,,,220.7
2016 Q4,55 to 64 years,,,,,,181.9
2016 Q4,65 years and over,,,,,,74.2
2017 Q4,Less than 35 years,,,,,,209.1
2017 Q4,35 to 44 years,,,,,,246.4
2017 Q4,45 to 54 years,,,,,,225.1
2017 Q4,55 to 64 years,,,,,,186.2
2017 Q4,65 years and over,,,,,,75.5
2018 Q4,Less than 35 years,,,,,,205.2
2018 Q4,35 to 44 years,,,,,,255.8
2018 Q4,45 to 54 years,,,,,,239.2
2018 Q4,55 to 64 years,,,,,,178.9
2018 Q4,65 years and over,,,,,,74.4
2019 Q4,Less than 35 years,,,,,,202.2
2019 Q4,35 to 44 years,,,,,,261.3
2019 Q4,45 to 54 years,,,,,,245.9
2019 Q4,55 to 64 years,,,,,,169.4
2019 Q4,65 years and over,,,,,,71.7
2020 Q4,Less than 35 years,,,,,,189.2
2020 Q4,35 to 44 years,,,,,,237.7
2020 Q4,45 to 54 years,,,,,,214.4
2020 Q4,55 to 64 years,,,,,,167.6
2020 Q4,65 years and over,,,,,,72.3
2021 Q4,Less than 35 years,,,,,,191.5
2021 Q4,35 to 44 years,,,,,,248.1
2021 Q4,45 to 54 years,,,,,,219.7
2021 Q4,55 to 64 years,,,,,,172.6
2021 Q4,65 years and over,,,,,,77.4
2022 Q4,Less than 35 years,,,,,,192.3
2022 Q4,35 to 44 years,,,,,,259.1
2022 Q4,45 to 54 years,,,,,,221.5
2022 Q4,55 to 64 years,,,,,,165.6
2022 Q4,65 years and over,,,,,,70.0
2023 Q4,Less than 35 years,,,,,,178.0
2023 Q4,35 to 44 years,,,,,,257.1
2023 Q4,45 to 54 years,,,,,,221.3
2023 Q4,55 to 64 years,,,,,,167.9
2023 Q4,65 years and over,,,,,,68.1
2024 Q4,Less than 35 years,,,,,,169.9
2024 Q4,35 to 44 years,,,,,,247.5
2024 Q4,45 to 54 years,,,,,,216.9
2024 Q4,55 to 64 years,,,,,,171.7
2024 Q4,65 years and over,,,,,,67.0
2015 Q4,,Pre-1946,,,,,59.0
2015 Q4,,Baby boom,,,,,163.0
2015 Q4,,Generation X,,,,,231.7
2015 Q4,,Millennials,,,,,198.9
2016 Q4,,Pre-1946,,,,,57.1
2016 Q4,,Baby boom,,,,,169.7
2016 Q4,,Generation X,,,,,247.3
2016 Q4,,Millennials,,,,,206.4
2017 Q4,,Pre-1946,,,,,53.8
2017 Q4,,Baby boom,,,,,167.5
2017 Q4,,Generation X,,,,,246.1
2017 Q4,,Millennials,,,,,207.2
2018 Q4,,Pre-1946,,,,,45.4
2018 Q4,,Baby boom,,,,,162.1
2018 Q4,,Generation X,,,,,253.1
2018 Q4,,Millennials,,,,,209.4
2019 Q4,,Pre-1946,,,,,43.7
2019 Q4,,Baby boom,,,,,153.2
2019 Q4,,Generation X,,,,,246.8
2019 Q4,,Millennials,,,,,215.5
2020 Q4,,Pre-1946,,,,,41.6
2020 Q4,,Baby boom,,,,,143.8
2020 Q4,,Generation X,,,,,229.4
2020 Q4,,Millennials,,,,,188.3
2021 Q4,,Pre-1946,,,,,40.5
2021 Q4,,Baby boom,,,,,132.8
2021 Q4,,Generation X,,,,,234.0
2021 Q4,,Millennials,,,,,212.3
2022 Q4,,Pre-1946,,,,,31.3
2022 Q4,,Baby boom,,,,,115.0
2022 Q4,,Generation X,,,,,227.3
2022 Q4,,Millennials,,,,,235.1
2023 Q4,,Pre-1946,,,,,28.2
2023 Q4,,Baby boom,,,,,103.9
2023 Q4,,Generation X,,,,,214.6
2023 Q4,,Millennials,,,,,243.8
2024 Q4,,Pre-1946,,,,,26.7
2024 Q4,,Baby boom,,,,,100.2
2024 Q4,,Generation X,,,,,205.5
2024 Q4,,Millennials,,,,,228.7
2015 Q4,,,One-person households,,,,144.2
2015 Q4,,,Multiple-person households,,,,184.9
2016 Q4,,,One-person households,,,,151.8
2016 Q4,,,Multiple-person households,,,,194.8
2017 Q4,,,One-person households,,,,153.9
2017 Q4,,,Multiple-person households,,,,194.9
2018 Q4,,,One-person households,,,,155.8
2018 Q4,,,Multiple-person households,,,,197.0
2019 Q4,,,One-person households,,,,155.2
2019 Q4,,,Multiple-person households,,,,195.6
2020 Q4,,,One-person households,,,,149.8
2020 Q4,,,Multiple-person households,,,,181.7
2021 Q4,,,One-person households,,,,159.8
2021 Q4,,,Multiple-person households,,,,187.9
2022 Q4,,,One-person households,,,,149.4
2022 Q4,,,Multiple-person households,,,,186.6
2023 Q4,,,One-person households,,,,161.2
2023 Q4,,,Multiple-person households,,,,179.1
2024 Q4,,,One-person households,,,,168.8
2024 Q4,,,Multiple-person households,,,,172.4
2015 Q4,,,,Owner,,,209.1
2015 Q4,,,,Owner with mortgage,,,302.0
2015 Q4,,,,Owner without mortgage,,,81.1
2015 Q4,,,,Renter,,,57.3
2016 Q4,,,,Owner,,,223.1
2016 Q4,,,,Owner with mortgage,,,317.7
2016 Q4,,,,Owner without mortgage,,,87.2
2016 Q4,,,,Renter,,,57.4
2017 Q4,,,,Owner,,,224.0
2017 Q4,,,,Owner with mortgage,,,319.2
2017 Q4,,,,Owner without mortgage,,,87.2
2017 Q4,,,,Renter,,,56.7
2018 Q4,,,,Owner,,,225.1
2018 Q4,,,,Owner with mortgage,,,326.1
2018 Q4,,,,Owner without mortgage,,,82.1
2018 Q4,,,,Renter,,,62.9
2019 Q4,,,,Owner,,,222.4
2019 Q4,,,,Owner with mortgage,,,327.9
2019 Q4,,,,Owner without mortgage,,,75.6
2019 Q4,,,,Renter,,,66.6
2020 Q4,,,,Owner,,,209.4
2020 Q4,,,,Owner with mortgage,,,312.1
2020 Q4,,,,Owner without mortgage,,,61.2
2020 Q4,,,,Renter,,,59.5
2021 Q4,,,,Owner,,,216.9
2021 Q4,,,,Owner with mortgage,,,319.0
2021 Q4,,,,Owner without mortgage,,,62.8
2021 Q4,,,,Renter,,,61.5
2022 Q4,,,,Owner,,,214.1
2022 Q4,,,,Owner with mortgage,,,323.9
2022 Q4,,,,Owner without mortgage,,,59.2
2022 Q4,,,,Renter,,,58.7
2023 Q4,,,,Owner,,,207.5
2023 Q4,,,,Owner with mortgage,,,315.4
2023 Q4,,,,Owner without mortgage,,,56.7
2023 Q4,,,,Renter,,,58.0
2024 Q4,,,,Owner,,,201.8
2024 Q4,,,,Owner with mortgage,,,299.9
