Year,Geography,GeoCode,Value
2015,"Abbotsford - Mission, British Columbia",,3.8
2016,"Abbotsford - Mission, British Columbia",,3.8
2017,"Abbotsford - Mission, British Columbia",,5.2
2018,"Abbotsford - Mission, British Columbia",,3.0
2019,"Abbotsford - Mission, British Columbia",,6.9
2020,"Abbotsford - Mission, British Columbia",,3.9
2021,"Abbotsford - Mission, British Columbia",,7.7
2022,"Abbotsford - Mission, British Columbia",,11.3
2015,"Barrie, Ontario",,0.0
2016,"Barrie, Ontario",,0.5
2017,"Barrie, Ontario",,4.4
2018,"Barrie, Ontario",,1.7
2019,"Barrie, Ontario",,3.1
2020,"Barrie, Ontario",,4.6
2021,"Barrie, Ontario",,6.4
2022,"Barrie, Ontario",,4.0
2017,"Belleville, Ontario",,2.0
2018,"Belleville, Ontario",,0.0
2019,"Belleville, Ontario",,1.8
2020,"Belleville, Ontario",,0.9
2021,"Belleville, Ontario",,0.9
2022,"Belleville, Ontario",,0.9
2015,"Brantford, Ontario",,3.6
2016,"Brantford, Ontario",,3.6
2017,"Brantford, Ontario",,0.7
2018,"Brantford, Ontario",,1.4
2019,"Brantford, Ontario",,4.9
2020,"Brantford, Ontario",,4.8
2021,"Brantford, Ontario",,4.7
2022,"Brantford, Ontario",,16.4
2015,"Calgary, Alberta",,4.7
2016,"Calgary, Alberta",,3.6
2017,"Calgary, Alberta",,5.2
2018,"Calgary, Alberta",,7.8
2019,"Calgary, Alberta",,5.2
2020,"Calgary, Alberta",,9.4
2021,"Calgary, Alberta",,8.9
2022,"Calgary, Alberta",,8.6
2015,"Edmonton, Alberta",,6.0
2016,"Edmonton, Alberta",,3.6
2017,"Edmonton, Alberta",,4.7
2018,"Edmonton, Alberta",,4.9
2019,"Edmonton, Alberta",,5.0
2020,"Edmonton, Alberta",,5.4
2021,"Edmonton, Alberta",,7.8
2022,"Edmonton, Alberta",,5.7
2015,"Gatineau, Quebec",,2.4
2016,"Gatineau, Quebec",,0.9
2017,"Gatineau, Quebec",,4.2
2018,"Gatineau, Quebec",,5.4
2019,"Gatineau, Quebec",,9.1
2020,"Gatineau, Quebec",,5.5
2021,"Gatineau, Quebec",,6.7
2022,"Gatineau, Quebec",,7.8
2015,"Greater Sudbury, Ontario",,0.6
2016,"Greater Sudbury, Ontario",,1.2
2017,"Greater Sudbury, Ontario",,1.2
2018,"Greater Sudbury, Ontario",,1.8
2019,"Greater Sudbury, Ontario",,1.8
2020,"Greater Sudbury, Ontario",,2.4
2021,"Greater Sudbury, Ontario",,5.9
2022,"Greater Sudbury, Ontario",,18.7
2015,"Guelph, Ontario",,0.0
2016,"Guelph, Ontario",,7.6
2017,"Guelph, Ontario",,11.5
2018,"Guelph, Ontario",,8.5
2019,"Guelph, Ontario",,8.4
2020,"Guelph, Ontario",,15.1
2021,"Guelph, Ontario",,4.8
2022,"Guelph, Ontario",,6.7
2015,"Halifax, Nova Scotia",,1.9
2016,"Halifax, Nova Scotia",,0.7
2017,"Halifax, Nova Scotia",,2.6
2018,"Halifax, Nova Scotia",,4.0
2019,"Halifax, Nova Scotia",,1.8
2020,"Halifax, Nova Scotia",,3.8
