Year,Geography,Type of work,National Occupational Classification (NOC),Age,Value
2015,,,,,0.83
2016,,,,,0.85
2017,,,,,0.85
2018,,,,,0.85
2019,,,,,0.85
2020,,,,,0.87
2015,Canada,Both full- and part-time employees,Total employees - all occupations,15 to 24 years,0.92
2016,Canada,Both full- and part-time employees,Total employees - all occupations,15 to 24 years,0.92
2017,Canada,Both full- and part-time employees,Total employees - all occupations,15 to 24 years,0.89
2018,Canada,Both full- and part-time employees,Total employees - all occupations,15 to 24 years,0.93
2019,Canada,Both full- and part-time employees,Total employees - all occupations,15 to 24 years,0.99
2020,Canada,Both full- and part-time employees,Total employees - all occupations,15 to 24 years,0.94
2015,Canada,Both full- and part-time employees,Total employees - all occupations,25 to 54 years,0.84
2016,Canada,Both full- and part-time employees,Total employees - all occupations,25 to 54 years,0.85
2017,Canada,Both full- and part-time employees,Total employees - all occupations,25 to 54 years,0.84
2018,Canada,Both full- and part-time employees,Total employees - all occupations,25 to 54 years,0.85
2019,Canada,Both full- and part-time employees,Total employees - all occupations,25 to 54 years,0.87
2020,Canada,Both full- and part-time employees,Total employees - all occupations,25 to 54 years,0.88
2015,Canada,Both full- and part-time employees,Total employees - all occupations,55 years and over,0.83
2016,Canada,Both full- and part-time employees,Total employees - all occupations,55 years and over,0.85
2017,Canada,Both full- and part-time employees,Total employees - all occupations,55 years and over,0.87
2018,Canada,Both full- and part-time employees,Total employees - all occupations,55 years and over,0.85
2019,Canada,Both full- and part-time employees,Total employees - all occupations,55 years and over,0.84
2020,Canada,Both full- and part-time employees,Total employees - all occupations,55 years and over,0.85
2015,Canada,Both full- and part-time employees,Management occupations [0],15 years and over,0.87
2016,Canada,Both full- and part-time employees,Management occupations [0],15 years and over,0.86
2017,Canada,Both full- and part-time employees,Management occupations [0],15 years and over,0.88
2018,Canada,Both full- and part-time employees,Management occupations [0],15 years and over,0.88
2019,Canada,Both full- and part-time employees,Management occupations [0],15 years and over,0.89
2020,Canada,Both full- and part-time employees,Management occupations [0],15 years and over,0.89
2015,Canada,Both full- and part-time employees,Management occupations [0],15 to 24 years,0.95
2016,Canada,Both full- and part-time employees,Management occupations [0],15 to 24 years,0.93
2017,Canada,Both full- and part-time employees,Management occupations [0],15 to 24 years,0.88
2018,Canada,Both full- and part-time employees,Management occupations [0],15 to 24 years,0.9
2019,Canada,Both full- and part-time employees,Management occupations [0],15 to 24 years,0.87
2020,Canada,Both full- and part-time employees,Management occupations [0],15 to 24 years,0.86
2015,Canada,Both full- and part-time employees,Management occupations [0],25 to 54 years,0.88
2016,Canada,Both full- and part-time employees,Management occupations [0],25 to 54 years,0.88
2017,Canada,Both full- and part-time employees,Management occupations [0],25 to 54 years,0.89
2018,Canada,Both full- and part-time employees,Management occupations [0],25 to 54 years,0.89
2019,Canada,Both full- and part-time employees,Management occupations [0],25 to 54 years,0.91
2020,Canada,Both full- and part-time employees,Management occupations [0],25 to 54 years,0.91
2015,Canada,Both full- and part-time employees,Management occupations [0],55 years and over,0.85
2016,Canada,Both full- and part-time employees,Management occupations [0],55 years and over,0.84
2017,Canada,Both full- and part-time employees,Management occupations [0],55 years and over,0.86
2018,Canada,Both full- and part-time employees,Management occupations [0],55 years and over,0.85
2019,Canada,Both full- and part-time employees,Management occupations [0],55 years and over,0.9
2020,Canada,Both full- and part-time employees,Management occupations [0],55 years and over,0.89
2015,Canada,Both full- and part-time employees,Business - finance and administration occupations [1],15 years and over,0.88
2016,Canada,Both full- and part-time employees,Business - finance and administration occupations [1],15 years and over,0.92
2017,Canada,Both full- and part-time employees,Business - finance and administration occupations [1],15 years and over,0.91
2018,Canada,Both full- and part-time employees,Business - finance and administration occupations [1],15 years and over,0.9
2019,Canada,Both full- and part-time employees,Business - finance and administration occupations [1],15 years and over,0.92
2020,Canada,Both full- and part-time employees,Business - finance and administration occupations [1],15 years and over,0.89
2015,Canada,Both full- and part-time employees,Business - finance and administration occupations [1],15 to 24 years,1.13
2016,Canada,Both full- and part-time employees,Business - finance and administration occupations [1],15 to 24 years,1.0
2017,Canada,Both full- and part-time employees,Business - finance and administration occupations [1],15 to 24 years,1.01
2018,Canada,Both full- and part-time employees,Business - finance and administration occupations [1],15 to 24 years,0.91
2019,Canada,Both full- and part-time employees,Business - finance and administration occupations [1],15 to 24 years,1.0
2020,Canada,Both full- and part-time employees,Business - finance and administration occupations [1],15 to 24 years,0.96
2015,Canada,Both full- and part-time employees,Business - finance and administration occupations [1],25 to 54 years,0.89
2016,Canada,Both full- and part-time employees,Business - finance and administration occupations [1],25 to 54 years,0.91
2017,Canada,Both full- and part-time employees,Business - finance and administration occupations [1],25 to 54 years,0.9
2018,Canada,Both full- and part-time employees,Business - finance and administration occupations [1],25 to 54 years,0.89
2019,Canada,Both full- and part-time employees,Business - finance and administration occupations [1],25 to 54 years,0.87
2020,Canada,Both full- and part-time employees,Business - finance and administration occupations [1],25 to 54 years,0.87
2015,Canada,Both full- and part-time employees,Business - finance and administration occupations [1],55 years and over,0.89
2016,Canada,Both full- and part-time employees,Business - finance and administration occupations [1],55 years and over,0.92
2017,Canada,Both full- and part-time employees,Business - finance and administration occupations [1],55 years and over,0.92
2018,Canada,Both full- and part-time employees,Business - finance and administration occupations [1],55 years and over,0.89
2019,Canada,Both full- and part-time employees,Business - finance and administration occupations [1],55 years and over,0.93
2020,Canada,Both full- and part-time employees,Business - finance and administration occupations [1],55 years and over,0.9
2015,Canada,Both full- and part-time employees,Natural and applied sciences and related occupations [2],15 years and over,0.89
2016,Canada,Both full- and part-time employees,Natural and applied sciences and related occupations [2],15 years and over,0.9
2017,Canada,Both full- and part-time employees,Natural and applied sciences and related occupations [2],15 years and over,0.92
2018,Canada,Both full- and part-time employees,Natural and applied sciences and related occupations [2],15 years and over,0.93
2019,Canada,Both full- and part-time employees,Natural and applied sciences and related occupations [2],15 years and over,0.92
2020,Canada,Both full- and part-time employees,Natural and applied sciences and related occupations [2],15 years and over,0.91
2015,Canada,Both full- and part-time employees,Natural and applied sciences and related occupations [2],15 to 24 years,0.94
2016,Canada,Both full- and part-time employees,Natural and applied sciences and related occupations [2],15 to 24 years,0.97
2017,Canada,Both full- and part-time employees,Natural and applied sciences and related occupations [2],15 to 24 years,1.0
2018,Canada,Both full- and part-time employees,Natural and applied sciences and related occupations [2],15 to 24 years,0.92
2019,Canada,Both full- and part-time employees,Natural and applied sciences and related occupations [2],15 to 24 years,0.88
2020,Canada,Both full- and part-time employees,Natural and applied sciences and related occupations [2],15 to 24 years,0.88
2015,Canada,Both full- and part-time employees,Natural and applied sciences and related occupations [2],25 to 54 years,0.9
2016,Canada,Both full- and part-time employees,Natural and applied sciences and related occupations [2],25 to 54 years,0.91
2017,Canada,Both full- and part-time employees,Natural and applied sciences and related occupations [2],25 to 54 years,0.95
2018,Canada,Both full- and part-time employees,Natural and applied sciences and related occupations [2],25 to 54 years,0.92
2019,Canada,Both full- and part-time employees,Natural and applied sciences and related occupations [2],25 to 54 years,0.91
