Year,Geography,GeoCode,Economic family type,Value
2015,,,,60400.0
2016,,,,60400.0
2017,,,,61900.0
2018,,,,62100.0
2019,,,,62400.0
2020,,,,66800.0
2015,Canada,,Economic families,83700.0
2016,Canada,,Economic families,84200.0
2017,Canada,,Economic families,85700.0
2018,Canada,,Economic families,87600.0
2019,Canada,,Economic families,87500.0
2020,Canada,,Economic families,92400.0
2015,Canada,,Elderly families,62400.0
2016,Canada,,Elderly families,61900.0
2017,Canada,,Elderly families,64300.0
2018,Canada,,Elderly families,65000.0
2019,Canada,,Elderly families,64100.0
2020,Canada,,Elderly families,68500.0
2015,Canada,,Elderly couples,60900.0
2016,Canada,,Elderly couples,60800.0
2017,Canada,,Elderly couples,62500.0
2018,Canada,,Elderly couples,63000.0
2019,Canada,,Elderly couples,63000.0
2020,Canada,,Elderly couples,65900.0
2015,Canada,,Other elderly families,69000.0
2016,Canada,,Other elderly families,67900.0
2017,Canada,,Other elderly families,70700.0
2018,Canada,,Other elderly families,71600.0
2019,Canada,,Other elderly families,67500.0
2020,Canada,,Other elderly families,80000.0
2015,Canada,,Non-elderly families,89800.0
2016,Canada,,Non-elderly families,90900.0
2017,Canada,,Non-elderly families,91900.0
2018,Canada,,Non-elderly families,94200.0
2019,Canada,,Non-elderly families,94600.0
2020,Canada,,Non-elderly families,99600.0
2015,Canada,,Couples,81000.0
2016,Canada,,Couples,81300.0
2017,Canada,,Couples,83100.0
2018,Canada,,Couples,83800.0
2019,Canada,,Couples,81600.0
2020,Canada,,Couples,86900.0
2015,Canada,,Couples with children,102200.0
2016,Canada,,Couples with children,101100.0
2017,Canada,,Couples with children,102300.0
2018,Canada,,Couples with children,104800.0
2019,Canada,,Couples with children,105700.0
2020,Canada,,Couples with children,110700.0
2015,Canada,,Couples with other relatives,124200.0
2016,Canada,,Couples with other relatives,124600.0
2017,Canada,,Couples with other relatives,127000.0
2018,Canada,,Couples with other relatives,128500.0
2019,Canada,,Couples with other relatives,136100.0
2020,Canada,,Couples with other relatives,139000.0
2015,Canada,,Lone-parent families,49100.0
2016,Canada,,Lone-parent families,48200.0
2017,Canada,,Lone-parent families,52700.0
2018,Canada,,Lone-parent families,53800.0
2019,Canada,,Lone-parent families,58900.0
2020,Canada,,Lone-parent families,61300.0
2015,Canada,,Male lone-parent families,62400.0
2016,Canada,,Male lone-parent families,58400.0
