Year,Geography,Age group,Sex,Household income,Highest level of education,Series,GeoCode,Value
2015,,,,,,Aged 18 years and older,,66.7
2016,,,,,,Aged 18 years and older,,67.5
2017,,,,,,Aged 18 years and older,,68.2
2018,,,,,,Aged 18 years and older,,67.1
2019,,,,,,Aged 18 years and older,,68.4
2020,,,,,,Aged 18 years and older,,69.0
2021,,,,,,Aged 18 years and older,,68.4
2022,,,,,,Aged 18 years and older,,63.5
2023,,,,,,Aged 18 years and older,,60.6
2024,,,,,,Aged 18 years and older,,61.1
2015,Canada,"Total, 18 years and over",Males,,,Aged 18 years and older,,66.3
2015,Canada,"Total, 18 years and over",Females,,,Aged 18 years and older,,67.2
2015,Canada,18 to 34 years,Both sexes,,,Aged 18 years and older,,62.2
2015,Canada,18 to 34 years,Males,,,Aged 18 years and older,,60.5
2015,Canada,18 to 34 years,Females,,,Aged 18 years and older,,63.8
2015,Canada,35 to 49 years,Both sexes,,,Aged 18 years and older,,66.6
2015,Canada,35 to 49 years,Males,,,Aged 18 years and older,,65.7
2015,Canada,35 to 49 years,Females,,,Aged 18 years and older,,67.5
2015,Canada,50 to 64 years,Both sexes,,,Aged 18 years and older,,66.7
2015,Canada,50 to 64 years,Males,,,Aged 18 years and older,,67.9
2015,Canada,50 to 64 years,Females,,,Aged 18 years and older,,65.4
2015,Canada,65 years and over,Both sexes,,,Aged 18 years and older,,74.3
2015,Canada,65 years and over,Males,,,Aged 18 years and older,,74.6
2015,Canada,65 years and over,Females,,,Aged 18 years and older,,73.9
2015,Newfoundland and Labrador,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,10,78.1
2015,Newfoundland and Labrador,"Total, 18 years and over",Males,,,Aged 18 years and older,10,78.8
2015,Newfoundland and Labrador,"Total, 18 years and over",Females,,,Aged 18 years and older,10,77.4
2015,Newfoundland and Labrador,18 to 34 years,Both sexes,,,Aged 18 years and older,10,64.6
2015,Newfoundland and Labrador,18 to 34 years,Males,,,Aged 18 years and older,10,58.3
2015,Newfoundland and Labrador,18 to 34 years,Females,,,Aged 18 years and older,10,70.9
2015,Newfoundland and Labrador,35 to 49 years,Both sexes,,,Aged 18 years and older,10,75.3
2015,Newfoundland and Labrador,35 to 49 years,Males,,,Aged 18 years and older,10,78.8
2015,Newfoundland and Labrador,35 to 49 years,Females,,,Aged 18 years and older,10,72.2
2015,Newfoundland and Labrador,50 to 64 years,Both sexes,,,Aged 18 years and older,10,84.4
2015,Newfoundland and Labrador,50 to 64 years,Males,,,Aged 18 years and older,10,87.9
2015,Newfoundland and Labrador,50 to 64 years,Females,,,Aged 18 years and older,10,81.1
2015,Newfoundland and Labrador,65 years and over,Both sexes,,,Aged 18 years and older,10,88.0
2015,Newfoundland and Labrador,65 years and over,Males,,,Aged 18 years and older,10,90.8
2015,Newfoundland and Labrador,65 years and over,Females,,,Aged 18 years and older,10,85.5
2015,Prince Edward Island,"Total, 18 years and over",Both sexes,,,Aged 18 years and older,11,76.4
2015,Prince Edward Island,"Total, 18 years and over",Males,,,Aged 18 years and older,11,77.5
