Year,Geography,Source,GeoCode,Value
1990,,,,594.7222434
1991,,,,587.9057939
1992,,,,605.2902488
1993,,,,607.6810769
1994,,,,628.1458692
1995,,,,645.4537665
1996,,,,666.6981081
1997,,,,682.2979879
1998,,,,688.613931
1999,,,,701.7587117
2000,,,,726.987283
2001,,,,718.3200432
2002,,,,724.2811296
2003,,,,743.2868544
2004,,,,745.1940475
2005,,,,741.1815369
2006,,,,734.5841374
2007,,,,756.8332581
2008,,,,739.0631516
2009,,,,697.7349388
2010,,,,709.6540607
2011,,,,720.82017
2012,,,,725.585889
2013,,,,732.1623016
2014,,,,729.5997834
2015,,,,732.5350157
2016,,,,715.0937692
2017,,,,725.0139736
2018,,,,740.0054652
2019,,,,738.2834461
2020,,,,672.3538152
1990,Canada,Oil and Gas,,102.6495801
1991,Canada,Oil and Gas,,102.1766304
1992,Canada,Oil and Gas,,110.8194415
1993,Canada,Oil and Gas,,117.530525
1994,Canada,Oil and Gas,,121.5134547
1995,Canada,Oil and Gas,,127.6022177
1996,Canada,Oil and Gas,,135.3633617
1997,Canada,Oil and Gas,,136.5043613
1998,Canada,Oil and Gas,,140.8595952
1999,Canada,Oil and Gas,,149.9382922
2000,Canada,Oil and Gas,,155.0704505
2001,Canada,Oil and Gas,,156.5816327
2002,Canada,Oil and Gas,,161.5356027
2003,Canada,Oil and Gas,,165.918248
2004,Canada,Oil and Gas,,168.2222056
2005,Canada,Oil and Gas,,171.3072507
2006,Canada,Oil and Gas,,178.0282075
2007,Canada,Oil and Gas,,183.0219626
2008,Canada,Oil and Gas,,179.9139734
2009,Canada,Oil and Gas,,176.9134363
2010,Canada,Oil and Gas,,181.4448064
2011,Canada,Oil and Gas,,187.2113585
2012,Canada,Oil and Gas,,194.1717061
2013,Canada,Oil and Gas,,198.8718623
2014,Canada,Oil and Gas,,204.5293982
2015,Canada,Oil and Gas,,204.8055239
2016,Canada,Oil and Gas,,194.3576705
2017,Canada,Oil and Gas,,196.4977944
2018,Canada,Oil and Gas,,205.0171409
2019,Canada,Oil and Gas,,203.4835442
2020,Canada,Oil and Gas,,178.7973256
1990,Canada,Electricity,,94.7207666
1991,Canada,Electricity,,96.10144237
1992,Canada,Electricity,,102.5179855
1993,Canada,Electricity,,93.12469432
1994,Canada,Electricity,,95.14994432
1995,Canada,Electricity,,98.20743051
1996,Canada,Electricity,,98.19527145
1997,Canada,Electricity,,109.4361326
1998,Canada,Electricity,,122.1154077
1999,Canada,Electricity,,119.1416014
2000,Canada,Electricity,,129.0051132
2001,Canada,Electricity,,129.2362068
2002,Canada,Electricity,,123.5631768
2003,Canada,Electricity,,127.3253464
2004,Canada,Electricity,,118.9943043
2005,Canada,Electricity,,117.5453663
2006,Canada,Electricity,,111.5860054
2007,Canada,Electricity,,119.6036885
2008,Canada,Electricity,,108.8440582
2009,Canada,Electricity,,93.73043934
2010,Canada,Electricity,,94.61971901
2011,Canada,Electricity,,86.56575805
2012,Canada,Electricity,,83.25629306
2013,Canada,Electricity,,79.69232667
2014,Canada,Electricity,,76.2783234
2015,Canada,Electricity,,79.67595639
2016,Canada,Electricity,,74.26951647
2017,Canada,Electricity,,72.63048391
2018,Canada,Electricity,,62.76442967
2019,Canada,Electricity,,61.77806665
2020,Canada,Electricity,,56.18473299
1990,Canada,Transport,,120.4834305
1991,Canada,Transport,,114.317668
1992,Canada,Transport,,115.223505
1993,Canada,Transport,,116.7058174
1994,Canada,Transport,,121.3325641
1995,Canada,Transport,,122.1418004
1996,Canada,Transport,,125.7082914
1997,Canada,Transport,,131.4605986
1998,Canada,Transport,,137.2593897
1999,Canada,Transport,,143.0017722
2000,Canada,Transport,,144.938482
2001,Canada,Transport,,146.6375671
2002,Canada,Transport,,147.7341897
2003,Canada,Transport,,151.7211185
2004,Canada,Transport,,156.104578
2005,Canada,Transport,,160.0960332
2006,Canada,Transport,,161.0473367
2007,Canada,Transport,,164.429582
2008,Canada,Transport,,164.5065626
2009,Canada,Transport,,161.5188004
2010,Canada,Transport,,167.2251646
2011,Canada,Transport,,168.3335701
2012,Canada,Transport,,170.5282893
2013,Canada,Transport,,173.9919606
2014,Canada,Transport,,171.4625906
2015,Canada,Transport,,172.0637936
2016,Canada,Transport,,173.4694044
2017,Canada,Transport,,178.9183144
2018,Canada,Transport,,184.0545352
2019,Canada,Transport,,185.4630855
2020,Canada,Transport,,159.1662993
1990,Canada,Heavy Industry,,97.2152933
1991,Canada,Heavy Industry,,97.14868287
1992,Canada,Heavy Industry,,94.63427245
1993,Canada,Heavy Industry,,94.08968317
1994,Canada,Heavy Industry,,99.67125301
1995,Canada,Heavy Industry,,100.3841244
1996,Canada,Heavy Industry,,103.212054
1997,Canada,Heavy Industry,,102.6316122
1998,Canada,Heavy Industry,,97.56494497
1999,Canada,Heavy Industry,,94.72352641
2000,Canada,Heavy Industry,,94.07612171
2001,Canada,Heavy Industry,,88.33936881
2002,Canada,Heavy Industry,,89.0458514
2003,Canada,Heavy Industry,,88.26942926
2004,Canada,Heavy Industry,,92.17255672
2005,Canada,Heavy Industry,,87.16341018
2006,Canada,Heavy Industry,,87.02021574
2007,Canada,Heavy Industry,,85.95623016
2008,Canada,Heavy Industry,,84.52502135
2009,Canada,Heavy Industry,,71.52651658
2010,Canada,Heavy Industry,,74.55151739
2011,Canada,Heavy Industry,,80.39062009
2012,Canada,Heavy Industry,,80.15849353
2013,Canada,Heavy Industry,,78.57629664
2014,Canada,Heavy Industry,,79.37230134
2015,Canada,Heavy Industry,,77.76538247
2016,Canada,Heavy Industry,,76.29465967
2017,Canada,Heavy Industry,,75.52853937
2018,Canada,Heavy Industry,,77.48983152
2019,Canada,Heavy Industry,,77.35253172
2020,Canada,Heavy Industry,,71.79603901
1990,Canada,Buildings,,71.24808311
1991,Canada,Buildings,,70.57932477
1992,Canada,Buildings,,72.42277422
1993,Canada,Buildings,,75.9780908
1994,Canada,Buildings,,76.29471267
1995,Canada,Buildings,,77.03002514
1996,Canada,Buildings,,83.30593192
1997,Canada,Buildings,,80.79680422
1998,Canada,Buildings,,72.43670409
1999,Canada,Buildings,,76.30107737
2000,Canada,Buildings,,82.84317147
2001,Canada,Buildings,,79.46297601
2002,Canada,Buildings,,83.81565363
2003,Canada,Buildings,,89.0426142
2004,Canada,Buildings,,87.57561972
2005,Canada,Buildings,,83.67010254
2006,Canada,Buildings,,78.45534601
2007,Canada,Buildings,,84.28196559
2008,Canada,Buildings,,84.16417455
2009,Canada,Buildings,,82.57544998
2010,Canada,Buildings,,79.43748596
2011,Canada,Buildings,,84.68333966
2012,Canada,Buildings,,83.22080597
2013,Canada,Buildings,,84.3096308
2014,Canada,Buildings,,84.86150666
2015,Canada,Buildings,,83.81932509
2016,Canada,Buildings,,82.24329454
2017,Canada,Buildings,,86.6318212
2018,Canada,Buildings,,92.94826032
2019,Canada,Buildings,,92.00611649
2020,Canada,Buildings,,87.76239075
1990,Canada,Agriculture,,51.7258374
1991,Canada,Agriculture,,52.27084889
1992,Canada,Agriculture,,54.74348272
1993,Canada,Agriculture,,56.53513364
1994,Canada,Agriculture,,59.06730545
1995,Canada,Agriculture,,62.17314862
1996,Canada,Agriculture,,63.44228067
1997,Canada,Agriculture,,63.99978862
1998,Canada,Agriculture,,63.84190686
1999,Canada,Agriculture,,63.4517655
2000,Canada,Agriculture,,64.116883
2001,Canada,Agriculture,,62.86483322
2002,Canada,Agriculture,,62.93379094
2003,Canada,Agriculture,,65.1484707
2004,Canada,Agriculture,,65.93224947
2005,Canada,Agriculture,,66.44078871
2006,Canada,Agriculture,,64.99073522
2007,Canada,Agriculture,,65.0420794
2008,Canada,Agriculture,,64.15948713
2009,Canada,Agriculture,,61.93437375
2010,Canada,Agriculture,,61.85272288
2011,Canada,Agriculture,,62.36535046
2012,Canada,Agriculture,,63.71034811
2013,Canada,Agriculture,,65.37568919
2014,Canada,Agriculture,,63.77116435
2015,Canada,Agriculture,,64.64912636
2016,Canada,Agriculture,,64.94248436
2017,Canada,Agriculture,,64.33110434
2018,Canada,Agriculture,,66.25743317
2019,Canada,Agriculture,,66.66538797
2020,Canada,Agriculture,,68.65485545
1990,Canada,Waste,,24.41654205
1991,Canada,Waste,,24.50763764
1992,Canada,Waste,,25.02314775
1993,Canada,Waste,,25.49503497
1994,Canada,Waste,,26.09264023
1995,Canada,Waste,,26.41928319
1996,Canada,Waste,,26.02444673
1997,Canada,Waste,,25.78268694
1998,Canada,Waste,,26.6679835
1999,Canada,Waste,,27.58175629
2000,Canada,Waste,,28.28368622
2001,Canada,Waste,,28.24408986
2002,Canada,Waste,,28.81395467
2003,Canada,Waste,,28.84877462
2004,Canada,Waste,,28.29571906
2005,Canada,Waste,,28.7169905
2006,Canada,Waste,,28.68229682
2007,Canada,Waste,,28.2989682
2008,Canada,Waste,,27.83325501
2009,Canada,Waste,,26.9990876
2010,Canada,Waste,,26.06832099
2011,Canada,Waste,,26.09782705
2012,Canada,Waste,,25.95333045
2013,Canada,Waste,,26.20873217
2014,Canada,Waste,,25.9470449
2015,Canada,Waste,,26.20473919
2016,Canada,Waste,,26.25691954
2017,Canada,Waste,,26.72395914
2018,Canada,Waste,,26.99110652
2019,Canada,Waste,,27.16278978
2020,Canada,Waste,,27.35899077
1990,Canada,Coal Production,,4.025333622
1991,Canada,Coal Production,,4.174223732
1992,Canada,Coal Production,,3.539944463
1993,Canada,Coal Production,,4.161430214
1994,Canada,Coal Production,,4.158380942
1995,Canada,Coal Production,,4.044305601
1996,Canada,Coal Production,,4.015838772
1997,Canada,Coal Production,,4.003621868
1998,Canada,Coal Production,,3.490787832
1999,Canada,Coal Production,,3.126196495
2000,Canada,Coal Production,,3.16283823
2001,Canada,Coal Production,,3.249434816
2002,Canada,Coal Production,,2.866246176
2003,Canada,Coal Production,,2.722007313
2004,Canada,Coal Production,,2.811433169
2005,Canada,Coal Production,,2.348234068
2006,Canada,Coal Production,,2.30566892
2007,Canada,Coal Production,,2.557159294
2008,Canada,Coal Production,,2.517248128
2009,Canada,Coal Production,,2.423234093
2010,Canada,Coal Production,,2.762660644
2011,Canada,Coal Production,,2.669419036
2012,Canada,Coal Production,,2.681778008
2013,Canada,Coal Production,,2.856909984
2014,Canada,Coal Production,,2.381204036
2015,Canada,Coal Production,,2.267696011
2016,Canada,Coal Production,,2.439263034
2017,Canada,Coal Production,,2.233062288
2018,Canada,Coal Production,,2.545095203
2019,Canada,Coal Production,,2.545227705
2020,Canada,Coal Production,,2.278278866
1990,Canada,"Light Manufacturing, Construction and Forest Resources",,28.23737679
1991,Canada,"Light Manufacturing, Construction and Forest Resources",,26.62933526
1992,Canada,"Light Manufacturing, Construction and Forest Resources",,26.36569524
1993,Canada,"Light Manufacturing, Construction and Forest Resources",,24.06066742
1994,Canada,"Light Manufacturing, Construction and Forest Resources",,24.86561381
1995,Canada,"Light Manufacturing, Construction and Forest Resources",,27.45143098
1996,Canada,"Light Manufacturing, Construction and Forest Resources",,27.43063149
1997,Canada,"Light Manufacturing, Construction and Forest Resources",,27.68238153
1998,Canada,"Light Manufacturing, Construction and Forest Resources",,24.37721124
1999,Canada,"Light Manufacturing, Construction and Forest Resources",,24.49272398
2000,Canada,"Light Manufacturing, Construction and Forest Resources",,25.49053663
2001,Canada,"Light Manufacturing, Construction and Forest Resources",,23.70393382
2002,Canada,"Light Manufacturing, Construction and Forest Resources",,23.97266354
2003,Canada,"Light Manufacturing, Construction and Forest Resources",,24.29084536
2004,Canada,"Light Manufacturing, Construction and Forest Resources",,25.08538133
2005,Canada,"Light Manufacturing, Construction and Forest Resources",,23.89336068
2006,Canada,"Light Manufacturing, Construction and Forest Resources",,22.46832512
2007,Canada,"Light Manufacturing, Construction and Forest Resources",,23.64162243
2008,Canada,"Light Manufacturing, Construction and Forest Resources",,22.59937131
2009,Canada,"Light Manufacturing, Construction and Forest Resources",,20.11360068
2010,Canada,"Light Manufacturing, Construction and Forest Resources",,21.69166277
2011,Canada,"Light Manufacturing, Construction and Forest Resources",,22.50292707
2012,Canada,"Light Manufacturing, Construction and Forest Resources",,21.90484454
2013,Canada,"Light Manufacturing, Construction and Forest Resources",,22.27889322
2014,Canada,"Light Manufacturing, Construction and Forest Resources",,20.99624997
2015,Canada,"Light Manufacturing, Construction and Forest Resources",,21.28347271
