Year,Units,Geography,Core public infrastructure assets,Type of municipality by population size,Value
2016,Number,Alberta,Potable water,All municipalities,52.0
2016,Number,Alberta,Potable water,All urban municipalities,21.0
2016,Number,Alberta,Potable water,"Urban municipalities, population 1 to 4,999",4.0
2016,Number,Alberta,Potable water,"Urban municipalities, population 5,000 to 29,999",8.0
2016,Number,Alberta,Potable water,"Urban municipalities, population 30,000 or more",8.0
2016,Number,Alberta,Potable water,All rural municipalities,31.0
2016,Number,Alberta,Potable water,"Rural municipalities, population 1 to 4,999",22.0
2016,Number,Alberta,Potable water,"Rural municipalities, population 5,000 or more",9.0
2016,Number,Alberta,Solid waste,All municipalities,28.0
2016,Number,Alberta,Solid waste,All urban municipalities,13.0
2016,Number,Alberta,Solid waste,"Urban municipalities, population 1 to 4,999",1.0
2016,Number,Alberta,Solid waste,"Urban municipalities, population 5,000 to 29,999",6.0
2016,Number,Alberta,Solid waste,"Urban municipalities, population 30,000 or more",6.0
2016,Number,Alberta,Solid waste,All rural municipalities,15.0
2016,Number,Alberta,Solid waste,"Rural municipalities, population 1 to 4,999",12.0
2016,Number,Alberta,Solid waste,"Rural municipalities, population 5,000 or more",2.0
2016,Number,Alberta,Stormwater,All municipalities,74.0
2016,Number,Alberta,Stormwater,All urban municipalities,29.0
2016,Number,Alberta,Stormwater,"Urban municipalities, population 1 to 4,999",6.0
2016,Number,Alberta,Stormwater,"Urban municipalities, population 5,000 to 29,999",14.0
2016,Number,Alberta,Stormwater,"Urban municipalities, population 30,000 or more",9.0
2016,Number,Alberta,Stormwater,All rural municipalities,45.0
2016,Number,Alberta,Stormwater,"Rural municipalities, population 1 to 4,999",25.0
2016,Number,Alberta,Stormwater,"Rural municipalities, population 5,000 or more",20.0
2016,Number,Alberta,Wastewater,All municipalities,58.0
2016,Number,Alberta,Wastewater,All urban municipalities,24.0
2016,Number,Alberta,Wastewater,"Urban municipalities, population 1 to 4,999",7.0
2016,Number,Alberta,Wastewater,"Urban municipalities, population 5,000 to 29,999",11.0
2016,Number,Alberta,Wastewater,"Urban municipalities, population 30,000 or more",6.0
2016,Number,Alberta,Wastewater,All rural municipalities,35.0
2016,Number,Alberta,Wastewater,"Rural municipalities, population 1 to 4,999",19.0
2016,Number,Alberta,Wastewater,"Rural municipalities, population 5,000 or more",16.0
2016,Number,British Columbia,Potable water,All municipalities,65.0
2016,Number,British Columbia,Potable water,All urban municipalities,41.0
2016,Number,British Columbia,Potable water,"Urban municipalities, population 1 to 4,999",5.0
2016,Number,British Columbia,Potable water,"Urban municipalities, population 5,000 to 29,999",17.0
2016,Number,British Columbia,Potable water,"Urban municipalities, population 30,000 or more",19.0
2016,Number,British Columbia,Potable water,All rural municipalities,24.0
2016,Number,British Columbia,Potable water,"Rural municipalities, population 1 to 4,999",17.0
2016,Number,British Columbia,Potable water,"Rural municipalities, population 5,000 or more",7.0
2016,Number,British Columbia,Solid waste,All municipalities,19.0
2016,Number,British Columbia,Solid waste,All urban municipalities,12.0
2016,Number,British Columbia,Solid waste,"Urban municipalities, population 1 to 4,999",0.0
2016,Number,British Columbia,Solid waste,"Urban municipalities, population 5,000 to 29,999",4.0
2016,Number,British Columbia,Solid waste,"Urban municipalities, population 30,000 or more",8.0
2016,Number,British Columbia,Solid waste,All rural municipalities,7.0
2016,Number,British Columbia,Solid waste,"Rural municipalities, population 1 to 4,999",5.0
2016,Number,British Columbia,Solid waste,"Rural municipalities, population 5,000 or more",3.0
2016,Number,British Columbia,Stormwater,All municipalities,98.0
2016,Number,British Columbia,Stormwater,All urban municipalities,61.0
2016,Number,British Columbia,Stormwater,"Urban municipalities, population 1 to 4,999",8.0
2016,Number,British Columbia,Stormwater,"Urban municipalities, population 5,000 to 29,999",30.0
2016,Number,British Columbia,Stormwater,"Urban municipalities, population 30,000 or more",24.0
2016,Number,British Columbia,Stormwater,All rural municipalities,37.0
2016,Number,British Columbia,Stormwater,"Rural municipalities, population 1 to 4,999",25.0
2016,Number,British Columbia,Stormwater,"Rural municipalities, population 5,000 or more",12.0
2016,Number,British Columbia,Wastewater,All municipalities,69.0
2016,Number,British Columbia,Wastewater,All urban municipalities,41.0
2016,Number,British Columbia,Wastewater,"Urban municipalities, population 1 to 4,999",3.0
2016,Number,British Columbia,Wastewater,"Urban municipalities, population 5,000 to 29,999",20.0
2016,Number,British Columbia,Wastewater,"Urban municipalities, population 30,000 or more",18.0
2016,Number,British Columbia,Wastewater,All rural municipalities,27.0
