Year,Units,Stock status,Region,Stock group,Value
2011,Percentage,Healthy zone,Canada,,46.4516129032258
2012,Percentage,Healthy zone,Canada,,48.3870967741936
2013,Percentage,Healthy zone,Canada,,47.741935483871
2014,Percentage,Healthy zone,Canada,,48.7012987012987
2015,Percentage,Healthy zone,Canada,,49.0566037735849
2016,Percentage,Healthy zone,Canada,,44.7058823529412
2017,Percentage,Healthy zone,Canada,,35.195530726257
2018,Percentage,Healthy zone,Canada,,32.7683615819209
2019,Percentage,Healthy zone,Canada,,29.5454545454545
2020,Percentage,Healthy zone,Canada,,31.1111111111111
2021,Percentage,Healthy zone,Canada,,34.375
2022,Percentage,Healthy zone,Canada,,33.8461538461538
2023,Percentage,Healthy zone,Canada,,35.1758793969849
2011,Percentage,Cautious zone,Canada,,20.0
2012,Percentage,Cautious zone,Canada,,23.8709677419355
2013,Percentage,Cautious zone,Canada,,26.4516129032258
2014,Percentage,Cautious zone,Canada,,25.974025974026
2015,Percentage,Cautious zone,Canada,,19.496855345912
2016,Percentage,Cautious zone,Canada,,18.2352941176471
2017,Percentage,Cautious zone,Canada,,13.9664804469274
2018,Percentage,Cautious zone,Canada,,15.2542372881356
2019,Percentage,Cautious zone,Canada,,16.4772727272727
2020,Percentage,Cautious zone,Canada,,12.7777777777778
2021,Percentage,Cautious zone,Canada,,14.0625
2022,Percentage,Cautious zone,Canada,,12.3076923076923
2023,Percentage,Cautious zone,Canada,,11.5577889447236
2011,Percentage,Critical zone,Canada,,10.9677419354839
2012,Percentage,Critical zone,Canada,,9.67741935483871
2013,Percentage,Critical zone,Canada,,10.3225806451613
2014,Percentage,Critical zone,Canada,,9.74025974025974
2015,Percentage,Critical zone,Canada,,11.9496855345912
2016,Percentage,Critical zone,Canada,,12.3529411764706
2017,Percentage,Critical zone,Canada,,10.0558659217877
2018,Percentage,Critical zone,Canada,,10.7344632768362
2019,Percentage,Critical zone,Canada,,14.2045454545455
2020,Percentage,Critical zone,Canada,,12.7777777777778
2021,Percentage,Critical zone,Canada,,11.4583333333333
2022,Percentage,Critical zone,Canada,,11.7948717948718
2023,Percentage,Critical zone,Canada,,15.5778894472362
2011,Percentage,Status uncertain,Canada,,22.5806451612903
2012,Percentage,Status uncertain,Canada,,18.0645161290323
2013,Percentage,Status uncertain,Canada,,15.4838709677419
2014,Percentage,Status uncertain,Canada,,15.5844155844156
2015,Percentage,Status uncertain,Canada,,19.496855345912
2016,Percentage,Status uncertain,Canada,,24.7058823529412
2017,Percentage,Status uncertain,Canada,,40.7821229050279
2018,Percentage,Status uncertain,Canada,,41.2429378531073
2019,Percentage,Status uncertain,Canada,,39.7727272727273
2020,Percentage,Status uncertain,Canada,,43.3333333333333
