Year,Geography,Violations,GeoCode,Value
2015,,,,1070.26
2016,,,,1076.03
2017,,,,1112.67
2018,,,,1151.36
2019,,,,1278.46
2020,,,,1265.03
2021,,,,1331.12
2022,,,,1376.93
2023,,,,1441.79
2024,,,,1433.46
2015,Canada,Homicide,,1.71
2015,Canada,Total other violations causing death,,0.24
2015,Canada,Attempted murder,,2.18
2015,Canada,"Sexual assault, level 3, aggravated",,0.29
2015,Canada,"Sexual assault, level 2, weapon or bodily harm",,1.06
2015,Canada,"Sexual assault, level 1",,57.32
2015,Canada,Total sexual violations against children,,14.72
2015,Canada,"Assault, level 3, aggravated",,9.3
2015,Canada,"Assault, level 2, weapon or bodily harm",,132.73
2015,Canada,"Assault, level 1",,439.87
2015,Canada,Total robbery,,62.04
2015,Canada,Uttering threats,,175.94
2015,Canada,Total other violent violations,,14.16
2015,Newfoundland and Labrador,Total violent Criminal Code violations,10,1368.64
2015,Newfoundland and Labrador,Homicide,10,0.57
2015,Newfoundland and Labrador,Total other violations causing death,10,0.0
2015,Newfoundland and Labrador,Attempted murder,10,0.76
2015,Newfoundland and Labrador,"Sexual assault, level 3, aggravated",10,0.19
2015,Newfoundland and Labrador,"Sexual assault, level 2, weapon or bodily harm",10,0.19
2015,Newfoundland and Labrador,"Sexual assault, level 1",10,68.55
2015,Newfoundland and Labrador,Total sexual violations against children,10,19.12
2015,Newfoundland and Labrador,"Assault, level 3, aggravated",10,7.38
2015,Newfoundland and Labrador,"Assault, level 2, weapon or bodily harm",10,114.94
2015,Newfoundland and Labrador,"Assault, level 1",10,600.44
2015,Newfoundland and Labrador,Total robbery,10,35.41
2015,Newfoundland and Labrador,Uttering threats,10,351.82
2015,Newfoundland and Labrador,Total other violent violations,10,9.09
2015,Prince Edward Island,Total violent Criminal Code violations,11,749.24
2015,Prince Edward Island,Homicide,11,0.69
2015,Prince Edward Island,Total other violations causing death,11,0.0
2015,Prince Edward Island,Attempted murder,11,2.08
2015,Prince Edward Island,"Sexual assault, level 3, aggravated",11,0.0
2015,Prince Edward Island,"Sexual assault, level 2, weapon or bodily harm",11,0.0
2015,Prince Edward Island,"Sexual assault, level 1",11,48.43
2015,Prince Edward Island,Total sexual violations against children,11,15.91
2015,Prince Edward Island,"Assault, level 3, aggravated",11,4.15
2015,Prince Edward Island,"Assault, level 2, weapon or bodily harm",11,62.26
2015,Prince Edward Island,"Assault, level 1",11,312.7
2015,Prince Edward Island,Total robbery,11,11.07
2015,Prince Edward Island,Uttering threats,11,140.44
2015,Prince Edward Island,Total other violent violations,11,13.84
2015,Nova Scotia,Total violent Criminal Code violations,12,1205.84
2015,Nova Scotia,Homicide,12,1.28
2015,Nova Scotia,Total other violations causing death,12,0.21
2015,Nova Scotia,Attempted murder,12,3.52
2015,Nova Scotia,"Sexual assault, level 3, aggravated",12,0.43
2015,Nova Scotia,"Sexual assault, level 2, weapon or bodily harm",12,0.75
2015,Nova Scotia,"Sexual assault, level 1",12,69.62
2015,Nova Scotia,Total sexual violations against children,12,21.14
2015,Nova Scotia,"Assault, level 3, aggravated",12,9.5
2015,Nova Scotia,"Assault, level 2, weapon or bodily harm",12,112.44
2015,Nova Scotia,"Assault, level 1",12,461.17
2015,Nova Scotia,Total robbery,12,34.28
2015,Nova Scotia,Uttering threats,12,260.11
2015,Nova Scotia,Total other violent violations,12,16.23
2015,New Brunswick,Total violent Criminal Code violations,13,1175.34
2015,New Brunswick,Homicide,13,1.45
2015,New Brunswick,Total other violations causing death,13,0.13
2015,New Brunswick,Attempted murder,13,2.24
2015,New Brunswick,"Sexual assault, level 3, aggravated",13,0.13
2015,New Brunswick,"Sexual assault, level 2, weapon or bodily harm",13,0.66
2015,New Brunswick,"Sexual assault, level 1",13,54.29
2015,New Brunswick,Total sexual violations against children,13,18.84
2015,New Brunswick,"Assault, level 3, aggravated",13,6.46
2015,New Brunswick,"Assault, level 2, weapon or bodily harm",13,102.79
2015,New Brunswick,"Assault, level 1",13,500.37
2015,New Brunswick,Total robbery,13,20.16
2015,New Brunswick,Uttering threats,13,273.84
2015,New Brunswick,Total other violent violations,13,9.75
2015,Quebec,Total violent Criminal Code violations,24,966.02
2015,Quebec,Homicide,24,0.97
2015,Quebec,Total other violations causing death,24,0.21
2015,Quebec,Attempted murder,24,2.5
2015,Quebec,"Sexual assault, level 3, aggravated",24,0.4
2015,Quebec,"Sexual assault, level 2, weapon or bodily harm",24,1.11
2015,Quebec,"Sexual assault, level 1",24,45.98
2015,Quebec,Total sexual violations against children,24,20.88
2015,Quebec,"Assault, level 3, aggravated",24,3.19
2015,Quebec,"Assault, level 2, weapon or bodily harm",24,114.69
2015,Quebec,"Assault, level 1",24,371.28
2015,Quebec,Total robbery,24,49.37
2015,Quebec,Uttering threats,24,189.31
2015,Quebec,Total other violent violations,24,23.06
2015,Ontario,Total violent Criminal Code violations,35,793.0
2015,Ontario,Homicide,35,1.27
2015,Ontario,Total other violations causing death,35,0.22
2015,Ontario,Attempted murder,35,1.84
2015,Ontario,"Sexual assault, level 3, aggravated",35,0.15
2015,Ontario,"Sexual assault, level 2, weapon or bodily harm",35,0.98
2015,Ontario,"Sexual assault, level 1",35,53.8
2015,Ontario,Total sexual violations against children,35,8.12
2015,Ontario,"Assault, level 3, aggravated",35,7.4
