Year,Institutions,Characteristics,Level of confidence,Value
2019,,,,41
2019,Police,Total population,Some confidence,49
2019,Police,Total population,Not very much or no confidence,9
2019,Police,Male,A great deal of confidence,41
2019,Police,Male,Some confidence,49
2019,Police,Male,Not very much or no confidence,10
2019,Police,Female,A great deal of confidence,42
2019,Police,Female,Some confidence,49
2019,Police,Female,Not very much or no confidence,9
2019,Police,Indigenous person,A great deal of confidence,27
2019,Police,Indigenous person,Some confidence,55
2019,Police,Indigenous person,Not very much or no confidence,16
2019,Police,Non-Indigenous person,A great deal of confidence,42
2019,Police,Non-Indigenous person,Some confidence,49
2019,Police,Non-Indigenous person,Not very much or no confidence,9
2019,Police,Visible minority,A great deal of confidence,35
2019,Police,Visible minority,Some confidence,52
2019,Police,Visible minority,Not very much or no confidence,13
2019,Police,Non-visible minority,A great deal of confidence,44
2019,Police,Non-visible minority,Some confidence,48
2019,Police,Non-visible minority,Not very much or no confidence,8
