Year,Region,Goods and services (products),Value
2015,,,1003.855
2015,All regions,Environmental products,663.88
2015,All regions,Clean technology products,339.977
2016,,,930.2
2016,All regions,Environmental products,616.125
2016,All regions,Clean technology products,314.07
2017,,,1026.533
2017,All regions,Environmental products,718.013
2017,All regions,Clean technology products,308.525
2018,,,977.25
2018,All regions,Environmental products,647.58
2018,All regions,Clean technology products,329.674
2019,,,1121.822
2019,All regions,Environmental products,586.709
2019,All regions,Clean technology products,535.114
2020,,,1050.244
2020,All regions,Environmental products,500.825
2020,All regions,Clean technology products,549.419
2021,,,1139.218
2021,All regions,Environmental products,540.781
2021,All regions,Clean technology products,598.436
2022,,,1340.725
2022,All regions,Environmental products,804.454
2022,All regions,Clean technology products,536.267
2023,,,1410.165
2023,All regions,Environmental products,914.588
2023,All regions,Clean technology products,495.578
2015,Europe,Environmental and clean technology products,1.947
2015,Europe,Environmental products,0.0
2015,Europe,Clean technology products,1.947
2015,North America,Environmental and clean technology products,47.027
2015,North America,Environmental products,0.866
2015,North America,Clean technology products,46.161
2015,Africa,Environmental and clean technology products,54.396
2015,Africa,Environmental products,16.184
2015,Africa,Clean technology products,38.215
2015,South America,Environmental and clean technology products,59.309
2015,South America,Environmental products,2.093
2015,South America,Clean technology products,57.215
2015,Central America,Environmental and clean technology products,7.706
2015,Central America,Environmental products,1.218
2015,Central America,Clean technology products,6.488
2015,Antilles,Environmental and clean technology products,16.134
2015,Antilles,Environmental products,1.543
2015,Antilles,Clean technology products,14.593
2015,Middle East,Environmental and clean technology products,8.263
2015,Middle East,Environmental products,0.05
2015,Middle East,Clean technology products,8.213
2015,Oceania,Environmental and clean technology products,1.736
2015,Oceania,Environmental products,0.001
2015,Oceania,Clean technology products,1.735
2015,Asia,Environmental and clean technology products,807.337
2015,Asia,Environmental products,641.925
2015,Asia,Clean technology products,165.41
2016,Europe,Environmental and clean technology products,1.677
2016,Europe,Environmental products,0.015
2016,Europe,Clean technology products,1.661
2016,North America,Environmental and clean technology products,44.726
2016,North America,Environmental products,1.819
2016,North America,Clean technology products,42.907
2016,Africa,Environmental and clean technology products,61.197
2016,Africa,Environmental products,3.641
2016,Africa,Clean technology products,57.554
2016,South America,Environmental and clean technology products,37.531
2016,South America,Environmental products,0.796
2016,South America,Clean technology products,36.735
2016,Central America,Environmental and clean technology products,3.391
2016,Central America,Environmental products,0.003
2016,Central America,Clean technology products,3.388
2016,Antilles,Environmental and clean technology products,14.376
2016,Antilles,Environmental products,0.578
2016,Antilles,Clean technology products,13.797
2016,Middle East,Environmental and clean technology products,3.32
2016,Middle East,Environmental products,0.062
2016,Middle East,Clean technology products,3.257
2016,Oceania,Environmental and clean technology products,0.375
2016,Oceania,Environmental products,0.0
2016,Oceania,Clean technology products,0.375
2016,Asia,Environmental and clean technology products,763.607
2016,Asia,Environmental products,609.211
2016,Asia,Clean technology products,154.396
2017,Europe,Environmental and clean technology products,1.316
