Year,Index,Value
2001,,62
2006,,65
2011,,66
2016,,67
2021,,65
2001,Biodiversity,47
2006,Biodiversity,49
2011,Biodiversity,50
2016,Biodiversity,50
2021,Biodiversity,51
1981,Soil Quality,60
1986,Soil Quality,65
1991,Soil Quality,70
1996,Soil Quality,72
2001,Soil Quality,75
2006,Soil Quality,77
2011,Soil Quality,79
2016,Soil Quality,79
2021,Soil Quality,79
1981,Water Quality,79
1986,Water Quality,81
1991,Water Quality,80
1996,Water Quality,77
2001,Water Quality,73
2006,Water Quality,74
2011,Water Quality,69
2016,Water Quality,75
2021,Water Quality,66
1981,Air Quality,49
1986,Air Quality,52
1991,Air Quality,54
1996,Air Quality,53
2001,Air Quality,55
2006,Air Quality,59
2011,Air Quality,64
2016,Air Quality,64
2021,Air Quality,65
