Year,Units,Geography,Type of event,GeoCode,Value
2016,"Rate per 100,000 population",Canada,Apparent opioid toxicity deaths,,7.8
2016,Number,Canada,Apparent opioid toxicity deaths,,2830.0
2017,"Rate per 100,000 population",Canada,Apparent opioid toxicity deaths,,10.7
2017,Number,Canada,Apparent opioid toxicity deaths,,3924.0
2018,"Rate per 100,000 population",Canada,Apparent opioid toxicity deaths,,11.3
2018,Number,Canada,Apparent opioid toxicity deaths,,4201.0
2019,"Rate per 100,000 population",Canada,Apparent opioid toxicity deaths,,9.9
2019,Number,Canada,Apparent opioid toxicity deaths,,3711.0
2020,"Rate per 100,000 population",Canada,Apparent opioid toxicity deaths,,16.9
2020,Number,Canada,Apparent opioid toxicity deaths,,6423.0
2021,"Rate per 100,000 population",Canada,Apparent opioid toxicity deaths,,20.9
2021,Number,Canada,Apparent opioid toxicity deaths,,8006.0
2016,"Rate per 100,000 population",British Columbia,Apparent opioid toxicity deaths,59,16.6
2016,Number,British Columbia,Apparent opioid toxicity deaths,59,805.0
2017,"Rate per 100,000 population",British Columbia,Apparent opioid toxicity deaths,59,26.3
2017,Number,British Columbia,Apparent opioid toxicity deaths,59,1296.0
2018,"Rate per 100,000 population",British Columbia,Apparent opioid toxicity deaths,59,26.9
2018,Number,British Columbia,Apparent opioid toxicity deaths,59,1348.0
2019,"Rate per 100,000 population",British Columbia,Apparent opioid toxicity deaths,59,20.0
2019,Number,British Columbia,Apparent opioid toxicity deaths,59,1020.0
2020,"Rate per 100,000 population",British Columbia,Apparent opioid toxicity deaths,59,34.8
2020,Number,British Columbia,Apparent opioid toxicity deaths,59,1794.0
2021,"Rate per 100,000 population",British Columbia,Apparent opioid toxicity deaths,59,44.8
2021,Number,British Columbia,Apparent opioid toxicity deaths,59,2333.0
2016,"Rate per 100,000 population",Alberta,Apparent opioid toxicity deaths,48,14.3
2016,Number,Alberta,Apparent opioid toxicity deaths,48,602.0
2017,"Rate per 100,000 population",Alberta,Apparent opioid toxicity deaths,48,17.5
2017,Number,Alberta,Apparent opioid toxicity deaths,48,744.0
2018,"Rate per 100,000 population",Alberta,Apparent opioid toxicity deaths,48,18.7
2018,Number,Alberta,Apparent opioid toxicity deaths,48,805.0
2019,"Rate per 100,000 population",Alberta,Apparent opioid toxicity deaths,48,14.3
2019,Number,Alberta,Apparent opioid toxicity deaths,48,626.0
2020,"Rate per 100,000 population",Alberta,Apparent opioid toxicity deaths,48,26.8
2020,Number,Alberta,Apparent opioid toxicity deaths,48,1184.0
2021,"Rate per 100,000 population",Alberta,Apparent opioid toxicity deaths,48,36.5
2021,Number,Alberta,Apparent opioid toxicity deaths,48,1621.0
2016,"Rate per 100,000 population",Saskatchewan,Apparent opioid toxicity deaths,47,7.3
2016,Number,Saskatchewan,Apparent opioid toxicity deaths,47,83.0
2017,"Rate per 100,000 population",Saskatchewan,Apparent opioid toxicity deaths,47,7.4
2017,Number,Saskatchewan,Apparent opioid toxicity deaths,47,85.0
2018,"Rate per 100,000 population",Saskatchewan,Apparent opioid toxicity deaths,47,10.8
2018,Number,Saskatchewan,Apparent opioid toxicity deaths,47,126.0
2019,"Rate per 100,000 population",Saskatchewan,Apparent opioid toxicity deaths,47,10.0
2019,Number,Saskatchewan,Apparent opioid toxicity deaths,47,117.0
2020,"Rate per 100,000 population",Saskatchewan,Apparent opioid toxicity deaths,47,22.7
2020,Number,Saskatchewan,Apparent opioid toxicity deaths,47,268.0
2021,"Rate per 100,000 population",Saskatchewan,Apparent opioid toxicity deaths,47,28.0
2021,Number,Saskatchewan,Apparent opioid toxicity deaths,47,331.0
2016,"Rate per 100,000 population",Manitoba,Apparent opioid toxicity deaths,46,6.7
2016,Number,Manitoba,Apparent opioid toxicity deaths,46,88.0
2017,"Rate per 100,000 population",Manitoba,Apparent opioid toxicity deaths,46,7.9
2017,Number,Manitoba,Apparent opioid toxicity deaths,46,106.0
2018,"Rate per 100,000 population",Manitoba,Apparent opioid toxicity deaths,46,6.9
2018,Number,Manitoba,Apparent opioid toxicity deaths,46,93.0
2019,"Rate per 100,000 population",Manitoba,Apparent opioid toxicity deaths,46,4.5
2019,Number,Manitoba,Apparent opioid toxicity deaths,46,62.0
2020,"Rate per 100,000 population",Manitoba,Apparent opioid toxicity deaths,46,18.8
2020,Number,Manitoba,Apparent opioid toxicity deaths,46,260.0
2021,"Rate per 100,000 population",Manitoba,Apparent opioid toxicity deaths,46,18.7
2021,Number,Manitoba,Apparent opioid toxicity deaths,46,260.0
2016,"Rate per 100,000 population",Ontario,Apparent opioid toxicity deaths,35,6.2
2016,Number,Ontario,Apparent opioid toxicity deaths,35,867.0
2017,"Rate per 100,000 population",Ontario,Apparent opioid toxicity deaths,35,9.0
2017,Number,Ontario,Apparent opioid toxicity deaths,35,1265.0
2018,"Rate per 100,000 population",Ontario,Apparent opioid toxicity deaths,35,10.5
2018,Number,Ontario,Apparent opioid toxicity deaths,35,1507.0
2019,"Rate per 100,000 population",Ontario,Apparent opioid toxicity deaths,35,10.7
2019,Number,Ontario,Apparent opioid toxicity deaths,35,1558.0
2020,"Rate per 100,000 population",Ontario,Apparent opioid toxicity deaths,35,16.7
2020,Number,Ontario,Apparent opioid toxicity deaths,35,2461.0
2021,"Rate per 100,000 population",Ontario,Apparent opioid toxicity deaths,35,19.3
2021,Number,Ontario,Apparent opioid toxicity deaths,35,2864.0
2016,"Rate per 100,000 population",Quebec,Apparent opioid toxicity deaths,24,3.2
2016,Number,Quebec,Apparent opioid toxicity deaths,24,263.0
2017,"Rate per 100,000 population",Quebec,Apparent opioid toxicity deaths,24,3.4
2017,Number,Quebec,Apparent opioid toxicity deaths,24,280.0
2018,"Rate per 100,000 population",Quebec,Apparent opioid toxicity deaths,24,2.5
2018,Number,Quebec,Apparent opioid toxicity deaths,24,211.0
2019,"Rate per 100,000 population",Quebec,Apparent opioid toxicity deaths,24,2.4
2019,Number,Quebec,Apparent opioid toxicity deaths,24,208.0
2020,"Rate per 100,000 population",Quebec,Apparent opioid toxicity deaths,24,3.7
2020,Number,Quebec,Apparent opioid toxicity deaths,24,316.0
2021,"Rate per 100,000 population",Quebec,Apparent opioid toxicity deaths,24,5.2
2021,Number,Quebec,Apparent opioid toxicity deaths,24,450.0
2016,"Rate per 100,000 population",New Brunswick,Apparent opioid toxicity deaths,13,4.5
2016,Number,New Brunswick,Apparent opioid toxicity deaths,13,34.0
2017,"Rate per 100,000 population",New Brunswick,Apparent opioid toxicity deaths,13,5.0
2017,Number,New Brunswick,Apparent opioid toxicity deaths,13,38.0
2018,"Rate per 100,000 population",New Brunswick,Apparent opioid toxicity deaths,13,3.9
2018,Number,New Brunswick,Apparent opioid toxicity deaths,13,30.0
2019,"Rate per 100,000 population",New Brunswick,Apparent opioid toxicity deaths,13,4.5
2019,Number,New Brunswick,Apparent opioid toxicity deaths,13,35.0
2020,"Rate per 100,000 population",New Brunswick,Apparent opioid toxicity deaths,13,5.7
2020,Number,New Brunswick,Apparent opioid toxicity deaths,13,45.0
2021,"Rate per 100,000 population",New Brunswick,Apparent opioid toxicity deaths,13,5.6
2021,Number,New Brunswick,Apparent opioid toxicity deaths,13,44.0
2016,"Rate per 100,000 population",Nova Scotia,Apparent opioid toxicity deaths,12,5.6
2016,Number,Nova Scotia,Apparent opioid toxicity deaths,12,53.0
2017,"Rate per 100,000 population",Nova Scotia,Apparent opioid toxicity deaths,12,6.7
2017,Number,Nova Scotia,Apparent opioid toxicity deaths,12,64.0
2018,"Rate per 100,000 population",Nova Scotia,Apparent opioid toxicity deaths,12,5.6
2018,Number,Nova Scotia,Apparent opioid toxicity deaths,12,54.0
2019,"Rate per 100,000 population",Nova Scotia,Apparent opioid toxicity deaths,12,5.9
2019,Number,Nova Scotia,Apparent opioid toxicity deaths,12,57.0
2020,"Rate per 100,000 population",Nova Scotia,Apparent opioid toxicity deaths,12,5.1
2020,Number,Nova Scotia,Apparent opioid toxicity deaths,12,50.0
2021,"Rate per 100,000 population",Nova Scotia,Apparent opioid toxicity deaths,12,3.9
2021,Number,Nova Scotia,Apparent opioid toxicity deaths,12,39.0
2016,"Rate per 100,000 population",Prince Edward Island,Apparent opioid toxicity deaths,11,3.4
2016,Number,Prince Edward Island,Apparent opioid toxicity deaths,11,5.0
2017,"Rate per 100,000 population",Prince Edward Island,Apparent opioid toxicity deaths,11,3.3
2017,Number,Prince Edward Island,Apparent opioid toxicity deaths,11,5.0
2018,"Rate per 100,000 population",Prince Edward Island,Apparent opioid toxicity deaths,11,5.2
2018,Number,Prince Edward Island,Apparent opioid toxicity deaths,11,8.0
2019,"Rate per 100,000 population",Prince Edward Island,Apparent opioid toxicity deaths,11,3.2
2019,Number,Prince Edward Island,Apparent opioid toxicity deaths,11,5.0
2020,"Rate per 100,000 population",Prince Edward Island,Apparent opioid toxicity deaths,11,5.0
2020,Number,Prince Edward Island,Apparent opioid toxicity deaths,11,8.0
2021,"Rate per 100,000 population",Prince Edward Island,Apparent opioid toxicity deaths,11,7.3
2021,Number,Prince Edward Island,Apparent opioid toxicity deaths,11,12.0
2016,"Rate per 100,000 population",Newfoundland and Labrador,Apparent opioid toxicity deaths,10,3.4
2016,Number,Newfoundland and Labrador,Apparent opioid toxicity deaths,10,18.0
2017,"Rate per 100,000 population",Newfoundland and Labrador,Apparent opioid toxicity deaths,10,6.2
2017,Number,Newfoundland and Labrador,Apparent opioid toxicity deaths,10,33.0
2018,"Rate per 100,000 population",Newfoundland and Labrador,Apparent opioid toxicity deaths,10,2.3
2018,Number,Newfoundland and Labrador,Apparent opioid toxicity deaths,10,12.0
2019,"Rate per 100,000 population",Newfoundland and Labrador,Apparent opioid toxicity deaths,10,3.4
2019,Number,Newfoundland and Labrador,Apparent opioid toxicity deaths,10,18.0
2020,"Rate per 100,000 population",Newfoundland and Labrador,Apparent opioid toxicity deaths,10,4.6
2020,Number,Newfoundland and Labrador,Apparent opioid toxicity deaths,10,24.0
2021,"Rate per 100,000 population",Newfoundland and Labrador,Apparent opioid toxicity deaths,10,4.8
2021,Number,Newfoundland and Labrador,Apparent opioid toxicity deaths,10,25.0
2016,"Rate per 100,000 population",Yukon,Apparent opioid toxicity deaths,60,18.2
2016,Number,Yukon,Apparent opioid toxicity deaths,60,7.0
2017,"Rate per 100,000 population",Yukon,Apparent opioid toxicity deaths,60,17.7
2017,Number,Yukon,Apparent opioid toxicity deaths,60,7.0
2018,"Rate per 100,000 population",Yukon,Apparent opioid toxicity deaths,60,12.3
2018,Number,Yukon,Apparent opioid toxicity deaths,60,5.0
2019,"Rate per 100,000 population",Yukon,Apparent opioid toxicity deaths,60,9.7
2019,Number,Yukon,Apparent opioid toxicity deaths,60,4.0
2020,"Rate per 100,000 population",Yukon,Apparent opioid toxicity deaths,60,23.7
2020,Number,Yukon,Apparent opioid toxicity deaths,60,10.0
2021,"Rate per 100,000 population",Yukon,Apparent opioid toxicity deaths,60,53.2
2021,Number,Yukon,Apparent opioid toxicity deaths,60,23.0
2016,"Rate per 100,000 population",Northwest Territories,Apparent opioid toxicity deaths,61,11.2
2016,Number,Northwest Territories,Apparent opioid toxicity deaths,61,5.0
2017,"Rate per 100,000 population",Northwest Territories,Apparent opioid toxicity deaths,61,2.2
2017,Number,Northwest Territories,Apparent opioid toxicity deaths,61,1.0
2018,"Rate per 100,000 population",Northwest Territories,Apparent opioid toxicity deaths,61,4.4
2018,Number,Northwest Territories,Apparent opioid toxicity deaths,61,2.0
2019,"Rate per 100,000 population",Northwest Territories,Apparent opioid toxicity deaths,61,2.2
2019,Number,Northwest Territories,Apparent opioid toxicity deaths,61,1.0
2020,"Rate per 100,000 population",Northwest Territories,Apparent opioid toxicity deaths,61,6.6
2020,Number,Northwest Territories,Apparent opioid toxicity deaths,61,3.0
2021,"Rate per 100,000 population",Northwest Territories,Apparent opioid toxicity deaths,61,8.8
2021,Number,Northwest Territories,Apparent opioid toxicity deaths,61,4.0
2016,"Rate per 100,000 population",Nunavut,Apparent opioid toxicity deaths,62,
2016,Number,Nunavut,Apparent opioid toxicity deaths,62,
2017,"Rate per 100,000 population",Nunavut,Apparent opioid toxicity deaths,62,
2017,Number,Nunavut,Apparent opioid toxicity deaths,62,
