Year,Sex,Age group,Value
2011,,,23.8
2013,,,24.2
2015,,,25.7
2017,,,24.4
2019,,,22.1
2024,,,29.9
2011,Both sexes,Ages 5 to 17,11.7
2011,Both sexes,Ages 5 to 11,13.2
2011,Both sexes,Ages 12 to 17,10.2
2011,Both sexes,Ages 18 to 79,26.2
2011,Both sexes,Ages 18 to 39,18.7
2011,Both sexes,Ages 40 to 59,29.6
2011,Both sexes,Ages 60 to 79,33.7
2011,Males,Ages 5 to 79,25.2
2011,Males,Ages 5 to 17,15.1
2011,Males,Ages 5 to 11,19.6
2011,Males,Ages 12 to 17,10.7
2011,Males,Ages 18 to 79,27.3
2011,Males,Ages 18 to 39,19.2
2011,Males,Ages 40 to 59,31.1
2011,Males,Ages 60 to 79,35.6
2011,Females,Ages 5 to 79,22.5
2011,Females,Ages 5 to 17,8.0
2011,Females,Ages 5 to 11,6.3
2011,Females,Ages 12 to 17,9.6
2011,Females,Ages 18 to 79,25.2
2011,Females,Ages 18 to 39,18.2
2011,Females,Ages 40 to 59,28.0
2011,Females,Ages 60 to 79,32.0
2013,Both sexes,Ages 5 to 17,12.6
2013,Both sexes,Ages 5 to 11,8.9
2013,Both sexes,Ages 12 to 17,16.5
2013,Both sexes,Ages 18 to 79,26.4
2013,Both sexes,Ages 18 to 39,21.5
2013,Both sexes,Ages 40 to 59,30.1
2013,Both sexes,Ages 60 to 79,28.6
2013,Males,Ages 5 to 79,24.6
2013,Males,Ages 5 to 17,14.6
2013,Males,Ages 5 to 11,8.4
2013,Males,Ages 12 to 17,21.0
2013,Males,Ages 18 to 79,26.5
2013,Males,Ages 18 to 39,19.6
2013,Males,Ages 40 to 59,31.4
2013,Males,Ages 60 to 79,30.5
2013,Females,Ages 5 to 79,23.8
2013,Females,Ages 5 to 17,10.5
2013,Females,Ages 5 to 11,9.4
2013,Females,Ages 12 to 17,11.7
2013,Females,Ages 18 to 79,26.3
2013,Females,Ages 18 to 39,23.4
2013,Females,Ages 40 to 59,28.8
2013,Females,Ages 60 to 79,26.8
2015,Both sexes,Ages 5 to 17,13.0
2015,Both sexes,Ages 5 to 11,12.4
2015,Both sexes,Ages 12 to 17,13.8
2015,Both sexes,Ages 18 to 79,28.1
2015,Both sexes,Ages 18 to 39,24.2
2015,Both sexes,Ages 40 to 59,29.0
2015,Both sexes,Ages 60 to 79,33.2
2015,Males,Ages 5 to 79,26.2
2015,Males,Ages 5 to 17,14.6
2015,Males,Ages 5 to 11,13.9
2015,Males,Ages 12 to 17,15.3
2015,Males,Ages 18 to 79,28.5
2015,Males,Ages 18 to 39,24.7
2015,Males,Ages 40 to 59,29.4
2015,Males,Ages 60 to 79,33.4
2015,Females,Ages 5 to 79,25.3
2015,Females,Ages 5 to 17,11.4
2015,Females,Ages 5 to 11,10.6
2015,Females,Ages 12 to 17,12.1
2015,Females,Ages 18 to 79,27.8
2015,Females,Ages 18 to 39,23.7
2015,Females,Ages 40 to 59,28.6
2015,Females,Ages 60 to 79,32.9
2017,Both sexes,Ages 5 to 17,10.6
2017,Both sexes,Ages 5 to 11,9.6
2017,Both sexes,Ages 12 to 17,11.8
2017,Both sexes,Ages 18 to 79,26.9
2017,Both sexes,Ages 18 to 39,19.8
2017,Both sexes,Ages 40 to 59,30.5
2017,Both sexes,Ages 60 to 79,32.6
2017,Males,Ages 5 to 79,24.6
2017,Males,Ages 5 to 17,12.0
2017,Males,Ages 5 to 11,11.5
2017,Males,Ages 12 to 17,12.6
2017,Males,Ages 18 to 79,26.9
2017,Males,Ages 18 to 39,20.8
2017,Males,Ages 40 to 59,29.5
2017,Males,Ages 60 to 79,33.0
2017,Females,Ages 5 to 79,24.2
2017,Females,Ages 5 to 17,9.1
2017,Females,Ages 5 to 11,7.6
2017,Females,Ages 12 to 17,10.9
2017,Females,Ages 18 to 79,27.0
2017,Females,Ages 18 to 39,18.7
2017,Females,Ages 40 to 59,31.4
2017,Females,Ages 60 to 79,32.3
2019,Both sexes,Ages 5 to 17,10.1
2019,Both sexes,Ages 5 to 11,9.1
2019,Both sexes,Ages 12 to 17,11.2
2019,Both sexes,Ages 18 to 79,24.3
2019,Both sexes,Ages 18 to 39,19.8
2019,Both sexes,Ages 40 to 59,25.5
2019,Both sexes,Ages 60 to 79,29.3
2019,Males,Ages 5 to 79,24.5
2019,Males,Ages 5 to 17,13.1
2019,Males,Ages 5 to 11,11.1
2019,Males,Ages 12 to 17,15.4
2019,Males,Ages 18 to 79,26.7
2019,Males,Ages 18 to 39,23.5
2019,Males,Ages 40 to 59,29.2
2019,Males,Ages 60 to 79,28.1
2019,Females,Ages 5 to 79,19.6
2019,Females,Ages 5 to 17,7.0
2019,Females,Ages 5 to 11,7.0
2019,Females,Ages 12 to 17,7.0
2019,Females,Ages 18 to 79,22.0
2019,Females,Ages 18 to 39,15.8
2019,Females,Ages 40 to 59,21.8
2019,Females,Ages 60 to 79,30.4
2024,Both sexes,Ages 5 to 17,11.4
2024,Both sexes,Ages 5 to 11,11.1
2024,Both sexes,Ages 12 to 17,11.9
2024,Both sexes,Ages 18 to 79,33.4
2024,Both sexes,Ages 18 to 39,30.9
2024,Both sexes,Ages 40 to 59,36.1
2024,Both sexes,Ages 60 to 79,33.9
2024,Males,Ages 5 to 79,31.3
2024,Males,Ages 5 to 17,14.0
2024,Males,Ages 5 to 11,13.4
2024,Males,Ages 12 to 17,14.7
2024,Males,Ages 18 to 79,34.8
2024,Males,Ages 18 to 39,32.7
2024,Males,Ages 40 to 59,37.4
2024,Males,Ages 60 to 79,34.6
2024,Females,Ages 5 to 79,28.3
2024,Females,Ages 5 to 17,8.6
2024,Females,Ages 5 to 11,8.5
2024,Females,Ages 12 to 17,8.8
2024,Females,Ages 18 to 79,32.1
2024,Females,Ages 18 to 39,28.8
2024,Females,Ages 40 to 59,34.8
2024,Females,Ages 60 to 79,33.1
