Year,Geography,Age group,Sex,Value
2015,,,,93.2
2016,,,,92.5
2017,,,,92.9
2018,,,,93.4
2019,,,,93.4
2020,,,,93.2
2015,Canada,"Total, 12 years and over",Males,93.4
2016,Canada,"Total, 12 years and over",Males,92.6
2017,Canada,"Total, 12 years and over",Males,92.8
2018,Canada,"Total, 12 years and over",Males,94.0
2019,Canada,"Total, 12 years and over",Males,93.6
2020,Canada,"Total, 12 years and over",Males,93.5
2015,Canada,"Total, 12 years and over",Females,93.0
2016,Canada,"Total, 12 years and over",Females,92.5
2017,Canada,"Total, 12 years and over",Females,93.0
2018,Canada,"Total, 12 years and over",Females,92.8
2019,Canada,"Total, 12 years and over",Females,93.2
2020,Canada,"Total, 12 years and over",Females,93.0
2015,Canada,12 to 17 years,Both sexes,97.7
2016,Canada,12 to 17 years,Both sexes,97.6
2017,Canada,12 to 17 years,Both sexes,97.9
2018,Canada,12 to 17 years,Both sexes,97.7
2019,Canada,12 to 17 years,Both sexes,97.8
2020,Canada,12 to 17 years,Both sexes,97.0
2015,Canada,12 to 17 years,Males,97.8
2016,Canada,12 to 17 years,Males,97.9
2017,Canada,12 to 17 years,Males,98.4
2018,Canada,12 to 17 years,Males,98.1
2019,Canada,12 to 17 years,Males,98.3
2020,Canada,12 to 17 years,Males,97.5
2015,Canada,12 to 17 years,Females,97.6
2016,Canada,12 to 17 years,Females,97.3
2017,Canada,12 to 17 years,Females,97.3
2018,Canada,12 to 17 years,Females,97.3
2019,Canada,12 to 17 years,Females,97.3
2020,Canada,12 to 17 years,Females,96.6
2015,Canada,18 to 34 years,Both sexes,95.9
2016,Canada,18 to 34 years,Both sexes,94.9
2017,Canada,18 to 34 years,Both sexes,95.0
2018,Canada,18 to 34 years,Both sexes,95.3
2019,Canada,18 to 34 years,Both sexes,95.0
2020,Canada,18 to 34 years,Both sexes,94.7
2015,Canada,18 to 34 years,Males,96.1
2016,Canada,18 to 34 years,Males,93.9
2017,Canada,18 to 34 years,Males,94.7
2018,Canada,18 to 34 years,Males,95.7
2019,Canada,18 to 34 years,Males,95.3
