Year,Geography,Age group,Sex,Household income,Highest level of education,Visible minority,Immigration status,GeoCode,Value
2015,,,,,,,,,92.8
2016,,,,,,,,,92.2
2017,,,,,,,,,92.5
2018,,,,,,,,,93.0
2019,,,,,,,,,93.0
2020,,,,,,,,,92.9
2021,,,,,,,,,92.0
2022,,,,,,,,,86.9
2023,,,,,,,,,85.0
2024,,,,,,,,,83.6
2015,Canada,"Total, 18 years and over",Males,,,,,,93.0
2015,Canada,"Total, 18 years and over",Females,,,,,,92.6
2015,Canada,18 to 34 years,Both sexes,,,,,,95.9
2015,Canada,18 to 34 years,Males,,,,,,96.1
2015,Canada,18 to 34 years,Females,,,,,,95.6
2015,Canada,35 to 49 years,Both sexes,,,,,,93.4
2015,Canada,35 to 49 years,Males,,,,,,93.9
2015,Canada,35 to 49 years,Females,,,,,,93.0
2015,Canada,50 to 64 years,Both sexes,,,,,,91.1
2015,Canada,50 to 64 years,Males,,,,,,90.9
2015,Canada,50 to 64 years,Females,,,,,,91.2
2015,Canada,65 years and over,Both sexes,,,,,,89.7
2015,Canada,65 years and over,Males,,,,,,89.7
2015,Canada,65 years and over,Females,,,,,,89.7
2015,Newfoundland and Labrador,"Total, 18 years and over",Both sexes,,,,,10,90.1
2015,Newfoundland and Labrador,"Total, 18 years and over",Males,,,,,10,89.9
2015,Newfoundland and Labrador,"Total, 18 years and over",Females,,,,,10,90.3
2015,Newfoundland and Labrador,18 to 34 years,Both sexes,,,,,10,89.7
2015,Newfoundland and Labrador,18 to 34 years,Males,,,,,10,87.7
2015,Newfoundland and Labrador,18 to 34 years,Females,,,,,10,91.7
2015,Newfoundland and Labrador,35 to 49 years,Both sexes,,,,,10,91.0
2015,Newfoundland and Labrador,35 to 49 years,Males,,,,,10,93.1
2015,Newfoundland and Labrador,35 to 49 years,Females,,,,,10,89.1
2015,Newfoundland and Labrador,50 to 64 years,Both sexes,,,,,10,92.0
2015,Newfoundland and Labrador,50 to 64 years,Males,,,,,10,91.3
2015,Newfoundland and Labrador,50 to 64 years,Females,,,,,10,92.6
2015,Newfoundland and Labrador,65 years and over,Both sexes,,,,,10,86.8
2015,Newfoundland and Labrador,65 years and over,Males,,,,,10,86.2
2015,Newfoundland and Labrador,65 years and over,Females,,,,,10,87.3
2015,Prince Edward Island,"Total, 18 years and over",Both sexes,,,,,11,93.8
2015,Prince Edward Island,"Total, 18 years and over",Males,,,,,11,94.5
2015,Prince Edward Island,"Total, 18 years and over",Females,,,,,11,93.1
2015,Prince Edward Island,18 to 34 years,Both sexes,,,,,11,95.6
2015,Prince Edward Island,18 to 34 years,Males,,,,,11,99.3
2015,Prince Edward Island,18 to 34 years,Females,,,,,11,92.0
2015,Prince Edward Island,35 to 49 years,Both sexes,,,,,11,94.7
2015,Prince Edward Island,35 to 49 years,Males,,,,,11,93.0
2015,Prince Edward Island,35 to 49 years,Females,,,,,11,96.4
2015,Prince Edward Island,50 to 64 years,Both sexes,,,,,11,92.6
2015,Prince Edward Island,50 to 64 years,Males,,,,,11,92.5
2015,Prince Edward Island,50 to 64 years,Females,,,,,11,92.8
2015,Prince Edward Island,65 years and over,Both sexes,,,,,11,92.0
2015,Prince Edward Island,65 years and over,Males,,,,,11,93.0
2015,Prince Edward Island,65 years and over,Females,,,,,11,91.2
2015,Nova Scotia,"Total, 18 years and over",Both sexes,,,,,12,91.8
2015,Nova Scotia,"Total, 18 years and over",Males,,,,,12,91.1
2015,Nova Scotia,"Total, 18 years and over",Females,,,,,12,92.4
2015,Nova Scotia,18 to 34 years,Both sexes,,,,,12,92.9
2015,Nova Scotia,18 to 34 years,Males,,,,,12,90.4
2015,Nova Scotia,18 to 34 years,Females,,,,,12,95.5
2015,Nova Scotia,35 to 49 years,Both sexes,,,,,12,95.3
2015,Nova Scotia,35 to 49 years,Males,,,,,12,94.8
2015,Nova Scotia,35 to 49 years,Females,,,,,12,95.7
2015,Nova Scotia,50 to 64 years,Both sexes,,,,,12,90.4
2015,Nova Scotia,50 to 64 years,Males,,,,,12,91.0
2015,Nova Scotia,50 to 64 years,Females,,,,,12,90.0
2015,Nova Scotia,65 years and over,Both sexes,,,,,12,88.4
2015,Nova Scotia,65 years and over,Males,,,,,12,87.9
2015,Nova Scotia,65 years and over,Females,,,,,12,88.7
2015,New Brunswick,"Total, 18 years and over",Both sexes,,,,,13,89.5
2015,New Brunswick,"Total, 18 years and over",Males,,,,,13,91.4
2015,New Brunswick,"Total, 18 years and over",Females,,,,,13,87.8
2015,New Brunswick,18 to 34 years,Both sexes,,,,,13,90.5
2015,New Brunswick,18 to 34 years,Males,,,,,13,95.8
2015,New Brunswick,18 to 34 years,Females,,,,,13,85.1
2015,New Brunswick,35 to 49 years,Both sexes,,,,,13,91.6
2015,New Brunswick,35 to 49 years,Males,,,,,13,93.5
2015,New Brunswick,35 to 49 years,Females,,,,,13,90.0
2015,New Brunswick,50 to 64 years,Both sexes,,,,,13,87.7
2015,New Brunswick,50 to 64 years,Males,,,,,13,90.1
2015,New Brunswick,50 to 64 years,Females,,,,,13,85.5
2015,New Brunswick,65 years and over,Both sexes,,,,,13,88.4
2015,New Brunswick,65 years and over,Males,,,,,13,85.1
2015,New Brunswick,65 years and over,Females,,,,,13,91.0
2015,Quebec,"Total, 18 years and over",Both sexes,,,,,24,93.3
2015,Quebec,"Total, 18 years and over",Males,,,,,24,93.5
2015,Quebec,"Total, 18 years and over",Females,,,,,24,93.0
2015,Quebec,18 to 34 years,Both sexes,,,,,24,95.8
2015,Quebec,18 to 34 years,Males,,,,,24,96.1
2015,Quebec,18 to 34 years,Females,,,,,24,95.4
2015,Quebec,35 to 49 years,Both sexes,,,,,24,93.7
2015,Quebec,35 to 49 years,Males,,,,,24,93.5
2015,Quebec,35 to 49 years,Females,,,,,24,93.9
2015,Quebec,50 to 64 years,Both sexes,,,,,24,92.4
2015,Quebec,50 to 64 years,Males,,,,,24,93.1
2015,Quebec,50 to 64 years,Females,,,,,24,91.6
2015,Quebec,65 years and over,Both sexes,,,,,24,90.5
2015,Quebec,65 years and over,Males,,,,,24,90.1
2015,Quebec,65 years and over,Females,,,,,24,90.7
2015,Ontario,"Total, 18 years and over",Both sexes,,,,,35,93.0
2015,Ontario,"Total, 18 years and over",Males,,,,,35,93.3
2015,Ontario,"Total, 18 years and over",Females,,,,,35,92.7
2015,Ontario,18 to 34 years,Both sexes,,,,,35,96.6
2015,Ontario,18 to 34 years,Males,,,,,35,97.2
2015,Ontario,18 to 34 years,Females,,,,,35,96.0
2015,Ontario,35 to 49 years,Both sexes,,,,,35,93.2
2015,Ontario,35 to 49 years,Males,,,,,35,94.1
2015,Ontario,35 to 49 years,Females,,,,,35,92.4
2015,Ontario,50 to 64 years,Both sexes,,,,,35,90.9
2015,Ontario,50 to 64 years,Males,,,,,35,90.4
2015,Ontario,50 to 64 years,Females,,,,,35,91.4
2015,Ontario,65 years and over,Both sexes,,,,,35,89.7
2015,Ontario,65 years and over,Males,,,,,35,89.3
2015,Ontario,65 years and over,Females,,,,,35,90.1
2015,Manitoba,"Total, 18 years and over",Both sexes,,,,,46,92.0
2015,Manitoba,"Total, 18 years and over",Males,,,,,46,93.2
2015,Manitoba,"Total, 18 years and over",Females,,,,,46,90.9
2015,Manitoba,18 to 34 years,Both sexes,,,,,46,93.7
2015,Manitoba,18 to 34 years,Males,,,,,46,94.0
2015,Manitoba,18 to 34 years,Females,,,,,46,93.4
2015,Manitoba,35 to 49 years,Both sexes,,,,,46,94.0
2015,Manitoba,35 to 49 years,Males,,,,,46,95.8
2015,Manitoba,35 to 49 years,Females,,,,,46,92.1
2015,Manitoba,50 to 64 years,Both sexes,,,,,46,92.3
2015,Manitoba,50 to 64 years,Males,,,,,46,93.5
2015,Manitoba,50 to 64 years,Females,,,,,46,91.1
2015,Manitoba,65 years and over,Both sexes,,,,,46,85.9
2015,Manitoba,65 years and over,Males,,,,,46,86.9
2015,Manitoba,65 years and over,Females,,,,,46,85.1
2015,Saskatchewan,"Total, 18 years and over",Both sexes,,,,,47,92.0
2015,Saskatchewan,"Total, 18 years and over",Males,,,,,47,93.1
2015,Saskatchewan,"Total, 18 years and over",Females,,,,,47,90.9
2015,Saskatchewan,18 to 34 years,Both sexes,,,,,47,96.2
2015,Saskatchewan,18 to 34 years,Males,,,,,47,96.0
2015,Saskatchewan,18 to 34 years,Females,,,,,47,96.4
2015,Saskatchewan,35 to 49 years,Both sexes,,,,,47,91.6
2015,Saskatchewan,35 to 49 years,Males,,,,,47,91.8
2015,Saskatchewan,35 to 49 years,Females,,,,,47,91.3
2015,Saskatchewan,50 to 64 years,Both sexes,,,,,47,90.0
2015,Saskatchewan,50 to 64 years,Males,,,,,47,91.4
2015,Saskatchewan,50 to 64 years,Females,,,,,47,88.5
2015,Saskatchewan,65 years and over,Both sexes,,,,,47,88.0
2015,Saskatchewan,65 years and over,Males,,,,,47,92.1
2015,Saskatchewan,65 years and over,Females,,,,,47,84.5
2015,Alberta,"Total, 18 years and over",Both sexes,,,,,48,93.4
2015,Alberta,"Total, 18 years and over",Males,,,,,48,93.6
2015,Alberta,"Total, 18 years and over",Females,,,,,48,93.3
