Year,Geography,Age group,Sex,GeoCode,Value
2015,,,,,72.4
2016,,,,,70.9
2017,,,,,70.3
2018,,,,,68.6
2019,,,,,67.1
2020,,,,,65.0
2021,,,,,59.0
2015,Canada,"Total, 12 years and over",Males,,74.5
2015,Canada,"Total, 12 years and over",Females,,70.5
2015,Canada,12 to 17 years,Both sexes,,77.9
2015,Canada,12 to 17 years,Males,,80.2
2015,Canada,12 to 17 years,Females,,75.6
2015,Canada,18 to 34 years,Both sexes,,72.5
2015,Canada,18 to 34 years,Males,,75.3
2015,Canada,18 to 34 years,Females,,69.6
2015,Canada,35 to 49 years,Both sexes,,72.4
2015,Canada,35 to 49 years,Males,,74.3
2015,Canada,35 to 49 years,Females,,70.6
2015,Canada,50 to 64 years,Both sexes,,72.0
2015,Canada,50 to 64 years,Males,,73.6
2015,Canada,50 to 64 years,Females,,70.5
2015,Canada,65 years and over,Both sexes,,70.5
2015,Canada,65 years and over,Males,,71.9
2015,Canada,65 years and over,Females,,69.4
2015,Newfoundland and Labrador,"Total, 12 years and over",Both sexes,10,71.6
2015,Newfoundland and Labrador,"Total, 12 years and over",Males,10,73.7
2015,Newfoundland and Labrador,"Total, 12 years and over",Females,10,69.7
2015,Newfoundland and Labrador,12 to 17 years,Both sexes,10,83.7
2015,Newfoundland and Labrador,12 to 17 years,Males,10,89.1
2015,Newfoundland and Labrador,12 to 17 years,Females,10,77.7
2015,Newfoundland and Labrador,18 to 34 years,Both sexes,10,66.7
2015,Newfoundland and Labrador,18 to 34 years,Males,10,69.4
2015,Newfoundland and Labrador,18 to 34 years,Females,10,64.1
2015,Newfoundland and Labrador,35 to 49 years,Both sexes,10,72.8
2015,Newfoundland and Labrador,35 to 49 years,Males,10,76.9
2015,Newfoundland and Labrador,35 to 49 years,Females,10,69.1
2015,Newfoundland and Labrador,50 to 64 years,Both sexes,10,73.7
2015,Newfoundland and Labrador,50 to 64 years,Males,10,72.0
2015,Newfoundland and Labrador,50 to 64 years,Females,10,75.4
2015,Newfoundland and Labrador,65 years and over,Both sexes,10,68.7
2015,Newfoundland and Labrador,65 years and over,Males,10,71.0
2015,Newfoundland and Labrador,65 years and over,Females,10,66.7
2015,Prince Edward Island,"Total, 12 years and over",Both sexes,11,75.0
2015,Prince Edward Island,"Total, 12 years and over",Males,11,76.1
2015,Prince Edward Island,"Total, 12 years and over",Females,11,74.1
2015,Prince Edward Island,12 to 17 years,Both sexes,11,83.0
2015,Prince Edward Island,12 to 17 years,Males,11,85.8
2015,Prince Edward Island,12 to 17 years,Females,11,80.1
2015,Prince Edward Island,18 to 34 years,Both sexes,11,78.2
2015,Prince Edward Island,18 to 34 years,Males,11,79.1
2015,Prince Edward Island,18 to 34 years,Females,11,77.4
2015,Prince Edward Island,35 to 49 years,Both sexes,11,70.6
2015,Prince Edward Island,35 to 49 years,Males,11,72.5
2015,Prince Edward Island,35 to 49 years,Females,11,68.7
2015,Prince Edward Island,50 to 64 years,Both sexes,11,74.4
2015,Prince Edward Island,50 to 64 years,Males,11,68.8
2015,Prince Edward Island,50 to 64 years,Females,11,79.8
2015,Prince Edward Island,65 years and over,Both sexes,11,74.2
2015,Prince Edward Island,65 years and over,Males,11,83.0
2015,Prince Edward Island,65 years and over,Females,11,67.0
2015,Nova Scotia,"Total, 12 years and over",Both sexes,12,68.9
2015,Nova Scotia,"Total, 12 years and over",Males,12,70.1
2015,Nova Scotia,"Total, 12 years and over",Females,12,67.7
2015,Nova Scotia,12 to 17 years,Both sexes,12,78.1
2015,Nova Scotia,12 to 17 years,Males,12,84.7
2015,Nova Scotia,12 to 17 years,Females,12,71.6
2015,Nova Scotia,18 to 34 years,Both sexes,12,65.0
2015,Nova Scotia,18 to 34 years,Males,12,64.6
2015,Nova Scotia,18 to 34 years,Females,12,65.3
2015,Nova Scotia,35 to 49 years,Both sexes,12,68.6
2015,Nova Scotia,35 to 49 years,Males,12,71.0
2015,Nova Scotia,35 to 49 years,Females,12,66.4
