Year,Geography,Selected diseases,Age,GeoCode,Value
2017,Alberta,Diphtheria,by 2 years of age,48,79.9
2021,Alberta,Diphtheria,by 2 years of age,48,74.6
2017,Alberta,Haemophilus influenzae type B (Hib),by 2 years of age,48,79.1
2021,Alberta,Haemophilus influenzae type B (Hib),by 2 years of age,48,71.1
2017,Alberta,Measles,by 2 years of age,48,91.7
2021,Alberta,Measles,by 2 years of age,48,88.4
2017,Alberta,Meningococcal type C,by 2 years of age,48,91.0
2021,Alberta,Meningococcal type C,by 2 years of age,48,89.8
2017,Alberta,Mumps,by 2 years of age,48,91.4
2021,Alberta,Mumps,by 2 years of age,48,88.4
2017,Alberta,Pertussis (whooping cough),by 2 years of age,48,79.9
2021,Alberta,Pertussis (whooping cough),by 2 years of age,48,74.6
2017,Alberta,Pneumococcal,by 2 years of age,48,82.6
2021,Alberta,Pneumococcal,by 2 years of age,48,81.3
2017,Alberta,Polio,by 2 years of age,48,93.0
2021,Alberta,Polio,by 2 years of age,48,85.7
2021,Alberta,Rotavirus,by 2 years of age,48,84.8
2017,Alberta,Rubella,by 2 years of age,48,91.4
2021,Alberta,Rubella,by 2 years of age,48,88.4
2017,Alberta,Tetanus,by 2 years of age,48,79.9
2021,Alberta,Tetanus,by 2 years of age,48,74.6
2017,Alberta,Varicella,by 2 years of age,48,86.7
2021,Alberta,Varicella,by 2 years of age,48,83.3
2017,British Columbia,Diphtheria,by 2 years of age,59,76.6
2021,British Columbia,Diphtheria,by 2 years of age,59,83.6
2017,British Columbia,Haemophilus influenzae type B (Hib),by 2 years of age,59,74.4
2021,British Columbia,Haemophilus influenzae type B (Hib),by 2 years of age,59,82.8
2017,British Columbia,Hepatitis B,by 2 years of age,59,69.7
2021,British Columbia,Hepatitis B,by 2 years of age,59,87.1
2017,British Columbia,Measles,by 2 years of age,59,86.1
2021,British Columbia,Measles,by 2 years of age,59,91.3
2017,British Columbia,Meningococcal type C,by 2 years of age,59,89.3
2021,British Columbia,Meningococcal type C,by 2 years of age,59,94.2
2017,British Columbia,Mumps,by 2 years of age,59,86.1
2021,British Columbia,Mumps,by 2 years of age,59,91.3
2017,British Columbia,Pertussis (whooping cough),by 2 years of age,59,76.6
2021,British Columbia,Pertussis (whooping cough),by 2 years of age,59,83.6
2017,British Columbia,Pneumococcal,by 2 years of age,59,80.3
2021,British Columbia,Pneumococcal,by 2 years of age,59,88.2
2017,British Columbia,Polio,by 2 years of age,59,87.5
2021,British Columbia,Polio,by 2 years of age,59,92.6
2017,British Columbia,Rotavirus,by 2 years of age,59,80.2
2021,British Columbia,Rotavirus,by 2 years of age,59,91.2
2017,British Columbia,Rubella,by 2 years of age,59,86.1
2021,British Columbia,Rubella,by 2 years of age,59,91.3
2017,British Columbia,Tetanus,by 2 years of age,59,76.6
2021,British Columbia,Tetanus,by 2 years of age,59,83.6
2017,British Columbia,Varicella,by 2 years of age,59,83.7
2021,British Columbia,Varicella,by 2 years of age,59,91.0
2017,Canada,Diphtheria,by 2 years of age,,75.8
2019,Canada,Diphtheria,by 2 years of age,,77.5
2021,Canada,Diphtheria,by 2 years of age,,77.1
2017,Canada,Diphtheria,by 7 years of age,,80.5
2019,Canada,Diphtheria,by 7 years of age,,78.1
2021,Canada,Diphtheria,by 7 years of age,,71.9
2017,Canada,Diphtheria - Tetanus - acellular Pertussis (Tdap) booster,by 17 years of age,,89.3
2019,Canada,Diphtheria - Tetanus - acellular Pertussis (Tdap) booster,by 17 years of age,,95.3
2021,Canada,Diphtheria - Tetanus - acellular Pertussis (Tdap) booster,by 17 years of age,,92.8
2017,Canada,Haemophilus influenzae type B (Hib),by 2 years of age,,73.4
2019,Canada,Haemophilus influenzae type B (Hib),by 2 years of age,,74.4
2021,Canada,Haemophilus influenzae type B (Hib),by 2 years of age,,75.3
2017,Canada,Haemophilus influenzae type B (Hib),by 7 years of age,,83.9
2019,Canada,Haemophilus influenzae type B (Hib),by 7 years of age,,80.0
