Year,Geography,Sex,Age group,Selected demographic characteristics,GeoCode,Value
2016,,,,,,79.3
2016,Canada,Both sexes,"Total, persons aged 15 years and over",Non immigrants,,78.5
2016,Canada,Both sexes,"Total, persons aged 15 years and over",Immigrants,,80.9
2016,Canada,Both sexes,"Total, persons aged 15 years and over",Non-permanent residents,,89.1
2016,Canada,Both sexes,"Total, persons aged 15 years and over",Total visible minority population,,82.2
2016,Canada,Both sexes,"Total, persons aged 15 years and over",Not a visible minority,,78.5
2016,Canada,Both sexes,"Total, persons aged 15 years and over",Total Aboriginal identity,,61.6
2016,Canada,Both sexes,"Total, persons aged 15 years and over",First Nations (North American Indian),,56.8
2016,Canada,Both sexes,"Total, persons aged 15 years and over",Inuk (Inuit),,40.2
2016,Canada,Both sexes,"Total, persons aged 15 years and over",Non-Aboriginal identity,,80.1
2016,Canada,Both sexes,15 to 24 years,"Total, all persons",,65.2
2016,Canada,Both sexes,15 to 24 years,Non immigrants,,63.7
2016,Canada,Both sexes,15 to 24 years,Immigrants,,69.0
2016,Canada,Both sexes,15 to 24 years,Non-permanent residents,,84.5
2016,Canada,Both sexes,15 to 24 years,Total visible minority population,,69.5
2016,Canada,Both sexes,15 to 24 years,Not a visible minority,,63.6
2016,Canada,Both sexes,15 to 24 years,Total Aboriginal identity,,47.0
2016,Canada,Both sexes,15 to 24 years,First Nations (North American Indian),,42.4
2016,Canada,Both sexes,15 to 24 years,Inuk (Inuit),,30.2
2016,Canada,Both sexes,15 to 24 years,Non-Aboriginal identity,,66.5
2016,Canada,Both sexes,25 to 64 years,"Total, all persons",,86.3
2016,Canada,Both sexes,25 to 64 years,Non immigrants,,85.8
2016,Canada,Both sexes,25 to 64 years,Immigrants,,87.4
2016,Canada,Both sexes,25 to 64 years,Non-permanent residents,,92.4
2016,Canada,Both sexes,25 to 64 years,Total visible minority population,,88.3
2016,Canada,Both sexes,25 to 64 years,Not a visible minority,,85.7
2016,Canada,Both sexes,25 to 64 years,Total Aboriginal identity,,68.8
2016,Canada,Both sexes,25 to 64 years,First Nations (North American Indian),,64.0
2016,Canada,Both sexes,25 to 64 years,Inuk (Inuit),,45.4
2016,Canada,Both sexes,25 to 64 years,Non-Aboriginal identity,,87.1
2016,Canada,Both sexes,65 to 74 years,"Total, all persons",,73.1
2016,Canada,Both sexes,65 to 74 years,Non immigrants,,72.9
2016,Canada,Both sexes,65 to 74 years,Immigrants,,73.9
2016,Canada,Both sexes,65 to 74 years,Non-permanent residents,,65.9
2016,Canada,Both sexes,65 to 74 years,Total visible minority population,,72.6
2016,Canada,Both sexes,65 to 74 years,Not a visible minority,,73.2
2016,Canada,Both sexes,65 to 74 years,Total Aboriginal identity,,53.0
2016,Canada,Both sexes,65 to 74 years,First Nations (North American Indian),,49.1
2016,Canada,Both sexes,65 to 74 years,Inuk (Inuit),,33.3
2016,Canada,Both sexes,65 to 74 years,Non-Aboriginal identity,,73.7
2016,Canada,Both sexes,75 years and over,"Total, all persons",,54.9
2016,Canada,Both sexes,75 years and over,Non immigrants,,54.7
2016,Canada,Both sexes,75 years and over,Immigrants,,55.3
2016,Canada,Both sexes,75 years and over,Non-permanent residents,,53.0
2016,Canada,Both sexes,75 years and over,Total visible minority population,,56.0
2016,Canada,Both sexes,75 years and over,Not a visible minority,,54.7
2016,Canada,Both sexes,75 years and over,Total Aboriginal identity,,32.3
2016,Canada,Both sexes,75 years and over,First Nations (North American Indian),,29.0
2016,Canada,Both sexes,75 years and over,Inuk (Inuit),,21.7
2016,Canada,Both sexes,75 years and over,Non-Aboriginal identity,,55.2
2016,Canada,Males,"Total, persons aged 15 years and over","Total, all persons",,77.7
2016,Canada,Males,"Total, persons aged 15 years and over",Non immigrants,,76.1
2016,Canada,Males,"Total, persons aged 15 years and over",Immigrants,,81.6
2016,Canada,Males,"Total, persons aged 15 years and over",Non-permanent residents,,88.9
2016,Canada,Males,"Total, persons aged 15 years and over",Total visible minority population,,82.6
2016,Canada,Males,"Total, persons aged 15 years and over",Not a visible minority,,76.4
2016,Canada,Males,"Total, persons aged 15 years and over",Total Aboriginal identity,,57.3
2016,Canada,Males,"Total, persons aged 15 years and over",First Nations (North American Indian),,52.1
2016,Canada,Males,"Total, persons aged 15 years and over",Inuk (Inuit),,37.1
2016,Canada,Males,"Total, persons aged 15 years and over",Non-Aboriginal identity,,78.6
2016,Canada,Males,15 to 24 years,"Total, all persons",,63.3
2016,Canada,Males,15 to 24 years,Non immigrants,,61.7
2016,Canada,Males,15 to 24 years,Immigrants,,67.9
2016,Canada,Males,15 to 24 years,Non-permanent residents,,84.4
2016,Canada,Males,15 to 24 years,Total visible minority population,,68.4
2016,Canada,Males,15 to 24 years,Not a visible minority,,61.4
2016,Canada,Males,15 to 24 years,Total Aboriginal identity,,44.3
2016,Canada,Males,15 to 24 years,First Nations (North American Indian),,39.8
2016,Canada,Males,15 to 24 years,Inuk (Inuit),,27.1
2016,Canada,Males,15 to 24 years,Non-Aboriginal identity,,64.7
2016,Canada,Males,25 to 64 years,"Total, all persons",,84.1
2016,Canada,Males,25 to 64 years,Non immigrants,,82.8
2016,Canada,Males,25 to 64 years,Immigrants,,87.3
2016,Canada,Males,25 to 64 years,Non-permanent residents,,91.9
2016,Canada,Males,25 to 64 years,Total visible minority population,,88.3
2016,Canada,Males,25 to 64 years,Not a visible minority,,82.9
2016,Canada,Males,25 to 64 years,Total Aboriginal identity,,63.9
2016,Canada,Males,25 to 64 years,First Nations (North American Indian),,58.5
2016,Canada,Males,25 to 64 years,Inuk (Inuit),,42.3
2016,Canada,Males,25 to 64 years,Non-Aboriginal identity,,85.0
2016,Canada,Males,65 to 74 years,"Total, all persons",,73.0
2016,Canada,Males,65 to 74 years,Non immigrants,,71.4
2016,Canada,Males,65 to 74 years,Immigrants,,76.9
2016,Canada,Males,65 to 74 years,Non-permanent residents,,70.4
2016,Canada,Males,65 to 74 years,Total visible minority population,,77.5
2016,Canada,Males,65 to 74 years,Not a visible minority,,72.3
2016,Canada,Males,65 to 74 years,Total Aboriginal identity,,50.8
2016,Canada,Males,65 to 74 years,First Nations (North American Indian),,46.4
2016,Canada,Males,65 to 74 years,Inuk (Inuit),,33.0
2016,Canada,Males,65 to 74 years,Non-Aboriginal identity,,73.5
2016,Canada,Males,75 years and over,"Total, all persons",,55.7
2016,Canada,Males,75 years and over,Non immigrants,,53.1
2016,Canada,Males,75 years and over,Immigrants,,60.6
2016,Canada,Males,75 years and over,Non-permanent residents,,62.1
2016,Canada,Males,75 years and over,Total visible minority population,,66.0
2016,Canada,Males,75 years and over,Not a visible minority,,54.3
2016,Canada,Males,75 years and over,Total Aboriginal identity,,30.9
2016,Canada,Males,75 years and over,First Nations (North American Indian),,27.0
2016,Canada,Males,75 years and over,Inuk (Inuit),,20.5
2016,Canada,Males,75 years and over,Non-Aboriginal identity,,56.1
2016,Canada,Females,"Total, persons aged 15 years and over","Total, all persons",,80.8
2016,Canada,Females,"Total, persons aged 15 years and over",Non immigrants,,80.9
2016,Canada,Females,"Total, persons aged 15 years and over",Immigrants,,80.2
2016,Canada,Females,"Total, persons aged 15 years and over",Non-permanent residents,,89.3
2016,Canada,Females,"Total, persons aged 15 years and over",Total visible minority population,,81.8
2016,Canada,Females,"Total, persons aged 15 years and over",Not a visible minority,,80.5
2016,Canada,Females,"Total, persons aged 15 years and over",Total Aboriginal identity,,65.5
2016,Canada,Females,"Total, persons aged 15 years and over",First Nations (North American Indian),,61.0
2016,Canada,Females,"Total, persons aged 15 years and over",Inuk (Inuit),,43.1
2016,Canada,Females,"Total, persons aged 15 years and over",Non-Aboriginal identity,,81.5
2016,Canada,Females,15 to 24 years,"Total, all persons",,67.1
2016,Canada,Females,15 to 24 years,Non immigrants,,65.9
