Year,Units,Sector,Value
2013,Cubic metres,,37457754.0
2015,Cubic metres,,36451889.0
2017,Cubic metres,,36812891.0
2013,Cubic metres,Households,3128899.0
2015,Cubic metres,Households,3160598.0
2017,Cubic metres,Households,2968052.0
2013,Cubic metres,Industries,34328855.0
2015,Cubic metres,Industries,33291291.0
2017,Cubic metres,Industries,33844839.0
2013,Growth rate,,5.4
2015,Growth rate,,-2.7
2017,Growth rate,,1.0
2013,Growth rate,Households,-10.8
2015,Growth rate,Households,1.0
2017,Growth rate,Households,-6.1
2013,Growth rate,Industries,7.2
2015,Growth rate,Industries,-3.0
2017,Growth rate,Industries,1.7
