Year,Units,Geography,Land use category,Water quality,Value
2016-2018,Percentage,Canada,Agriculture,Excellent,0
2016-2018,Percentage,Canada,Agriculture,Good,6
2016-2018,Percentage,Canada,Agriculture,Fair,9
2016-2018,Percentage,Canada,Agriculture,Marginal,2
2016-2018,Percentage,Canada,Agriculture,Poor,1
2016-2018,Percentage,Canada,Forestry,Excellent,1
2016-2018,Percentage,Canada,Forestry,Good,6
2016-2018,Percentage,Canada,Forestry,Fair,2
2016-2018,Percentage,Canada,Forestry,Marginal,1
2016-2018,Percentage,Canada,Forestry,Poor,0
2016-2018,Percentage,Canada,Mining,Excellent,0
2016-2018,Percentage,Canada,Mining,Good,2
2016-2018,Percentage,Canada,Mining,Fair,2
2016-2018,Percentage,Canada,Mining,Marginal,1
2016-2018,Percentage,Canada,Mining,Poor,0
2016-2018,Percentage,Canada,Populated,Excellent,0
2016-2018,Percentage,Canada,Populated,Good,0
2016-2018,Percentage,Canada,Populated,Fair,1
2016-2018,Percentage,Canada,Populated,Marginal,2
2016-2018,Percentage,Canada,Populated,Poor,0
2016-2018,Percentage,Canada,Mixed pressures,Excellent,2
2016-2018,Percentage,Canada,Mixed pressures,Good,13
2016-2018,Percentage,Canada,Mixed pressures,Fair,23
2016-2018,Percentage,Canada,Mixed pressures,Marginal,11
2016-2018,Percentage,Canada,Mixed pressures,Poor,2
2016-2018,Percentage,Canada,Undeveloped,Excellent,3
2016-2018,Percentage,Canada,Undeveloped,Good,7
2016-2018,Percentage,Canada,Undeveloped,Fair,3
2016-2018,Percentage,Canada,Undeveloped,Marginal,0
2016-2018,Percentage,Canada,Undeveloped,Poor,0
2016-2018,Percentage,Canada,Total,Excellent,5
2016-2018,Percentage,Canada,Total,Good,35
2016-2018,Percentage,Canada,Total,Fair,40
2016-2018,Percentage,Canada,Total,Marginal,17
2016-2018,Percentage,Canada,Total,Poor,2
2016-2018,Number,Canada,Agriculture,Excellent,0
2016-2018,Number,Canada,Agriculture,Good,11
2016-2018,Number,Canada,Agriculture,Fair,15
2016-2018,Number,Canada,Agriculture,Marginal,4
2016-2018,Number,Canada,Agriculture,Poor,1
2016-2018,Number,Canada,Forestry,Excellent,1
2016-2018,Number,Canada,Forestry,Good,11
2016-2018,Number,Canada,Forestry,Fair,4
2016-2018,Number,Canada,Forestry,Marginal,1
2016-2018,Number,Canada,Forestry,Poor,0
2016-2018,Number,Canada,Mining,Excellent,0
2016-2018,Number,Canada,Mining,Good,4
2016-2018,Number,Canada,Mining,Fair,4
2016-2018,Number,Canada,Mining,Marginal,2
2016-2018,Number,Canada,Mining,Poor,0
2016-2018,Number,Canada,Populated,Excellent,0
2016-2018,Number,Canada,Populated,Good,0
2016-2018,Number,Canada,Populated,Fair,1
2016-2018,Number,Canada,Populated,Marginal,3
2016-2018,Number,Canada,Populated,Poor,0
2016-2018,Number,Canada,Mixed pressures,Excellent,3
2016-2018,Number,Canada,Mixed pressures,Good,22
2016-2018,Number,Canada,Mixed pressures,Fair,40
2016-2018,Number,Canada,Mixed pressures,Marginal,20
2016-2018,Number,Canada,Mixed pressures,Poor,3
2016-2018,Number,Canada,Undeveloped,Excellent,5
2016-2018,Number,Canada,Undeveloped,Good,13
2016-2018,Number,Canada,Undeveloped,Fair,6
2016-2018,Number,Canada,Undeveloped,Marginal,0
2016-2018,Number,Canada,Undeveloped,Poor,0
2016-2018,Number,Canada,Total,Excellent,9
2016-2018,Number,Canada,Total,Good,61
