Year,Geography,Type of electricity generation,Value
2015,,,63.5
2016,,,64.1
2017,,,65.4
2018,,,65.2
2019,,,64.8
2015,Canada,Hydraulic turbine,59.1
2016,Canada,Hydraulic turbine,59.1
2017,Canada,Hydraulic turbine,60.2
2018,Canada,Hydraulic turbine,59.7
2019,Canada,Hydraulic turbine,59.4
2015,Canada,Tidal power turbine,
2016,Canada,Tidal power turbine,
2017,Canada,Tidal power turbine,
2018,Canada,Tidal power turbine,
2019,Canada,Tidal power turbine,
2015,Canada,Wind power turbine,4.2
2016,Canada,Wind power turbine,4.7
2017,Canada,Wind power turbine,4.8
2018,Canada,Wind power turbine,5.1
2019,Canada,Wind power turbine,5.1
2015,Canada,Solar,0.2
2016,Canada,Solar,0.3
2017,Canada,Solar,0.3
2018,Canada,Solar,0.3
2019,Canada,Solar,0.3
2015,Canada,Other types of electricity generation,
2016,Canada,Other types of electricity generation,
2017,Canada,Other types of electricity generation,
2018,Canada,Other types of electricity generation,
2019,Canada,Other types of electricity generation,
2015,Newfoundland and Labrador,"Total hydro, tidal, wind, solar and other generation",95.5
2016,Newfoundland and Labrador,"Total hydro, tidal, wind, solar and other generation",94.8
2017,Newfoundland and Labrador,"Total hydro, tidal, wind, solar and other generation",94.4
2018,Newfoundland and Labrador,"Total hydro, tidal, wind, solar and other generation",96.3
2019,Newfoundland and Labrador,"Total hydro, tidal, wind, solar and other generation",96.0
2015,Newfoundland and Labrador,Hydraulic turbine,95.0
2016,Newfoundland and Labrador,Hydraulic turbine,94.3
2017,Newfoundland and Labrador,Hydraulic turbine,93.9
2018,Newfoundland and Labrador,Hydraulic turbine,95.9
2019,Newfoundland and Labrador,Hydraulic turbine,95.6
2015,Newfoundland and Labrador,Wind power turbine,0.4
2016,Newfoundland and Labrador,Wind power turbine,0.5
2017,Newfoundland and Labrador,Wind power turbine,0.5
2018,Newfoundland and Labrador,Wind power turbine,0.5
2019,Newfoundland and Labrador,Wind power turbine,0.4
2015,Prince Edward Island,"Total hydro, tidal, wind, solar and other generation",98.4
2016,Prince Edward Island,"Total hydro, tidal, wind, solar and other generation",98.4
2017,Prince Edward Island,"Total hydro, tidal, wind, solar and other generation",98.5
2018,Prince Edward Island,"Total hydro, tidal, wind, solar and other generation",98.7
2019,Prince Edward Island,"Total hydro, tidal, wind, solar and other generation",99.0
2015,Prince Edward Island,Wind power turbine,98.4
2016,Prince Edward Island,Wind power turbine,98.4
2017,Prince Edward Island,Wind power turbine,98.5
2018,Prince Edward Island,Wind power turbine,98.6
2019,Prince Edward Island,Wind power turbine,99.0
2016,Prince Edward Island,Solar,
2017,Prince Edward Island,Solar,
2018,Prince Edward Island,Solar,0.1
2019,Prince Edward Island,Solar,0.1
2015,Nova Scotia,"Total hydro, tidal, wind, solar and other generation",17.9
2016,Nova Scotia,"Total hydro, tidal, wind, solar and other generation",18.5
2017,Nova Scotia,"Total hydro, tidal, wind, solar and other generation",21.5
2018,Nova Scotia,"Total hydro, tidal, wind, solar and other generation",20.7
2019,Nova Scotia,"Total hydro, tidal, wind, solar and other generation",21.6
2015,Nova Scotia,Hydraulic turbine,9.9
2016,Nova Scotia,Hydraulic turbine,8.2
2017,Nova Scotia,Hydraulic turbine,8.4
2018,Nova Scotia,Hydraulic turbine,9.2
2019,Nova Scotia,Hydraulic turbine,10.6
2015,Nova Scotia,Tidal power turbine,0.1
2016,Nova Scotia,Tidal power turbine,0.2
2017,Nova Scotia,Tidal power turbine,0.1
2018,Nova Scotia,Tidal power turbine,0.2
2019,Nova Scotia,Tidal power turbine,
2015,Nova Scotia,Wind power turbine,7.9
2016,Nova Scotia,Wind power turbine,10.2
2017,Nova Scotia,Wind power turbine,13.0
2018,Nova Scotia,Wind power turbine,11.3
2019,Nova Scotia,Wind power turbine,10.9
2015,New Brunswick,"Total hydro, tidal, wind, solar and other generation",24.4
2016,New Brunswick,"Total hydro, tidal, wind, solar and other generation",26.5
2017,New Brunswick,"Total hydro, tidal, wind, solar and other generation",25.1
2018,New Brunswick,"Total hydro, tidal, wind, solar and other generation",24.8
2019,New Brunswick,"Total hydro, tidal, wind, solar and other generation",29.1
2015,New Brunswick,Hydraulic turbine,18.8
2016,New Brunswick,Hydraulic turbine,21.4
2017,New Brunswick,Hydraulic turbine,19.3
2018,New Brunswick,Hydraulic turbine,18.7
2019,New Brunswick,Hydraulic turbine,22.4
2015,New Brunswick,Wind power turbine,5.7
2016,New Brunswick,Wind power turbine,5.0
2017,New Brunswick,Wind power turbine,5.8
2018,New Brunswick,Wind power turbine,6.1
2019,New Brunswick,Wind power turbine,6.7
2015,New Brunswick,Other types of electricity generation,
2016,New Brunswick,Other types of electricity generation,
2017,New Brunswick,Other types of electricity generation,
2018,New Brunswick,Other types of electricity generation,
2019,New Brunswick,Other types of electricity generation,
2015,Quebec,"Total hydro, tidal, wind, solar and other generation",99.2
2016,Quebec,"Total hydro, tidal, wind, solar and other generation",98.9
2017,Quebec,"Total hydro, tidal, wind, solar and other generation",98.8
2018,Quebec,"Total hydro, tidal, wind, solar and other generation",98.8
2019,Quebec,"Total hydro, tidal, wind, solar and other generation",98.9
2015,Quebec,Hydraulic turbine,96.0
2016,Quebec,Hydraulic turbine,94.2
2017,Quebec,Hydraulic turbine,94.2
2018,Quebec,Hydraulic turbine,93.8
2019,Quebec,Hydraulic turbine,93.7
2015,Quebec,Wind power turbine,3.2
2016,Quebec,Wind power turbine,4.7
2017,Quebec,Wind power turbine,4.6
2018,Quebec,Wind power turbine,5.0
2019,Quebec,Wind power turbine,5.2
2015,Quebec,Solar,
2016,Quebec,Solar,
2017,Quebec,Solar,
2018,Quebec,Solar,
2019,Quebec,Solar,
2015,Quebec,Other types of electricity generation,
2016,Quebec,Other types of electricity generation,
2017,Quebec,Other types of electricity generation,
2018,Quebec,Other types of electricity generation,
2019,Quebec,Other types of electricity generation,
2015,Ontario,"Total hydro, tidal, wind, solar and other generation",30.3
2016,Ontario,"Total hydro, tidal, wind, solar and other generation",31.2
2017,Ontario,"Total hydro, tidal, wind, solar and other generation",34.4
2018,Ontario,"Total hydro, tidal, wind, solar and other generation",33.5
2019,Ontario,"Total hydro, tidal, wind, solar and other generation",32.2
2015,Ontario,Hydraulic turbine,22.2
2016,Ontario,Hydraulic turbine,23.2
2017,Ontario,Hydraulic turbine,26.2
2018,Ontario,Hydraulic turbine,24.5
2019,Ontario,Hydraulic turbine,23.6
2015,Ontario,Wind power turbine,7.2
2016,Ontario,Wind power turbine,6.8
2017,Ontario,Wind power turbine,6.9
2018,Ontario,Wind power turbine,7.6
2019,Ontario,Wind power turbine,7.2
2015,Ontario,Solar,0.9
2016,Ontario,Solar,1.1
2017,Ontario,Solar,1.3
2018,Ontario,Solar,1.4
2019,Ontario,Solar,1.4
2015,Ontario,Other types of electricity generation,
2016,Ontario,Other types of electricity generation,
2017,Ontario,Other types of electricity generation,
2018,Ontario,Other types of electricity generation,
2019,Ontario,Other types of electricity generation,
2015,Manitoba,"Total hydro, tidal, wind, solar and other generation",99.3
2016,Manitoba,"Total hydro, tidal, wind, solar and other generation",99.6
2017,Manitoba,"Total hydro, tidal, wind, solar and other generation",99.6
2018,Manitoba,"Total hydro, tidal, wind, solar and other generation",99.7
2019,Manitoba,"Total hydro, tidal, wind, solar and other generation",99.6
2015,Manitoba,Hydraulic turbine,96.7
2016,Manitoba,Hydraulic turbine,97.0
2017,Manitoba,Hydraulic turbine,97.1
2018,Manitoba,Hydraulic turbine,96.9
2019,Manitoba,Hydraulic turbine,97.0
2015,Manitoba,Wind power turbine,2.5
2016,Manitoba,Wind power turbine,2.6
2017,Manitoba,Wind power turbine,2.5
2018,Manitoba,Wind power turbine,2.8
2019,Manitoba,Wind power turbine,2.6
2018,Manitoba,Solar,
2019,Manitoba,Solar,
2015,Saskatchewan,"Total hydro, tidal, wind, solar and other generation",17.3
2016,Saskatchewan,"Total hydro, tidal, wind, solar and other generation",16.4
2017,Saskatchewan,"Total hydro, tidal, wind, solar and other generation",18.0
2018,Saskatchewan,"Total hydro, tidal, wind, solar and other generation",18.3
2019,Saskatchewan,"Total hydro, tidal, wind, solar and other generation",18.5
2015,Saskatchewan,Hydraulic turbine,14.6
2016,Saskatchewan,Hydraulic turbine,13.3
2017,Saskatchewan,Hydraulic turbine,15.1
2018,Saskatchewan,Hydraulic turbine,14.9
2019,Saskatchewan,Hydraulic turbine,15.2
2015,Saskatchewan,Wind power turbine,2.6
2016,Saskatchewan,Wind power turbine,3.0
2017,Saskatchewan,Wind power turbine,2.9
2018,Saskatchewan,Wind power turbine,2.9
2019,Saskatchewan,Wind power turbine,2.9
2015,Saskatchewan,Other types of electricity generation,
2016,Saskatchewan,Other types of electricity generation,
2017,Saskatchewan,Other types of electricity generation,
2018,Saskatchewan,Other types of electricity generation,0.5
2019,Saskatchewan,Other types of electricity generation,0.5
2015,Alberta,"Total hydro, tidal, wind, solar and other generation",7.7
2016,Alberta,"Total hydro, tidal, wind, solar and other generation",8.6
2017,Alberta,"Total hydro, tidal, wind, solar and other generation",8.6
2018,Alberta,"Total hydro, tidal, wind, solar and other generation",8.2
2019,Alberta,"Total hydro, tidal, wind, solar and other generation",8.3
2015,Alberta,Hydraulic turbine,2.4
2016,Alberta,Hydraulic turbine,2.5
2017,Alberta,Hydraulic turbine,2.6
2018,Alberta,Hydraulic turbine,2.6
2019,Alberta,Hydraulic turbine,2.7
2015,Alberta,Wind power turbine,5.1
2016,Alberta,Wind power turbine,5.8
2017,Alberta,Wind power turbine,5.8
2018,Alberta,Wind power turbine,5.4
2019,Alberta,Wind power turbine,5.5
2015,Alberta,Solar,
2016,Alberta,Solar,
2017,Alberta,Solar,
2018,Alberta,Solar,
2019,Alberta,Solar,
2015,Alberta,Other types of electricity generation,0.2
2016,Alberta,Other types of electricity generation,0.2
2017,Alberta,Other types of electricity generation,0.3
2018,Alberta,Other types of electricity generation,0.1
2019,Alberta,Other types of electricity generation,0.1
2015,British Columbia,"Total hydro, tidal, wind, solar and other generation",91.8
2016,British Columbia,"Total hydro, tidal, wind, solar and other generation",90.5
2017,British Columbia,"Total hydro, tidal, wind, solar and other generation",91.5
2018,British Columbia,"Total hydro, tidal, wind, solar and other generation",90.8
2019,British Columbia,"Total hydro, tidal, wind, solar and other generation",88.9
2015,British Columbia,Hydraulic turbine,90.6
2016,British Columbia,Hydraulic turbine,88.7
2017,British Columbia,Hydraulic turbine,89.3
2018,British Columbia,Hydraulic turbine,88.4
2019,British Columbia,Hydraulic turbine,86.3
2015,British Columbia,Wind power turbine,1.2
2016,British Columbia,Wind power turbine,1.8
2017,British Columbia,Wind power turbine,2.2
2018,British Columbia,Wind power turbine,2.5
2019,British Columbia,Wind power turbine,2.6
2015,British Columbia,Solar,
2016,British Columbia,Solar,
2017,British Columbia,Solar,
2018,British Columbia,Solar,
2019,British Columbia,Solar,
2015,British Columbia,Other types of electricity generation,
2016,British Columbia,Other types of electricity generation,
2017,British Columbia,Other types of electricity generation,
2018,British Columbia,Other types of electricity generation,
2019,British Columbia,Other types of electricity generation,
2015,Yukon,"Total hydro, tidal, wind, solar and other generation",94.3
2016,Yukon,"Total hydro, tidal, wind, solar and other generation",94.0
2017,Yukon,"Total hydro, tidal, wind, solar and other generation",92.4
2018,Yukon,"Total hydro, tidal, wind, solar and other generation",87.6
2019,Yukon,"Total hydro, tidal, wind, solar and other generation",80.4
2015,Yukon,Hydraulic turbine,94.2
2016,Yukon,Hydraulic turbine,93.8
2017,Yukon,Hydraulic turbine,92.4
2018,Yukon,Hydraulic turbine,87.6
2019,Yukon,Hydraulic turbine,80.4
2015,Yukon,Wind power turbine,0.1
2016,Yukon,Wind power turbine,0.1
2017,Yukon,Wind power turbine,
2018,Yukon,Wind power turbine,
2019,Yukon,Wind power turbine,
2015,Northwest Territories,"Total hydro, tidal, wind, solar and other generation",25.0
2016,Northwest Territories,"Total hydro, tidal, wind, solar and other generation",31.9
2017,Northwest Territories,"Total hydro, tidal, wind, solar and other generation",35.6
2018,Northwest Territories,"Total hydro, tidal, wind, solar and other generation",35.7
2019,Northwest Territories,"Total hydro, tidal, wind, solar and other generation",39.6
2015,Northwest Territories,Hydraulic turbine,22.2
2016,Northwest Territories,Hydraulic turbine,30.1
2017,Northwest Territories,Hydraulic turbine,33.3
2018,Northwest Territories,Hydraulic turbine,33.3
2019,Northwest Territories,Hydraulic turbine,37.1
2015,Northwest Territories,Wind power turbine,2.8
2016,Northwest Territories,Wind power turbine,1.8
2017,Northwest Territories,Wind power turbine,2.3
2018,Northwest Territories,Wind power turbine,2.4
2019,Northwest Territories,Wind power turbine,2.4
2015,Northwest Territories,Solar,
2016,Northwest Territories,Solar,
2017,Northwest Territories,Solar,
2018,Northwest Territories,Solar,
2019,Northwest Territories,Solar,
2018,Northwest Territories,Other types of electricity generation,
2019,Northwest Territories,Other types of electricity generation,
2015,Nunavut,"Total hydro, tidal, wind, solar and other generation",
2016,Nunavut,"Total hydro, tidal, wind, solar and other generation",
2017,Nunavut,"Total hydro, tidal, wind, solar and other generation",
2018,Nunavut,"Total hydro, tidal, wind, solar and other generation",
2019,Nunavut,"Total hydro, tidal, wind, solar and other generation",
