Year,Geography,Sex,Age group,GeoCode,Value
2015,,,,,30.53
2016,,,,,29.55
2017,,,,,28.88
2018,,,,,28.93
2019,,,,,27.38
2020,,,,,26.69
2021,,,,,27.19
2022,,,,,24.85
2015,Alberta,Total,Total,48,21.74
2016,Alberta,Total,Total,48,21.88
2017,Alberta,Total,Total,48,21.11
2018,Alberta,Total,Total,48,21.01
2019,Alberta,Total,Total,48,20.03
2020,Alberta,Total,Total,48,21.26
2021,Alberta,Total,Total,48,23.38
2022,Alberta,Total,Total,48,23.33
2015,British Columbia,Total,Total,59,28.46
2016,British Columbia,Total,Total,59,28.09
2017,British Columbia,Total,Total,59,27.27
2018,British Columbia,Total,Total,59,28.08
2019,British Columbia,Total,Total,59,24.92
2020,British Columbia,Total,Total,59,24.3
2021,British Columbia,Total,Total,59,23.57
2022,British Columbia,Total,Total,59,20.97
2015,Canada,Total,15 to 24 years,,73.3
2015,Canada,Total,25 to 54 years,,21.38
2015,Canada,Total,55 years and over,,26.56
2015,Canada,Male,Total,,25.41
2015,Canada,Male,15 to 24 years,,68.81
2015,Canada,Male,25 to 54 years,,16.4
2015,Canada,Male,55 years and over,,20.77
2015,Canada,Female,Total,,35.79
2015,Canada,Female,15 to 24 years,,77.81
2015,Canada,Female,25 to 54 years,,26.48
2015,Canada,Female,55 years and over,,32.67
2016,Canada,Total,15 to 24 years,,72.82
2016,Canada,Total,25 to 54 years,,20.52
2016,Canada,Total,55 years and over,,25.27
2016,Canada,Male,Total,,25.05
2016,Canada,Male,15 to 24 years,,68.59
2016,Canada,Male,25 to 54 years,,16.04
2016,Canada,Male,55 years and over,,20.81
2016,Canada,Female,Total,,34.12
2016,Canada,Female,15 to 24 years,,77.04
2016,Canada,Female,25 to 54 years,,25.05
2016,Canada,Female,55 years and over,,29.94
2017,Canada,Total,15 to 24 years,,72.41
2017,Canada,Total,25 to 54 years,,19.73
2017,Canada,Total,55 years and over,,24.32
2017,Canada,Male,Total,,24.22
2017,Canada,Male,15 to 24 years,,67.96
2017,Canada,Male,25 to 54 years,,15.27
2017,Canada,Male,55 years and over,,18.76
2017,Canada,Female,Total,,33.66
2017,Canada,Female,15 to 24 years,,76.97
2017,Canada,Female,25 to 54 years,,24.27
2017,Canada,Female,55 years and over,,30.18
2018,Canada,Total,15 to 24 years,,70.37
2018,Canada,Total,25 to 54 years,,20.18
2018,Canada,Total,55 years and over,,24.83
2018,Canada,Male,Total,,24.28
2018,Canada,Male,15 to 24 years,,65.66
2018,Canada,Male,25 to 54 years,,15.81
2018,Canada,Male,55 years and over,,19.12
2018,Canada,Female,Total,,33.72
2018,Canada,Female,15 to 24 years,,75.26
2018,Canada,Female,25 to 54 years,,24.65
2018,Canada,Female,55 years and over,,30.8
2019,Canada,Total,15 to 24 years,,68.56
2019,Canada,Total,25 to 54 years,,18.4
2019,Canada,Total,55 years and over,,24.15
2019,Canada,Male,Total,,22.92
2019,Canada,Male,15 to 24 years,,63.96
2019,Canada,Male,25 to 54 years,,14.19
2019,Canada,Male,55 years and over,,19.09
2019,Canada,Female,Total,,31.97
2019,Canada,Female,15 to 24 years,,73.24
2019,Canada,Female,25 to 54 years,,22.68
2019,Canada,Female,55 years and over,,29.6
2020,Canada,Total,15 to 24 years,,70.81
2020,Canada,Total,25 to 54 years,,18.12
2020,Canada,Total,55 years and over,,24.05
2020,Canada,Male,Total,,22.84
2020,Canada,Male,15 to 24 years,,67.15
2020,Canada,Male,25 to 54 years,,14.55
2020,Canada,Male,55 years and over,,19.04
2020,Canada,Female,Total,,30.73
2020,Canada,Female,15 to 24 years,,74.64
2020,Canada,Female,25 to 54 years,,21.83
2020,Canada,Female,55 years and over,,29.51
2021,Canada,Total,15 to 24 years,,71.35
2021,Canada,Total,25 to 54 years,,18.08
2021,Canada,Total,55 years and over,,24.39
2021,Canada,Male,Total,,23.56
2021,Canada,Male,15 to 24 years,,68.29
2021,Canada,Male,25 to 54 years,,14.69
2021,Canada,Male,55 years and over,,19.54
2021,Canada,Female,Total,,30.95
2021,Canada,Female,15 to 24 years,,74.5
2021,Canada,Female,25 to 54 years,,21.55
2021,Canada,Female,55 years and over,,29.7
2022,Canada,Total,15 to 24 years,,66.95
2022,Canada,Total,25 to 54 years,,15.91
2022,Canada,Total,55 years and over,,22.52
2022,Canada,Male,Total,,20.68
2022,Canada,Male,15 to 24 years,,63.32
2022,Canada,Male,25 to 54 years,,12.04
2022,Canada,Male,55 years and over,,17.41
2022,Canada,Female,Total,,29.15
2022,Canada,Female,15 to 24 years,,70.59
2022,Canada,Female,25 to 54 years,,19.88
2022,Canada,Female,55 years and over,,27.98
2015,Manitoba,Total,Total,46,34.01
2016,Manitoba,Total,Total,46,32.4
2017,Manitoba,Total,Total,46,32.19
2018,Manitoba,Total,Total,46,34.22
2019,Manitoba,Total,Total,46,33.79
2020,Manitoba,Total,Total,46,34.37
2021,Manitoba,Total,Total,46,35.63
2022,Manitoba,Total,Total,46,33.97
2015,New Brunswick,Total,Total,13,40.61
2016,New Brunswick,Total,Total,13,38.56
2017,New Brunswick,Total,Total,13,38.21
2018,New Brunswick,Total,Total,13,39.1
2019,New Brunswick,Total,Total,13,38.28
2020,New Brunswick,Total,Total,13,40.05
2021,New Brunswick,Total,Total,13,38.51
2022,New Brunswick,Total,Total,13,35.16
2015,Newfoundland and Labrador,Total,Total,10,36.33
2016,Newfoundland and Labrador,Total,Total,10,36.5
