Year,Geography,Industry,Value
2007,,,156871.0
2008,,,160251.0
2009,,,160259.0
2010,,,157792.0
2011,,,162370.0
2012,,,165213.0
2013,,,171213.0
2014,,,179819.0
2015,,,203182.0
2016,,,195219.0
2017,,,206711.0
2018,,,206377.0
2019,,,216676.0
2007,Canada,Engineering construction,45040.0
2008,Canada,Engineering construction,48963.0
2009,Canada,Engineering construction,55579.0
2010,Canada,Engineering construction,60586.0
2011,Canada,Engineering construction,62349.0
2012,Canada,Engineering construction,65080.0
2013,Canada,Engineering construction,69227.0
2014,Canada,Engineering construction,71736.0
2015,Canada,Engineering construction,80228.0
2016,Canada,Engineering construction,72333.0
2017,Canada,Engineering construction,71717.0
2018,Canada,Engineering construction,62796.0
2019,Canada,Engineering construction,64437.0
2007,Canada,Manufacturing,38120.0
2008,Canada,Manufacturing,35552.0
2009,Canada,Manufacturing,30706.0
2010,Canada,Manufacturing,26993.0
2011,Canada,Manufacturing,26355.0
2012,Canada,Manufacturing,26747.0
2013,Canada,Manufacturing,27930.0
2014,Canada,Manufacturing,26949.0
2015,Canada,Manufacturing,34311.0
2016,Canada,Manufacturing,29807.0
2017,Canada,Manufacturing,35535.0
2018,Canada,Manufacturing,38772.0
2019,Canada,Manufacturing,40252.0
2007,Canada,"Professional, scientific and technical services",25963.0
2008,Canada,"Professional, scientific and technical services",27739.0
2009,Canada,"Professional, scientific and technical services",25706.0
2010,Canada,"Professional, scientific and technical services",24194.0
2011,Canada,"Professional, scientific and technical services",26853.0
2012,Canada,"Professional, scientific and technical services",27423.0
2013,Canada,"Professional, scientific and technical services",26265.0
2014,Canada,"Professional, scientific and technical services",30096.0
2015,Canada,"Professional, scientific and technical services",35526.0
2016,Canada,"Professional, scientific and technical services",38943.0
2017,Canada,"Professional, scientific and technical services",42593.0
2018,Canada,"Professional, scientific and technical services",46319.0
2019,Canada,"Professional, scientific and technical services",52128.0
2007,Canada,Other industries,47748.0
2008,Canada,Other industries,47997.0
2009,Canada,Other industries,48268.0
2010,Canada,Other industries,46019.0
2011,Canada,Other industries,46813.0
2012,Canada,Other industries,45963.0
2013,Canada,Other industries,47791.0
2014,Canada,Other industries,51038.0
2015,Canada,Other industries,53117.0
2016,Canada,Other industries,54136.0
2017,Canada,Other industries,56866.0
2018,Canada,Other industries,58490.0
2019,Canada,Other industries,59859.0
2007,Newfoundland and Labrador,"Total, all clean technology industries",
2008,Newfoundland and Labrador,"Total, all clean technology industries",
2009,Newfoundland and Labrador,"Total, all clean technology industries",
2010,Newfoundland and Labrador,"Total, all clean technology industries",
2011,Newfoundland and Labrador,"Total, all clean technology industries",
2012,Newfoundland and Labrador,"Total, all clean technology industries",3371.0
2013,Newfoundland and Labrador,"Total, all clean technology industries",5022.0
2014,Newfoundland and Labrador,"Total, all clean technology industries",7552.0
2015,Newfoundland and Labrador,"Total, all clean technology industries",10263.0
2016,Newfoundland and Labrador,"Total, all clean technology industries",9985.0
2017,Newfoundland and Labrador,"Total, all clean technology industries",9699.0
2018,Newfoundland and Labrador,"Total, all clean technology industries",8492.0
2019,Newfoundland and Labrador,"Total, all clean technology industries",9253.0
2007,Newfoundland and Labrador,Engineering construction,
2008,Newfoundland and Labrador,Engineering construction,
2009,Newfoundland and Labrador,Engineering construction,
2010,Newfoundland and Labrador,Engineering construction,
2011,Newfoundland and Labrador,Engineering construction,
2012,Newfoundland and Labrador,Engineering construction,2433.0
2013,Newfoundland and Labrador,Engineering construction,4161.0
2014,Newfoundland and Labrador,Engineering construction,6606.0
2015,Newfoundland and Labrador,Engineering construction,9314.0
2016,Newfoundland and Labrador,Engineering construction,9000.0
2017,Newfoundland and Labrador,Engineering construction,8822.0
2018,Newfoundland and Labrador,Engineering construction,7493.0
2019,Newfoundland and Labrador,Engineering construction,8258.0
2007,Newfoundland and Labrador,Manufacturing,
2008,Newfoundland and Labrador,Manufacturing,
2009,Newfoundland and Labrador,Manufacturing,
2010,Newfoundland and Labrador,Manufacturing,
2011,Newfoundland and Labrador,Manufacturing,
2012,Newfoundland and Labrador,Manufacturing,50.0
2013,Newfoundland and Labrador,Manufacturing,45.0
2014,Newfoundland and Labrador,Manufacturing,51.0
2015,Newfoundland and Labrador,Manufacturing,47.0
2016,Newfoundland and Labrador,Manufacturing,39.0
2017,Newfoundland and Labrador,Manufacturing,62.0
2018,Newfoundland and Labrador,Manufacturing,108.0
2019,Newfoundland and Labrador,Manufacturing,100.0
2007,Newfoundland and Labrador,"Professional, scientific and technical services",
2008,Newfoundland and Labrador,"Professional, scientific and technical services",
2009,Newfoundland and Labrador,"Professional, scientific and technical services",
2010,Newfoundland and Labrador,"Professional, scientific and technical services",
2011,Newfoundland and Labrador,"Professional, scientific and technical services",
2012,Newfoundland and Labrador,"Professional, scientific and technical services",174.0
2013,Newfoundland and Labrador,"Professional, scientific and technical services",180.0
2014,Newfoundland and Labrador,"Professional, scientific and technical services",213.0
2015,Newfoundland and Labrador,"Professional, scientific and technical services",227.0
2016,Newfoundland and Labrador,"Professional, scientific and technical services",286.0
2017,Newfoundland and Labrador,"Professional, scientific and technical services",192.0
2018,Newfoundland and Labrador,"Professional, scientific and technical services",206.0
2019,Newfoundland and Labrador,"Professional, scientific and technical services",220.0
2007,Newfoundland and Labrador,Other industries,
2008,Newfoundland and Labrador,Other industries,
2009,Newfoundland and Labrador,Other industries,
2010,Newfoundland and Labrador,Other industries,
2011,Newfoundland and Labrador,Other industries,
2012,Newfoundland and Labrador,Other industries,714.0
2013,Newfoundland and Labrador,Other industries,636.0
2014,Newfoundland and Labrador,Other industries,682.0
2015,Newfoundland and Labrador,Other industries,675.0
2016,Newfoundland and Labrador,Other industries,660.0
2017,Newfoundland and Labrador,Other industries,623.0
2018,Newfoundland and Labrador,Other industries,685.0
2019,Newfoundland and Labrador,Other industries,675.0
2007,Prince Edward Island,"Total, all clean technology industries",
2008,Prince Edward Island,"Total, all clean technology industries",
2009,Prince Edward Island,"Total, all clean technology industries",
2010,Prince Edward Island,"Total, all clean technology industries",
2011,Prince Edward Island,"Total, all clean technology industries",
2012,Prince Edward Island,"Total, all clean technology industries",337.0
2013,Prince Edward Island,"Total, all clean technology industries",1126.0
2014,Prince Edward Island,"Total, all clean technology industries",504.0
2015,Prince Edward Island,"Total, all clean technology industries",597.0
2016,Prince Edward Island,"Total, all clean technology industries",861.0
2017,Prince Edward Island,"Total, all clean technology industries",792.0
2018,Prince Edward Island,"Total, all clean technology industries",733.0
2019,Prince Edward Island,"Total, all clean technology industries",731.0
2007,Prince Edward Island,Engineering construction,
2008,Prince Edward Island,Engineering construction,
2009,Prince Edward Island,Engineering construction,
2010,Prince Edward Island,Engineering construction,
2011,Prince Edward Island,Engineering construction,
2012,Prince Edward Island,Engineering construction,149.0
2013,Prince Edward Island,Engineering construction,840.0
2014,Prince Edward Island,Engineering construction,168.0
2015,Prince Edward Island,Engineering construction,196.0
2016,Prince Edward Island,Engineering construction,459.0
2017,Prince Edward Island,Engineering construction,413.0
2018,Prince Edward Island,Engineering construction,218.0
2019,Prince Edward Island,Engineering construction,193.0
2007,Prince Edward Island,Manufacturing,
2008,Prince Edward Island,Manufacturing,
2009,Prince Edward Island,Manufacturing,
2010,Prince Edward Island,Manufacturing,
2011,Prince Edward Island,Manufacturing,
2012,Prince Edward Island,Manufacturing,16.0
2013,Prince Edward Island,Manufacturing,16.0
2014,Prince Edward Island,Manufacturing,19.0
2015,Prince Edward Island,Manufacturing,28.0
2016,Prince Edward Island,Manufacturing,32.0
2017,Prince Edward Island,Manufacturing,39.0
2018,Prince Edward Island,Manufacturing,102.0
2019,Prince Edward Island,Manufacturing,100.0
2007,Prince Edward Island,"Professional, scientific and technical services",
2008,Prince Edward Island,"Professional, scientific and technical services",
2009,Prince Edward Island,"Professional, scientific and technical services",
2010,Prince Edward Island,"Professional, scientific and technical services",
2011,Prince Edward Island,"Professional, scientific and technical services",
2012,Prince Edward Island,"Professional, scientific and technical services",39.0
2013,Prince Edward Island,"Professional, scientific and technical services",29.0
2014,Prince Edward Island,"Professional, scientific and technical services",44.0
2015,Prince Edward Island,"Professional, scientific and technical services",50.0
2016,Prince Edward Island,"Professional, scientific and technical services",50.0
2017,Prince Edward Island,"Professional, scientific and technical services",45.0
2018,Prince Edward Island,"Professional, scientific and technical services",77.0
2019,Prince Edward Island,"Professional, scientific and technical services",87.0
2007,Prince Edward Island,Other industries,
2008,Prince Edward Island,Other industries,
2009,Prince Edward Island,Other industries,
2010,Prince Edward Island,Other industries,
2011,Prince Edward Island,Other industries,
2012,Prince Edward Island,Other industries,133.0
2013,Prince Edward Island,Other industries,241.0
2014,Prince Edward Island,Other industries,273.0
2015,Prince Edward Island,Other industries,323.0
2016,Prince Edward Island,Other industries,320.0
2017,Prince Edward Island,Other industries,295.0
2018,Prince Edward Island,Other industries,336.0
2019,Prince Edward Island,Other industries,351.0
2007,Nova Scotia,"Total, all clean technology industries",
2008,Nova Scotia,"Total, all clean technology industries",
2009,Nova Scotia,"Total, all clean technology industries",
2010,Nova Scotia,"Total, all clean technology industries",
2011,Nova Scotia,"Total, all clean technology industries",
2012,Nova Scotia,"Total, all clean technology industries",2574.0
2013,Nova Scotia,"Total, all clean technology industries",2372.0
2014,Nova Scotia,"Total, all clean technology industries",3137.0
2015,Nova Scotia,"Total, all clean technology industries",3583.0
2016,Nova Scotia,"Total, all clean technology industries",3219.0
2017,Nova Scotia,"Total, all clean technology industries",3671.0
2018,Nova Scotia,"Total, all clean technology industries",3794.0
2019,Nova Scotia,"Total, all clean technology industries",3790.0
2007,Nova Scotia,Engineering construction,
2008,Nova Scotia,Engineering construction,
2009,Nova Scotia,Engineering construction,
2010,Nova Scotia,Engineering construction,
2011,Nova Scotia,Engineering construction,
2012,Nova Scotia,Engineering construction,529.0
2013,Nova Scotia,Engineering construction,359.0
2014,Nova Scotia,Engineering construction,996.0
2015,Nova Scotia,Engineering construction,1406.0
2016,Nova Scotia,Engineering construction,907.0
2017,Nova Scotia,Engineering construction,1066.0
2018,Nova Scotia,Engineering construction,947.0
2019,Nova Scotia,Engineering construction,871.0
2007,Nova Scotia,Manufacturing,
2008,Nova Scotia,Manufacturing,
2009,Nova Scotia,Manufacturing,
2010,Nova Scotia,Manufacturing,
2011,Nova Scotia,Manufacturing,
2012,Nova Scotia,Manufacturing,404.0
2013,Nova Scotia,Manufacturing,531.0
2014,Nova Scotia,Manufacturing,526.0
2015,Nova Scotia,Manufacturing,458.0
2016,Nova Scotia,Manufacturing,585.0
2017,Nova Scotia,Manufacturing,582.0
2018,Nova Scotia,Manufacturing,504.0
2019,Nova Scotia,Manufacturing,400.0
2007,Nova Scotia,"Professional, scientific and technical services",
2008,Nova Scotia,"Professional, scientific and technical services",
2009,Nova Scotia,"Professional, scientific and technical services",
2010,Nova Scotia,"Professional, scientific and technical services",
2011,Nova Scotia,"Professional, scientific and technical services",
2012,Nova Scotia,"Professional, scientific and technical services",393.0
2013,Nova Scotia,"Professional, scientific and technical services",392.0
2014,Nova Scotia,"Professional, scientific and technical services",454.0
2015,Nova Scotia,"Professional, scientific and technical services",519.0
2016,Nova Scotia,"Professional, scientific and technical services",527.0
2017,Nova Scotia,"Professional, scientific and technical services",710.0
2018,Nova Scotia,"Professional, scientific and technical services",949.0
2019,Nova Scotia,"Professional, scientific and technical services",1120.0
2007,Nova Scotia,Other industries,
2008,Nova Scotia,Other industries,
2009,Nova Scotia,Other industries,
2010,Nova Scotia,Other industries,
2011,Nova Scotia,Other industries,
2012,Nova Scotia,Other industries,1248.0
2013,Nova Scotia,Other industries,1090.0
2014,Nova Scotia,Other industries,1161.0
2015,Nova Scotia,Other industries,1200.0
2016,Nova Scotia,Other industries,1200.0
2017,Nova Scotia,Other industries,1313.0
2018,Nova Scotia,Other industries,1394.0
2019,Nova Scotia,Other industries,1399.0
2007,New Brunswick,"Total, all clean technology industries",
2008,New Brunswick,"Total, all clean technology industries",
2009,New Brunswick,"Total, all clean technology industries",
2010,New Brunswick,"Total, all clean technology industries",
2011,New Brunswick,"Total, all clean technology industries",
2012,New Brunswick,"Total, all clean technology industries",3454.0
2013,New Brunswick,"Total, all clean technology industries",3019.0
2014,New Brunswick,"Total, all clean technology industries",3173.0
2015,New Brunswick,"Total, all clean technology industries",3035.0
2016,New Brunswick,"Total, all clean technology industries",3387.0
2017,New Brunswick,"Total, all clean technology industries",3300.0
2018,New Brunswick,"Total, all clean technology industries",3561.0
2019,New Brunswick,"Total, all clean technology industries",3497.0
2007,New Brunswick,Engineering construction,
2008,New Brunswick,Engineering construction,
2009,New Brunswick,Engineering construction,
2010,New Brunswick,Engineering construction,
2011,New Brunswick,Engineering construction,
2012,New Brunswick,Engineering construction,1412.0
2013,New Brunswick,Engineering construction,797.0
2014,New Brunswick,Engineering construction,929.0
2015,New Brunswick,Engineering construction,617.0
2016,New Brunswick,Engineering construction,942.0
2017,New Brunswick,Engineering construction,1175.0
2018,New Brunswick,Engineering construction,1163.0
2019,New Brunswick,Engineering construction,1004.0
2007,New Brunswick,Manufacturing,
2008,New Brunswick,Manufacturing,
2009,New Brunswick,Manufacturing,
2010,New Brunswick,Manufacturing,
2011,New Brunswick,Manufacturing,
2012,New Brunswick,Manufacturing,968.0
2013,New Brunswick,Manufacturing,920.0
2014,New Brunswick,Manufacturing,924.0
2015,New Brunswick,Manufacturing,1072.0
2016,New Brunswick,Manufacturing,1040.0
2017,New Brunswick,Manufacturing,904.0
2018,New Brunswick,Manufacturing,792.0
2019,New Brunswick,Manufacturing,878.0
2007,New Brunswick,"Professional, scientific and technical services",
2008,New Brunswick,"Professional, scientific and technical services",
2009,New Brunswick,"Professional, scientific and technical services",
2010,New Brunswick,"Professional, scientific and technical services",
2011,New Brunswick,"Professional, scientific and technical services",
2012,New Brunswick,"Professional, scientific and technical services",310.0
2013,New Brunswick,"Professional, scientific and technical services",273.0
2014,New Brunswick,"Professional, scientific and technical services",334.0
2015,New Brunswick,"Professional, scientific and technical services",313.0
2016,New Brunswick,"Professional, scientific and technical services",374.0
2017,New Brunswick,"Professional, scientific and technical services",254.0
2018,New Brunswick,"Professional, scientific and technical services",522.0
2019,New Brunswick,"Professional, scientific and technical services",515.0
2007,New Brunswick,Other industries,
2008,New Brunswick,Other industries,
2009,New Brunswick,Other industries,
2010,New Brunswick,Other industries,
2011,New Brunswick,Other industries,
2012,New Brunswick,Other industries,764.0
2013,New Brunswick,Other industries,1029.0
2014,New Brunswick,Other industries,986.0
2015,New Brunswick,Other industries,1033.0
2016,New Brunswick,Other industries,1031.0
2017,New Brunswick,Other industries,967.0
2018,New Brunswick,Other industries,1084.0
2019,New Brunswick,Other industries,1100.0
2007,Quebec,"Total, all clean technology industries",
2008,Quebec,"Total, all clean technology industries",
2009,Quebec,"Total, all clean technology industries",
2010,Quebec,"Total, all clean technology industries",
2011,Quebec,"Total, all clean technology industries",
2012,Quebec,"Total, all clean technology industries",46725.0
2013,Quebec,"Total, all clean technology industries",45653.0
2014,Quebec,"Total, all clean technology industries",42302.0
2015,Quebec,"Total, all clean technology industries",48534.0
2016,Quebec,"Total, all clean technology industries",44124.0
2017,Quebec,"Total, all clean technology industries",43598.0
2018,Quebec,"Total, all clean technology industries",48559.0
2019,Quebec,"Total, all clean technology industries",50283.0
2007,Quebec,Engineering construction,
2008,Quebec,Engineering construction,
2009,Quebec,Engineering construction,
2010,Quebec,Engineering construction,
2011,Quebec,Engineering construction,
2012,Quebec,Engineering construction,24257.0
2013,Quebec,Engineering construction,23855.0
2014,Quebec,Engineering construction,19086.0
2015,Quebec,Engineering construction,21868.0
2016,Quebec,Engineering construction,17817.0
2017,Quebec,Engineering construction,15170.0
2018,Quebec,Engineering construction,13713.0
2019,Quebec,Engineering construction,13321.0
2007,Quebec,Manufacturing,
2008,Quebec,Manufacturing,
2009,Quebec,Manufacturing,
2010,Quebec,Manufacturing,
2011,Quebec,Manufacturing,
2012,Quebec,Manufacturing,7747.0
2013,Quebec,Manufacturing,7940.0
2014,Quebec,Manufacturing,8412.0
2015,Quebec,Manufacturing,9903.0
2016,Quebec,Manufacturing,9467.0
2017,Quebec,Manufacturing,9581.0
2018,Quebec,Manufacturing,13113.0
2019,Quebec,Manufacturing,13481.0
2007,Quebec,"Professional, scientific and technical services",
2008,Quebec,"Professional, scientific and technical services",
2009,Quebec,"Professional, scientific and technical services",
2010,Quebec,"Professional, scientific and technical services",
2011,Quebec,"Professional, scientific and technical services",
2012,Quebec,"Professional, scientific and technical services",6072.0
2013,Quebec,"Professional, scientific and technical services",5411.0
2014,Quebec,"Professional, scientific and technical services",5802.0
2015,Quebec,"Professional, scientific and technical services",6995.0
2016,Quebec,"Professional, scientific and technical services",7500.0
2017,Quebec,"Professional, scientific and technical services",9462.0
2018,Quebec,"Professional, scientific and technical services",11675.0
2019,Quebec,"Professional, scientific and technical services",13241.0
2007,Quebec,Other industries,
2008,Quebec,Other industries,
2009,Quebec,Other industries,
2010,Quebec,Other industries,
2011,Quebec,Other industries,
2012,Quebec,Other industries,8649.0
2013,Quebec,Other industries,8447.0
2014,Quebec,Other industries,9002.0
2015,Quebec,Other industries,9768.0
2016,Quebec,Other industries,9340.0
2017,Quebec,Other industries,9385.0
2018,Quebec,Other industries,10058.0
2019,Quebec,Other industries,10240.0
2007,Ontario,"Total, all clean technology industries",
2008,Ontario,"Total, all clean technology industries",
2009,Ontario,"Total, all clean technology industries",
2010,Ontario,"Total, all clean technology industries",
2011,Ontario,"Total, all clean technology industries",
2012,Ontario,"Total, all clean technology industries",58155.0
2013,Ontario,"Total, all clean technology industries",61679.0
2014,Ontario,"Total, all clean technology industries",67377.0
2015,Ontario,"Total, all clean technology industries",78422.0
2016,Ontario,"Total, all clean technology industries",72674.0
2017,Ontario,"Total, all clean technology industries",75902.0
2018,Ontario,"Total, all clean technology industries",78141.0
2019,Ontario,"Total, all clean technology industries",83469.0
2007,Ontario,Engineering construction,
2008,Ontario,Engineering construction,
2009,Ontario,Engineering construction,
2010,Ontario,Engineering construction,
2011,Ontario,Engineering construction,
2012,Ontario,Engineering construction,15931.0
2013,Ontario,Engineering construction,16967.0
2014,Ontario,Engineering construction,21236.0
2015,Ontario,Engineering construction,23813.0
2016,Ontario,Engineering construction,18997.0
2017,Ontario,Engineering construction,19059.0
2018,Ontario,Engineering construction,16913.0
2019,Ontario,Engineering construction,17765.0
2007,Ontario,Manufacturing,
2008,Ontario,Manufacturing,
2009,Ontario,Manufacturing,
2010,Ontario,Manufacturing,
2011,Ontario,Manufacturing,
2012,Ontario,Manufacturing,10322.0
2013,Ontario,Manufacturing,11539.0
2014,Ontario,Manufacturing,9896.0
2015,Ontario,Manufacturing,14862.0
2016,Ontario,Manufacturing,10887.0
2017,Ontario,Manufacturing,14783.0
2018,Ontario,Manufacturing,14684.0
2019,Ontario,Manufacturing,15816.0
2007,Ontario,"Professional, scientific and technical services",
2008,Ontario,"Professional, scientific and technical services",
2009,Ontario,"Professional, scientific and technical services",
2010,Ontario,"Professional, scientific and technical services",
2011,Ontario,"Professional, scientific and technical services",
2012,Ontario,"Professional, scientific and technical services",11714.0
2013,Ontario,"Professional, scientific and technical services",11072.0
2014,Ontario,"Professional, scientific and technical services",13160.0
2015,Ontario,"Professional, scientific and technical services",15907.0
2016,Ontario,"Professional, scientific and technical services",17825.0
2017,Ontario,"Professional, scientific and technical services",16581.0
2018,Ontario,"Professional, scientific and technical services",19522.0
2019,Ontario,"Professional, scientific and technical services",21666.0
2007,Ontario,Other industries,
2008,Ontario,Other industries,
2009,Ontario,Other industries,
2010,Ontario,Other industries,
2011,Ontario,Other industries,
2012,Ontario,Other industries,20188.0
2013,Ontario,Other industries,22101.0
2014,Ontario,Other industries,23085.0
2015,Ontario,Other industries,23840.0
2016,Ontario,Other industries,24965.0
2017,Ontario,Other industries,25479.0
2018,Ontario,Other industries,27022.0
2019,Ontario,Other industries,28222.0
2007,Manitoba,"Total, all clean technology industries",
2008,Manitoba,"Total, all clean technology industries",
2009,Manitoba,"Total, all clean technology industries",
2010,Manitoba,"Total, all clean technology industries",
2011,Manitoba,"Total, all clean technology industries",
2012,Manitoba,"Total, all clean technology industries",6851.0
2013,Manitoba,"Total, all clean technology industries",7865.0
2014,Manitoba,"Total, all clean technology industries",9635.0
2015,Manitoba,"Total, all clean technology industries",10995.0
2016,Manitoba,"Total, all clean technology industries",11791.0
2017,Manitoba,"Total, all clean technology industries",13683.0
2018,Manitoba,"Total, all clean technology industries",12217.0
2019,Manitoba,"Total, all clean technology industries",11656.0
2007,Manitoba,Engineering construction,
2008,Manitoba,Engineering construction,
2009,Manitoba,Engineering construction,
2010,Manitoba,Engineering construction,
2011,Manitoba,Engineering construction,
2012,Manitoba,Engineering construction,4268.0
2013,Manitoba,Engineering construction,5001.0
2014,Manitoba,Engineering construction,6545.0
2015,Manitoba,Engineering construction,7891.0
2016,Manitoba,Engineering construction,8419.0
2017,Manitoba,Engineering construction,9692.0
2018,Manitoba,Engineering construction,8130.0
2019,Manitoba,Engineering construction,7462.0
2007,Manitoba,Manufacturing,
2008,Manitoba,Manufacturing,
2009,Manitoba,Manufacturing,
2010,Manitoba,Manufacturing,
2011,Manitoba,Manufacturing,
2012,Manitoba,Manufacturing,918.0
2013,Manitoba,Manufacturing,1021.0
2014,Manitoba,Manufacturing,980.0
2015,Manitoba,Manufacturing,719.0
2016,Manitoba,Manufacturing,891.0
2017,Manitoba,Manufacturing,1166.0
2018,Manitoba,Manufacturing,1139.0
2019,Manitoba,Manufacturing,1195.0
2007,Manitoba,"Professional, scientific and technical services",
2008,Manitoba,"Professional, scientific and technical services",
2009,Manitoba,"Professional, scientific and technical services",
2010,Manitoba,"Professional, scientific and technical services",
2011,Manitoba,"Professional, scientific and technical services",
2012,Manitoba,"Professional, scientific and technical services",438.0
2013,Manitoba,"Professional, scientific and technical services",412.0
2014,Manitoba,"Professional, scientific and technical services",580.0
2015,Manitoba,"Professional, scientific and technical services",709.0
2016,Manitoba,"Professional, scientific and technical services",789.0
2017,Manitoba,"Professional, scientific and technical services",1011.0
2018,Manitoba,"Professional, scientific and technical services",1034.0
2019,Manitoba,"Professional, scientific and technical services",1096.0
2007,Manitoba,Other industries,
2008,Manitoba,Other industries,
2009,Manitoba,Other industries,
2010,Manitoba,Other industries,
2011,Manitoba,Other industries,
2012,Manitoba,Other industries,1227.0
2013,Manitoba,Other industries,1431.0
2014,Manitoba,Other industries,1530.0
2015,Manitoba,Other industries,1676.0
2016,Manitoba,Other industries,1692.0
2017,Manitoba,Other industries,1814.0
2018,Manitoba,Other industries,1914.0
2019,Manitoba,Other industries,1903.0
2007,Saskatchewan,"Total, all clean technology industries",
2008,Saskatchewan,"Total, all clean technology industries",
2009,Saskatchewan,"Total, all clean technology industries",
2010,Saskatchewan,"Total, all clean technology industries",
2011,Saskatchewan,"Total, all clean technology industries",
2012,Saskatchewan,"Total, all clean technology industries",4310.0
2013,Saskatchewan,"Total, all clean technology industries",4369.0
