Year,Geography,Value
2000,,1.9
2001,,2.0
2002,,2.0
2003,,2.0
2004,,2.0
2005,,2.0
2006,,1.9
2007,,1.9
2008,,1.9
2009,,1.9
2010,,1.8
2011,,1.8
2012,,1.8
2013,,1.7
2014,,1.7
2015,,1.7
2016,,1.7
2017,,1.7
2018,,1.6
2000,Newfoundland and Labrador,1.0
2001,Newfoundland and Labrador,1.0
2002,Newfoundland and Labrador,0.9
2003,Newfoundland and Labrador,0.9
2004,Newfoundland and Labrador,0.9
2005,Newfoundland and Labrador,1.2
2006,Newfoundland and Labrador,1.1
2007,Newfoundland and Labrador,0.9
2008,Newfoundland and Labrador,0.8
2009,Newfoundland and Labrador,1.1
2010,Newfoundland and Labrador,0.9
2011,Newfoundland and Labrador,0.9
2012,Newfoundland and Labrador,1.2
2013,Newfoundland and Labrador,0.9
2014,Newfoundland and Labrador,1.0
2015,Newfoundland and Labrador,1.2
2016,Newfoundland and Labrador,1.2
2017,Newfoundland and Labrador,1.3
2018,Newfoundland and Labrador,
2000,Prince Edward Island,1.1
2001,Prince Edward Island,1.1
2002,Prince Edward Island,0.8
2003,Prince Edward Island,1.2
2004,Prince Edward Island,1.0
2005,Prince Edward Island,1.5
2006,Prince Edward Island,1.6
2007,Prince Edward Island,1.3
2008,Prince Edward Island,1.4
2009,Prince Edward Island,1.4
2010,Prince Edward Island,1.3
2011,Prince Edward Island,1.2
2012,Prince Edward Island,1.4
2013,Prince Edward Island,1.3
2014,Prince Edward Island,1.1
2015,Prince Edward Island,1.3
2016,Prince Edward Island,1.3
2017,Prince Edward Island,1.2
2018,Prince Edward Island,
2000,Nova Scotia,1.4
2001,Nova Scotia,1.4
2002,Nova Scotia,1.4
2003,Nova Scotia,1.4
2004,Nova Scotia,1.4
2005,Nova Scotia,1.4
2006,Nova Scotia,1.5
2007,Nova Scotia,1.5
2008,Nova Scotia,1.5
2009,Nova Scotia,1.5
2010,Nova Scotia,1.4
2011,Nova Scotia,1.3
2012,Nova Scotia,1.3
2013,Nova Scotia,1.4
2014,Nova Scotia,1.5
2015,Nova Scotia,1.5
2016,Nova Scotia,1.5
2017,Nova Scotia,1.5
2018,Nova Scotia,
2000,New Brunswick,0.8
2001,New Brunswick,0.8
2002,New Brunswick,1.0
2003,New Brunswick,0.9
2004,New Brunswick,0.9
2005,New Brunswick,1.0
2006,New Brunswick,1.0
2007,New Brunswick,1.1
2008,New Brunswick,1.1
2009,New Brunswick,1.2
2010,New Brunswick,1.0
2011,New Brunswick,0.9
2012,New Brunswick,0.9
2013,New Brunswick,0.9
2014,New Brunswick,0.9
2015,New Brunswick,0.9
2016,New Brunswick,1.1
2017,New Brunswick,1.0
2018,New Brunswick,
2000,Quebec,2.5
2001,Quebec,2.7
2002,Quebec,2.7
2003,Quebec,2.7
2004,Quebec,2.7
2005,Quebec,2.6
2006,Quebec,2.7
2007,Quebec,2.6
2008,Quebec,2.6
2009,Quebec,2.5
2010,Quebec,2.4
2011,Quebec,2.4
2012,Quebec,2.3
2013,Quebec,2.3
2014,Quebec,2.4
2015,Quebec,2.3
2016,Quebec,2.2
2017,Quebec,2.3
2018,Quebec,
2000,Ontario,2.3
2001,Ontario,2.5
2002,Ontario,2.3
2003,Ontario,2.3
2004,Ontario,2.4
2005,Ontario,2.5
2006,Ontario,2.4
2007,Ontario,2.3
2008,Ontario,2.3
2009,Ontario,2.3
2010,Ontario,2.2
2011,Ontario,2.2
2012,Ontario,2.1
2013,Ontario,2.0
2014,Ontario,2.1
2015,Ontario,1.9
2016,Ontario,2.0
2017,Ontario,1.9
2018,Ontario,
2000,Manitoba,1.1
2001,Manitoba,1.3
2002,Manitoba,1.2
2003,Manitoba,1.2
2004,Manitoba,1.3
2005,Manitoba,1.3
2006,Manitoba,1.2
2007,Manitoba,1.2
2008,Manitoba,1.1
2009,Manitoba,1.3
2010,Manitoba,1.3
2011,Manitoba,1.2
2012,Manitoba,1.2
2013,Manitoba,1.1
