Year,Geography,Population centres,GeoCode,Value
2016,,,,84.3
2017,,,,84.1
2018,,,,85.5
2019,,,,87.4
2020,,,,89.7
2021,,,,91.4
2022,,,,93.1
2016,Canada,First Nations reserves,,27.3
2017,Canada,First Nations reserves,,27.7
2018,Canada,First Nations reserves,,31.3
2019,Canada,First Nations reserves,,34.8
2020,Canada,First Nations reserves,,39.1
2021,Canada,First Nations reserves,,43.3
2022,Canada,First Nations reserves,,50.1
2016,Canada,First Nations reserves Urban centres,,73.0
2017,Canada,First Nations reserves Urban centres,,73.0
2018,Canada,First Nations reserves Urban centres,,75.6
2019,Canada,First Nations reserves Urban centres,,80.7
2020,Canada,First Nations reserves Urban centres,,84.2
2021,Canada,First Nations reserves Urban centres,,81.8
2022,Canada,First Nations reserves Urban centres,,81.7
2016,Canada,First Nations reserves Rural areas,,14.2
2017,Canada,First Nations reserves Rural areas,,14.8
2018,Canada,First Nations reserves Rural areas,,18.7
2019,Canada,First Nations reserves Rural areas,,21.7
2020,Canada,First Nations reserves Rural areas,,26.2
2021,Canada,First Nations reserves Rural areas,,32.3
2022,Canada,First Nations reserves Rural areas,,37.8
2016,Canada,Urban centres,,96.4
2017,Canada,Urban centres,,96.6
2018,Canada,Urban centres,,97.4
2019,Canada,Urban centres,,98.6
2020,Canada,Urban centres,,99.2
2021,Canada,Urban centres,,99.2
2022,Canada,Urban centres,,99.4
2016,Canada,Rural areas,,38.9
2017,Canada,Rural areas,,37.2
2018,Canada,Rural areas,,40.7
2019,Canada,Rural areas,,45.6
2020,Canada,Rural areas,,54.4
2021,Canada,Rural areas,,62.0
2022,Canada,Rural areas,,67.4
2016,British Columbia,First Nations reserves,59,60.01
2017,British Columbia,First Nations reserves,59,62.13
2018,British Columbia,First Nations reserves,59,66.68
2019,British Columbia,First Nations reserves,59,68.32
2020,British Columbia,First Nations reserves,59,70.73
2021,British Columbia,First Nations reserves,59,71.52
2022,British Columbia,First Nations reserves,59,74.82
2016,Alberta,First Nations reserves,48,1.13
2017,Alberta,First Nations reserves,48,0.3
2018,Alberta,First Nations reserves,48,12.02
2019,Alberta,First Nations reserves,48,19.6
2020,Alberta,First Nations reserves,48,17.13
2021,Alberta,First Nations reserves,48,26.91
2022,Alberta,First Nations reserves,48,29.74
2016,Saskatchewan,First Nations reserves,47,
2017,Saskatchewan,First Nations reserves,47,
2018,Saskatchewan,First Nations reserves,47,
2019,Saskatchewan,First Nations reserves,47,1.65
2020,Saskatchewan,First Nations reserves,47,4.04
2021,Saskatchewan,First Nations reserves,47,10.05
2022,Saskatchewan,First Nations reserves,47,10.65
2016,Manitoba,First Nations reserves,46,2.29
2017,Manitoba,First Nations reserves,46,1.48
2018,Manitoba,First Nations reserves,46,1.82
2019,Manitoba,First Nations reserves,46,2.04
2020,Manitoba,First Nations reserves,46,4.27
2021,Manitoba,First Nations reserves,46,14.58
2022,Manitoba,First Nations reserves,46,24.04
2016,Ontario,First Nations reserves,35,18.03
2017,Ontario,First Nations reserves,35,14.79
2018,Ontario,First Nations reserves,35,16.98
2019,Ontario,First Nations reserves,35,16.11
2020,Ontario,First Nations reserves,35,27.87
2021,Ontario,First Nations reserves,35,33.41
2022,Ontario,First Nations reserves,35,34.9
2016,Quebec,First Nations reserves,24,31.79
2017,Quebec,First Nations reserves,24,38.35
2018,Quebec,First Nations reserves,24,44.72
2019,Quebec,First Nations reserves,24,62.76
2020,Quebec,First Nations reserves,24,65.75
2021,Quebec,First Nations reserves,24,66.7
2022,Quebec,First Nations reserves,24,81.98
2016,New Brunswick,First Nations reserves,13,87.8
2017,New Brunswick,First Nations reserves,13,87.18
2018,New Brunswick,First Nations reserves,13,87.18
2019,New Brunswick,First Nations reserves,13,92.89
2020,New Brunswick,First Nations reserves,13,97.35
2021,New Brunswick,First Nations reserves,13,95.77
2022,New Brunswick,First Nations reserves,13,96.25
2016,Prince Edward Island,First Nations reserves,11,29.72
2017,Prince Edward Island,First Nations reserves,11,29.74
2018,Prince Edward Island,First Nations reserves,11,29.74
2019,Prince Edward Island,First Nations reserves,11,30.43
2020,Prince Edward Island,First Nations reserves,11,50.38
2021,Prince Edward Island,First Nations reserves,11,97.61
2022,Prince Edward Island,First Nations reserves,11,97.99
2016,Nova Scotia,First Nations reserves,12,45.03
2017,Nova Scotia,First Nations reserves,12,43.92
2018,Nova Scotia,First Nations reserves,12,43.92
2019,Nova Scotia,First Nations reserves,12,44.14
2020,Nova Scotia,First Nations reserves,12,67.68
2021,Nova Scotia,First Nations reserves,12,44.87
2022,Nova Scotia,First Nations reserves,12,79.31
2016,Newfoundland and Labrador,First Nations reserves,10,26.74
2017,Newfoundland and Labrador,First Nations reserves,10,24.4
2018,Newfoundland and Labrador,First Nations reserves,10,
2019,Newfoundland and Labrador,First Nations reserves,10,
2020,Newfoundland and Labrador,First Nations reserves,10,
2021,Newfoundland and Labrador,First Nations reserves,10,25.92
2022,Newfoundland and Labrador,First Nations reserves,10,36.83
2016,Northwest Territories,First Nations reserves,61,
2017,Northwest Territories,First Nations reserves,61,
2018,Northwest Territories,First Nations reserves,61,
2019,Northwest Territories,First Nations reserves,61,
2020,Northwest Territories,First Nations reserves,61,74.89
2021,Northwest Territories,First Nations reserves,61,74.89
2022,Northwest Territories,First Nations reserves,61,73.59
2016,Yukon,First Nations reserves,60,
2017,Yukon,First Nations reserves,60,
2018,Yukon,First Nations reserves,60,
2019,Yukon,First Nations reserves,60,
2020,Yukon,First Nations reserves,60,
2021,Yukon,First Nations reserves,60,0.0
2022,Yukon,First Nations reserves,60,
2016,Nunavut,First Nations reserves,62,
2017,Nunavut,First Nations reserves,62,
2018,Nunavut,First Nations reserves,62,
2019,Nunavut,First Nations reserves,62,
2020,Nunavut,First Nations reserves,62,
2021,Nunavut,First Nations reserves,62,
2022,Nunavut,First Nations reserves,62,
2016,British Columbia,First Nations reserves Rural areas,59,27.91
2017,British Columbia,First Nations reserves Rural areas,59,31.7
