Year,Geography,Asset,GeoCode,Value
2015,,,,0.3632
2016,,,,0.3579
2017,,,,0.3382
2018,,,,0.3391
2019,,,,0.3402
2020,,,,0.3399
2021,,,,0.3253
2015,Canada,Commercial buildings,,0.3584
2015,Canada,Institutional buildings,,0.3549
2015,Canada,Marine engineering infrastructure,,0.3674
2015,Canada,Transportation engineering infrastructure,,0.3599
2015,Canada,Waterworks infrastructure,,0.3738
2015,Canada,Sewage infrastructure,,0.376
2015,Canada,Communications networks,,0.3416
2015,Canada,Electric power infrastructure,,0.3394
2015,Canada,Oil and gas engineering construction,,0.4085
2015,Canada,Other engineering construction,,0.3886
2015,Canada,Other machinery and equipment,,0.585
2015,Canada,Transportation machinery and equipment,,0.6059
2015,Newfoundland and Labrador,Total assets,10,0.3395
2015,Newfoundland and Labrador,Commercial buildings,10,0.3639
2015,Newfoundland and Labrador,Institutional buildings,10,0.3639
2015,Newfoundland and Labrador,Marine engineering infrastructure,10,0.3967
2015,Newfoundland and Labrador,Transportation engineering infrastructure,10,0.3375
2015,Newfoundland and Labrador,Waterworks infrastructure,10,0.3967
2015,Newfoundland and Labrador,Sewage infrastructure,10,0.3967
2015,Newfoundland and Labrador,Communications networks,10,0.3266
2015,Newfoundland and Labrador,Electric power infrastructure,10,0.3334
2015,Newfoundland and Labrador,Oil and gas engineering construction,10,0.4085
2015,Newfoundland and Labrador,Other engineering construction,10,0.3967
2015,Newfoundland and Labrador,Other machinery and equipment,10,0.5877
2015,Newfoundland and Labrador,Transportation machinery and equipment,10,0.5942
2015,Prince Edward Island,Total assets,11,0.3801
2015,Prince Edward Island,Commercial buildings,11,0.3546
2015,Prince Edward Island,Institutional buildings,11,0.3546
2015,Prince Edward Island,Marine engineering infrastructure,11,0.3456
2015,Prince Edward Island,Transportation engineering infrastructure,11,0.4029
2015,Prince Edward Island,Waterworks infrastructure,11,0.3456
2015,Prince Edward Island,Sewage infrastructure,11,0.3456
2015,Prince Edward Island,Communications networks,11,0.3564
2015,Prince Edward Island,Electric power infrastructure,11,0.339
2015,Prince Edward Island,Oil and gas engineering construction,11,0.4085
2015,Prince Edward Island,Other engineering construction,11,0.3456
2015,Prince Edward Island,Other machinery and equipment,11,0.5937
2015,Prince Edward Island,Transportation machinery and equipment,11,0.4646
2015,Nova Scotia,Total assets,12,0.3445
2015,Nova Scotia,Commercial buildings,12,0.3595
2015,Nova Scotia,Institutional buildings,12,0.3595
2015,Nova Scotia,Marine engineering infrastructure,12,0.314
2015,Nova Scotia,Transportation engineering infrastructure,12,0.3415
2015,Nova Scotia,Waterworks infrastructure,12,0.314
2015,Nova Scotia,Sewage infrastructure,12,0.314
2015,Nova Scotia,Communications networks,12,0.3172
2015,Nova Scotia,Electric power infrastructure,12,0.3438
2015,Nova Scotia,Oil and gas engineering construction,12,0.3163
2015,Nova Scotia,Other engineering construction,12,0.314
2015,Nova Scotia,Other machinery and equipment,12,0.5447
2015,Nova Scotia,Transportation machinery and equipment,12,0.5776
2015,New Brunswick,Total assets,13,0.3418
2015,New Brunswick,Commercial buildings,13,0.3473
2015,New Brunswick,Institutional buildings,13,0.3473
2015,New Brunswick,Marine engineering infrastructure,13,0.3845
2015,New Brunswick,Transportation engineering infrastructure,13,0.3358
2015,New Brunswick,Waterworks infrastructure,13,0.3845
2015,New Brunswick,Sewage infrastructure,13,0.3845
2015,New Brunswick,Communications networks,13,0.3257
2015,New Brunswick,Electric power infrastructure,13,0.3281
2015,New Brunswick,Oil and gas engineering construction,13,0.3052
2015,New Brunswick,Other engineering construction,13,0.3845
2015,New Brunswick,Other machinery and equipment,13,0.5716
2015,New Brunswick,Transportation machinery and equipment,13,0.5571
2015,Quebec,Total assets,24,0.3486
2015,Quebec,Commercial buildings,24,0.3542
2015,Quebec,Institutional buildings,24,0.3542
2015,Quebec,Marine engineering infrastructure,24,0.3736
2015,Quebec,Transportation engineering infrastructure,24,0.3454
2015,Quebec,Waterworks infrastructure,24,0.3736
2015,Quebec,Sewage infrastructure,24,0.3736
2015,Quebec,Communications networks,24,0.3367
2015,Quebec,Electric power infrastructure,24,0.3254
2015,Quebec,Oil and gas engineering construction,24,0.316
2015,Quebec,Other engineering construction,24,0.3736
2015,Quebec,Other machinery and equipment,24,0.5562
2015,Quebec,Transportation machinery and equipment,24,0.6023
2015,Ontario,Total assets,35,0.3682
2015,Ontario,Commercial buildings,35,0.3464
2015,Ontario,Institutional buildings,35,0.3464
2015,Ontario,Marine engineering infrastructure,35,0.3763
2015,Ontario,Transportation engineering infrastructure,35,0.3659
2015,Ontario,Waterworks infrastructure,35,0.3763
2015,Ontario,Sewage infrastructure,35,0.3763
2015,Ontario,Communications networks,35,0.3437
2015,Ontario,Electric power infrastructure,35,0.3417
2015,Ontario,Oil and gas engineering construction,35,0.3232
2015,Ontario,Other engineering construction,35,0.3763
2015,Ontario,Other machinery and equipment,35,0.5892
2015,Ontario,Transportation machinery and equipment,35,0.6122
2015,Manitoba,Total assets,46,0.3708
2015,Manitoba,Commercial buildings,46,0.3645
2015,Manitoba,Institutional buildings,46,0.3645
2015,Manitoba,Marine engineering infrastructure,46,0.3806
2015,Manitoba,Transportation engineering infrastructure,46,0.3607
2015,Manitoba,Waterworks infrastructure,46,0.3806
2015,Manitoba,Sewage infrastructure,46,0.3806
2015,Manitoba,Communications networks,46,0.3451
