Year,Value,Series,GeoCode
2015,66.7,Aged 18 years and older,
2016,67.5,Aged 18 years and older,
2017,68.2,Aged 18 years and older,
2018,67.1,Aged 18 years and older,
2019,68.4,Aged 18 years and older,
2020,69.0,Aged 18 years and older,
2021,68.4,Aged 18 years and older,
2022,63.5,Aged 18 years and older,
2023,60.6,Aged 18 years and older,
2024,61.1,Aged 18 years and older,
2015,83.8,Aged 12 to 17 years,
2016,85.4,Aged 12 to 17 years,
2017,85.1,Aged 12 to 17 years,
2018,85.3,Aged 12 to 17 years,
2019,86.5,Aged 12 to 17 years,
2020,85.9,Aged 12 to 17 years,
2021,83.5,Aged 12 to 17 years,
2022,77.7,Aged 12 to 17 years,
