Year,Géographie,Groupe d'âge et type de famille,Statistiques,GeoCode,Value
1999,,,,,63.6
2005,,,,,65.1
2012,,,,,65.3
2016,,,,,66.6
2019,,,,,67.1
1999,Canada,Personnes de tous âge et types de familles,Personnes en situation de résilience des actifs pour au moins 1 mois,,74.5
1999,Canada,Personnes de tous âge et types de familles,Personnes en situation de résilience des actifs pour au moins 6 mois,,54.5
1999,Canada,Personnes de moins de 18 ans,Personnes en situation de résilience des actifs pour au moins 1 mois,,67.8
1999,Canada,Personnes de moins de 18 ans,Personnes en situation de résilience des actifs pour au moins 3 mois,,55.7
1999,Canada,Personnes de moins de 18 ans,Personnes en situation de résilience des actifs pour au moins 6 mois,,45.5
1999,Canada,Personnes de 18 à 64 ans,Personnes en situation de résilience des actifs pour au moins 1 mois,,75.3
1999,Canada,Personnes de 18 à 64 ans,Personnes en situation de résilience des actifs pour au moins 3 mois,,64.0
1999,Canada,Personnes de 18 à 64 ans,Personnes en situation de résilience des actifs pour au moins 6 mois,,55.0
1999,Canada,Personnes de 65 ans et plus,Personnes en situation de résilience des actifs pour au moins 1 mois,,83.7
1999,Canada,Personnes de 65 ans et plus,Personnes en situation de résilience des actifs pour au moins 3 mois,,76.6
1999,Canada,Personnes de 65 ans et plus,Personnes en situation de résilience des actifs pour au moins 6 mois,,69.9
1999,Canada,Personnes dans une famille économique,Personnes en situation de résilience des actifs pour au moins 1 mois,,75.4
1999,Canada,Personnes dans une famille économique,Personnes en situation de résilience des actifs pour au moins 3 mois,,64.6
1999,Canada,Personnes dans une famille économique,Personnes en situation de résilience des actifs pour au moins 6 mois,,55.4
1999,Canada,Personnes dans une famille ayant un couple seulement,Personnes en situation de résilience des actifs pour au moins 1 mois,,83.8
1999,Canada,Personnes dans une famille ayant un couple seulement,Personnes en situation de résilience des actifs pour au moins 3 mois,,76.4
1999,Canada,Personnes dans une famille ayant un couple seulement,Personnes en situation de résilience des actifs pour au moins 6 mois,,69.2
1999,Canada,Personnes dans une famille ayant un couple avec enfant,Personnes en situation de résilience des actifs pour au moins 1 mois,,74.8
1999,Canada,Personnes dans une famille ayant un couple avec enfant,Personnes en situation de résilience des actifs pour au moins 3 mois,,61.7
1999,Canada,Personnes dans une famille ayant un couple avec enfant,Personnes en situation de résilience des actifs pour au moins 6 mois,,50.6
1999,Canada,Personnes dans une famille monoparentale,Personnes en situation de résilience des actifs pour au moins 1 mois,,39.7
1999,Canada,Personnes dans une famille monoparentale,Personnes en situation de résilience des actifs pour au moins 3 mois,,30.1
1999,Canada,Personnes dans une famille monoparentale,Personnes en situation de résilience des actifs pour au moins 6 mois,,24.1
1999,Canada,Personnes dans un autre type de famille économique,Personnes en situation de résilience des actifs pour au moins 1 mois,,80.1
1999,Canada,Personnes dans un autre type de famille économique,Personnes en situation de résilience des actifs pour au moins 3 mois,,70.6
1999,Canada,Personnes dans un autre type de famille économique,Personnes en situation de résilience des actifs pour au moins 6 mois,,63.0
1999,Canada,Personnes hors famille économique,Personnes en situation de résilience des actifs pour au moins 1 mois,,69.0
