Year,Âge,Génération,Type de ménage,Statut de propriété,Quintile de revenu,Source principale de revenu du ménage,Value
2015 Q4,,,,,,,178.2
2016 Q4,,,,,,,187.1
2017 Q4,,,,,,,187.3
2018 Q4,,,,,,,188.7
2019 Q4,,,,,,,187.7
2020 Q4,,,,,,,175.2
2021 Q4,,,,,,,181.2
2022 Q4,,,,,,,177.8
2023 Q4,,,,,,,174.6
2015 Q4,Moins de 35 ans,,,,,,204.1
2015 Q4,35 à 44 ans,,,,,,245.0
2015 Q4,45 à 54 ans,,,,,,201.9
2015 Q4,55 à 64 ans,,,,,,165.4
2015 Q4,65 ans et plus,,,,,,69.7
2016 Q4,Moins de 35 ans,,,,,,209.3
2016 Q4,35 à 44 ans,,,,,,250.0
2016 Q4,45 à 54 ans,,,,,,219.1
2016 Q4,55 à 64 ans,,,,,,180.9
2016 Q4,65 ans et plus,,,,,,74.1
2017 Q4,Moins de 35 ans,,,,,,206.9
2017 Q4,35 à 44 ans,,,,,,244.4
2017 Q4,45 à 54 ans,,,,,,222.6
2017 Q4,55 à 64 ans,,,,,,185.0
2017 Q4,65 ans et plus,,,,,,75.7
2018 Q4,Moins de 35 ans,,,,,,202.6
2018 Q4,35 à 44 ans,,,,,,252.7
2018 Q4,45 à 54 ans,,,,,,235.8
2018 Q4,55 à 64 ans,,,,,,177.4
2018 Q4,65 ans et plus,,,,,,74.4
2019 Q4,Moins de 35 ans,,,,,,199.7
2019 Q4,35 à 44 ans,,,,,,258.5
2019 Q4,45 à 54 ans,,,,,,243.3
2019 Q4,55 à 64 ans,,,,,,168.3
2019 Q4,65 ans et plus,,,,,,71.3
2020 Q4,Moins de 35 ans,,,,,,182.5
2020 Q4,35 à 44 ans,,,,,,237.5
2020 Q4,45 à 54 ans,,,,,,223.4
2020 Q4,55 à 64 ans,,,,,,157.6
2020 Q4,65 ans et plus,,,,,,70.2
2021 Q4,Moins de 35 ans,,,,,,183.1
2021 Q4,35 à 44 ans,,,,,,246.9
2021 Q4,45 à 54 ans,,,,,,229.8
2021 Q4,55 à 64 ans,,,,,,160.4
2021 Q4,65 ans et plus,,,,,,74.5
2022 Q4,Moins de 35 ans,,,,,,176.9
2022 Q4,35 à 44 ans,,,,,,247.2
2022 Q4,45 à 54 ans,,,,,,226.7
2022 Q4,55 à 64 ans,,,,,,157.3
2022 Q4,65 ans et plus,,,,,,71.3
2023 Q4,Moins de 35 ans,,,,,,162.0
2023 Q4,35 à 44 ans,,,,,,248.1
2023 Q4,45 à 54 ans,,,,,,227.2
2023 Q4,55 à 64 ans,,,,,,160.6
2023 Q4,65 ans et plus,,,,,,70.3
2015 Q4,,Avant 1946,,,,,58.8
2015 Q4,,Baby-boom,,,,,162.4
2015 Q4,,Génération X,,,,,230.9
2015 Q4,,Milléniaux,,,,,198.1
2016 Q4,,Avant 1946,,,,,57.2
2016 Q4,,Baby-boom,,,,,168.8
2016 Q4,,Génération X,,,,,245.5
2016 Q4,,Milléniaux,,,,,204.7
2017 Q4,,Avant 1946,,,,,54.2
2017 Q4,,Baby-boom,,,,,166.6
2017 Q4,,Génération X,,,,,243.6
2017 Q4,,Milléniaux,,,,,205.3
2018 Q4,,Avant 1946,,,,,45.2
2018 Q4,,Baby-boom,,,,,161.0
2018 Q4,,Génération X,,,,,249.7
2018 Q4,,Milléniaux,,,,,206.7
2019 Q4,,Avant 1946,,,,,40.7
2019 Q4,,Baby-boom,,,,,149.2
2019 Q4,,Génération X,,,,,244.9
2019 Q4,,Milléniaux,,,,,216.9
2020 Q4,,Avant 1946,,,,,29.2
2020 Q4,,Baby-boom,,,,,129.2
2020 Q4,,Génération X,,,,,234.8
2020 Q4,,Milléniaux,,,,,194.4
2021 Q4,,Avant 1946,,,,,20.6
2021 Q4,,Baby-boom,,,,,109.4
2021 Q4,,Génération X,,,,,246.6
2021 Q4,,Milléniaux,,,,,216.9
2022 Q4,,Avant 1946,,,,,5.7
2022 Q4,,Baby-boom,,,,,82.5
2022 Q4,,Génération X,,,,,246.1
2022 Q4,,Milléniaux,,,,,237.4
2023 Q4,,Avant 1946,,,,,6.1
2023 Q4,,Baby-boom,,,,,82.4
2023 Q4,,Génération X,,,,,240.1
2023 Q4,,Milléniaux,,,,,224.4
2015 Q4,,,Ménages d'une personne,,,,143.4
2015 Q4,,,de plus d'une personne,,,,184.3
2016 Q4,,,Ménages d'une personne,,,,150.4
2016 Q4,,,de plus d'une personne,,,,193.6
2017 Q4,,,Ménages d'une personne,,,,152.3
2017 Q4,,,de plus d'une personne,,,,193.4
2018 Q4,,,Ménages d'une personne,,,,153.6
2018 Q4,,,de plus d'une personne,,,,194.9
2019 Q4,,,Ménages d'une personne,,,,152.0
2019 Q4,,,de plus d'une personne,,,,194.0
2020 Q4,,,Ménages d'une personne,,,,139.3
2020 Q4,,,de plus d'une personne,,,,181.6
2021 Q4,,,Ménages d'une personne,,,,144.4
2021 Q4,,,de plus d'une personne,,,,187.6
2022 Q4,,,Ménages d'une personne,,,,135.6
2022 Q4,,,de plus d'une personne,,,,185.6
2023 Q4,,,Ménages d'une personne,,,,147.1
2023 Q4,,,de plus d'une personne,,,,179.2
2015 Q4,,,,Propriétaire,,,208.3
2015 Q4,,,,Propriétaire avec hypothèque,,,296.1
2015 Q4,,,,Propriétaire sans hypothèque,,,82.9
