Year,Géographie,Type de famille économique,GeoCode,Value
2015,,,,66700.0
2016,,,,66600.0
2017,,,,68300.0
2018,,,,68500.0
2019,,,,68800.0
2020,,,,73700.0
2021,,,,73000.0
2022,,,,70500.0
2015,Canada,Familles économiques,,92400.0
2015,Canada,Familles de personnes âgées,,68900.0
2015,Canada,Couples de personnes âgées,,67200.0
2015,Canada,Autres familles de personnes âgées,,76200.0
2015,Canada,Familles de personnes non âgées,,99100.0
2015,Canada,Couples,,89400.0
2015,Canada,Couples avec des enfants,,112800.0
2015,Canada,Couples avec d'autres personnes apparentées,,137100.0
2015,Canada,Familles monoparentales,,54200.0
2015,Canada,Familles monoparentales ayant un homme à leur tête,,68900.0
2015,Canada,Familles monoparentales ayant une femme à leur tête,,50900.0
2015,Canada,Autres familles de personnes non âgées,,80800.0
2015,Canada,Personnes hors famille économique,,33800.0
2015,Canada,Personnes âgées hors famille économique,,31500.0
2015,Canada,Hommes âgés hors famille économique,,32600.0
2015,Canada,Femmes âgées hors famille économique,,30800.0
2015,Canada,Personnes non âgées hors famille économique,,35200.0
2015,Canada,Hommes non âgés hors famille économique,,38100.0
2015,Canada,Femmes non âgées hors famille économique,,31300.0
2015,Provinces de l'Atlantique,Familles économiques et personnes hors famille économique,,59900.0
2015,Provinces de l'Atlantique,Familles économiques,,82300.0
2015,Provinces de l'Atlantique,Familles de personnes âgées,,58700.0
2015,Provinces de l'Atlantique,Couples de personnes âgées,,57900.0
2015,Provinces de l'Atlantique,Autres familles de personnes âgées,,62500.0
2015,Provinces de l'Atlantique,Familles de personnes non âgées,,91200.0
2015,Provinces de l'Atlantique,Couples,,81000.0
2015,Provinces de l'Atlantique,Couples avec des enfants,,107700.0
2015,Provinces de l'Atlantique,Couples avec d'autres personnes apparentées,,122600.0
2015,Provinces de l'Atlantique,Familles monoparentales,,45900.0
2015,Provinces de l'Atlantique,Familles monoparentales ayant un homme à leur tête,,55800.0
2015,Provinces de l'Atlantique,Familles monoparentales ayant une femme à leur tête,,44500.0
2015,Provinces de l'Atlantique,Autres familles de personnes non âgées,,67800.0
2015,Provinces de l'Atlantique,Personnes hors famille économique,,28800.0
2015,Provinces de l'Atlantique,Personnes âgées hors famille économique,,28000.0
2015,Provinces de l'Atlantique,Hommes âgés hors famille économique,,31100.0
2015,Provinces de l'Atlantique,Femmes âgées hors famille économique,,26900.0
2015,Provinces de l'Atlantique,Personnes non âgées hors famille économique,,29500.0
2015,Provinces de l'Atlantique,Hommes non âgés hors famille économique,,31600.0
2015,Provinces de l'Atlantique,Femmes non âgées hors famille économique,,28200.0
2015,Terre-Neuve-et-Labrador,Familles économiques et personnes hors famille économique,10,64400.0
2015,Terre-Neuve-et-Labrador,Familles économiques,10,91000.0
2015,Terre-Neuve-et-Labrador,Familles de personnes âgées,10,50100.0
2015,Terre-Neuve-et-Labrador,Couples de personnes âgées,10,47800.0
2015,Terre-Neuve-et-Labrador,Autres familles de personnes âgées,10,65300.0
2015,Terre-Neuve-et-Labrador,Familles de personnes non âgées,10,102600.0
2015,Terre-Neuve-et-Labrador,Couples,10,84700.0
2015,Terre-Neuve-et-Labrador,Couples avec des enfants,10,115800.0
2015,Terre-Neuve-et-Labrador,Couples avec d'autres personnes apparentées,10,150700.0
2015,Terre-Neuve-et-Labrador,Familles monoparentales,10,40000.0
2015,Terre-Neuve-et-Labrador,Familles monoparentales ayant un homme à leur tête,10,
2015,Terre-Neuve-et-Labrador,Familles monoparentales ayant une femme à leur tête,10,34900.0
2015,Terre-Neuve-et-Labrador,Autres familles de personnes non âgées,10,81800.0
2015,Terre-Neuve-et-Labrador,Personnes hors famille économique,10,27200.0
2015,Terre-Neuve-et-Labrador,Personnes âgées hors famille économique,10,26300.0
2015,Terre-Neuve-et-Labrador,Hommes âgés hors famille économique,10,30500.0
2015,Terre-Neuve-et-Labrador,Femmes âgées hors famille économique,10,24700.0
2015,Terre-Neuve-et-Labrador,Personnes non âgées hors famille économique,10,28200.0
2015,Terre-Neuve-et-Labrador,Hommes non âgés hors famille économique,10,31800.0
2015,Terre-Neuve-et-Labrador,Femmes non âgées hors famille économique,10,25100.0
2015,Île-du-Prince-Édouard,Familles économiques et personnes hors famille économique,11,61400.0
2015,Île-du-Prince-Édouard,Familles économiques,11,79200.0
2015,Île-du-Prince-Édouard,Familles de personnes âgées,11,64100.0
2015,Île-du-Prince-Édouard,Couples de personnes âgées,11,63600.0
2015,Île-du-Prince-Édouard,Autres familles de personnes âgées,11,66900.0
2015,Île-du-Prince-Édouard,Familles de personnes non âgées,11,85300.0
2015,Île-du-Prince-Édouard,Couples,11,75100.0
2015,Île-du-Prince-Édouard,Couples avec des enfants,11,98400.0
2015,Île-du-Prince-Édouard,Couples avec d'autres personnes apparentées,11,115800.0
2015,Île-du-Prince-Édouard,Familles monoparentales,11,44700.0
2015,Île-du-Prince-Édouard,Familles monoparentales ayant un homme à leur tête,11,
2015,Île-du-Prince-Édouard,Familles monoparentales ayant une femme à leur tête,11,44700.0
2015,Île-du-Prince-Édouard,Autres familles de personnes non âgées,11,
2015,Île-du-Prince-Édouard,Personnes hors famille économique,11,29900.0
2015,Île-du-Prince-Édouard,Personnes âgées hors famille économique,11,28600.0
2015,Île-du-Prince-Édouard,Hommes âgés hors famille économique,11,30400.0
2015,Île-du-Prince-Édouard,Femmes âgées hors famille économique,11,27500.0
2015,Île-du-Prince-Édouard,Personnes non âgées hors famille économique,11,30500.0
2015,Île-du-Prince-Édouard,Hommes non âgés hors famille économique,11,31600.0
2015,Île-du-Prince-Édouard,Femmes non âgées hors famille économique,11,27500.0
2015,Nouvelle-Écosse,Familles économiques et personnes hors famille économique,12,57000.0
2015,Nouvelle-Écosse,Familles économiques,12,82100.0
2015,Nouvelle-Écosse,Familles de personnes âgées,12,61400.0
2015,Nouvelle-Écosse,Couples de personnes âgées,12,59300.0
2015,Nouvelle-Écosse,Autres familles de personnes âgées,12,68400.0
2015,Nouvelle-Écosse,Familles de personnes non âgées,12,88100.0
2015,Nouvelle-Écosse,Couples,12,79200.0
2015,Nouvelle-Écosse,Couples avec des enfants,12,106000.0
2015,Nouvelle-Écosse,Couples avec d'autres personnes apparentées,12,122600.0
2015,Nouvelle-Écosse,Familles monoparentales,12,45700.0
2015,Nouvelle-Écosse,Familles monoparentales ayant un homme à leur tête,12,
2015,Nouvelle-Écosse,Familles monoparentales ayant une femme à leur tête,12,45700.0
2015,Nouvelle-Écosse,Autres familles de personnes non âgées,12,72000.0
2015,Nouvelle-Écosse,Personnes hors famille économique,12,29700.0
2015,Nouvelle-Écosse,Personnes âgées hors famille économique,12,28500.0
2015,Nouvelle-Écosse,Hommes âgés hors famille économique,12,30700.0
2015,Nouvelle-Écosse,Femmes âgées hors famille économique,12,28000.0
2015,Nouvelle-Écosse,Personnes non âgées hors famille économique,12,30900.0
2015,Nouvelle-Écosse,Hommes non âgés hors famille économique,12,32400.0
2015,Nouvelle-Écosse,Femmes non âgées hors famille économique,12,28200.0
2015,Nouveau-Brunswick,Familles économiques et personnes hors famille économique,13,60000.0
2015,Nouveau-Brunswick,Familles économiques,13,79400.0
2015,Nouveau-Brunswick,Familles de personnes âgées,13,60200.0
2015,Nouveau-Brunswick,Couples de personnes âgées,13,61200.0
2015,Nouveau-Brunswick,Autres familles de personnes âgées,13,51300.0
2015,Nouveau-Brunswick,Familles de personnes non âgées,13,87200.0
2015,Nouveau-Brunswick,Couples,13,80400.0
2015,Nouveau-Brunswick,Couples avec des enfants,13,100700.0
2015,Nouveau-Brunswick,Couples avec d'autres personnes apparentées,13,104400.0
2015,Nouveau-Brunswick,Familles monoparentales,13,52500.0
2015,Nouveau-Brunswick,Familles monoparentales ayant un homme à leur tête,13,
2015,Nouveau-Brunswick,Familles monoparentales ayant une femme à leur tête,13,46700.0
2015,Nouveau-Brunswick,Autres familles de personnes non âgées,13,58600.0
2015,Nouveau-Brunswick,Personnes hors famille économique,13,29000.0
2015,Nouveau-Brunswick,Personnes âgées hors famille économique,13,28600.0
2015,Nouveau-Brunswick,Hommes âgés hors famille économique,13,32000.0
2015,Nouveau-Brunswick,Femmes âgées hors famille économique,13,26500.0
2015,Nouveau-Brunswick,Personnes non âgées hors famille économique,13,29000.0
2015,Nouveau-Brunswick,Hommes non âgés hors famille économique,13,29900.0
2015,Nouveau-Brunswick,Femmes non âgées hors famille économique,13,28600.0
2015,Québec,Familles économiques et personnes hors famille économique,24,57700.0
2015,Québec,Familles économiques,24,82400.0
2015,Québec,Familles de personnes âgées,24,60200.0
2015,Québec,Couples de personnes âgées,24,59100.0
2015,Québec,Autres familles de personnes âgées,24,67400.0
2015,Québec,Familles de personnes non âgées,24,88400.0
2015,Québec,Couples,24,79200.0
2015,Québec,Couples avec des enfants,24,103100.0
2015,Québec,Couples avec d'autres personnes apparentées,24,113900.0
2015,Québec,Familles monoparentales,24,57000.0
2015,Québec,Familles monoparentales ayant un homme à leur tête,24,73100.0
2015,Québec,Familles monoparentales ayant une femme à leur tête,24,55000.0
2015,Québec,Autres familles de personnes non âgées,24,77500.0
2015,Québec,Personnes hors famille économique,24,32100.0
2015,Québec,Personnes âgées hors famille économique,24,29400.0
2015,Québec,Hommes âgés hors famille économique,24,29400.0
2015,Québec,Femmes âgées hors famille économique,24,29500.0
2015,Québec,Personnes non âgées hors famille économique,24,34400.0
2015,Québec,Hommes non âgés hors famille économique,24,36300.0
2015,Québec,Femmes non âgées hors famille économique,24,31600.0
2015,Ontario,Familles économiques et personnes hors famille économique,35,69700.0
