Year,Series,Units,Value
2016,Nombre d'usagers des refuges en situation d'itinérance chronique,Nombre,26866.0
2017,Nombre d'usagers des refuges en situation d'itinérance chronique,Nombre,28900.0
2018,Nombre d'usagers des refuges en situation d'itinérance chronique,Nombre,27289.0
2019,Nombre d'usagers des refuges en situation d'itinérance chronique,Nombre,29927.0
2020,Nombre d'usagers des refuges en situation d'itinérance chronique,Nombre,28004.0
2021,Nombre d'usagers des refuges en situation d'itinérance chronique,Nombre,28631.0
2022,Nombre d'usagers des refuges en situation d'itinérance chronique,Nombre,31476.0
2017,Changement en pourcentage du nombre d'usagers des refuges en situation d'itinérance chronique par rapport au niveau de référence de 2016,Pourcentage,7.57
2018,Changement en pourcentage du nombre d'usagers des refuges en situation d'itinérance chronique par rapport au niveau de référence de 2016,Pourcentage,1.57
2019,Changement en pourcentage du nombre d'usagers des refuges en situation d'itinérance chronique par rapport au niveau de référence de 2016,Pourcentage,11.39
2020,Changement en pourcentage du nombre d'usagers des refuges en situation d'itinérance chronique par rapport au niveau de référence de 2016,Pourcentage,4.24
2021,Changement en pourcentage du nombre d'usagers des refuges en situation d'itinérance chronique par rapport au niveau de référence de 2016,Pourcentage,6.57
2022,Changement en pourcentage du nombre d'usagers des refuges en situation d'itinérance chronique par rapport au niveau de référence de 2016,Pourcentage,17.16
