Year,Géographie,Situation géographique,Régions métropolitaines de recensement sélectionnées,Mode d'occupation,GeoCode,Value
2018,,,,,,11.3
2021,,,,,,9.8
2018,Canada,Canada,,Propriétaire,,6.1
2018,Canada,Canada,,Propriétaire qui est un accédant à la propriété,,6.4
2018,Canada,Canada,,Propriétaire qui n'est pas un accédant à la propriété,,6.1
2018,Canada,Canada,,Locataire,,22.0
2018,Canada,Canada,,Locataire n'habitant pas dans un logement social et abordable,,21.0
2018,Canada,Canada,,Locataire habitant dans un logement social et abordable,,32.0
2021,Canada,Canada,,Propriétaire,,5.1
2021,Canada,Canada,,Propriétaire qui est un accédant à la propriété,,4.1
2021,Canada,Canada,,Propriétaire qui n'est pas un accédant à la propriété,,5.3
2021,Canada,Canada,,Locataire,,19.7
2021,Canada,Canada,,Locataire n'habitant pas dans un logement social et abordable,,18.7
2021,Canada,Canada,,Locataire habitant dans un logement social et abordable,,27.0
2018,Terre-Neuve-et-Labrador,Provinces et territoires,,"Total, mode d'occupation",10,8.9
2018,Terre-Neuve-et-Labrador,Provinces et territoires,,Propriétaire,10,4.4
2018,Terre-Neuve-et-Labrador,Provinces et territoires,,Propriétaire qui n'est pas un accédant à la propriété,10,4.7
2018,Terre-Neuve-et-Labrador,Provinces et territoires,,Locataire,10,26.0
2018,Terre-Neuve-et-Labrador,Provinces et territoires,,Locataire n'habitant pas dans un logement social et abordable,10,23.0
2018,Terre-Neuve-et-Labrador,Provinces et territoires,,Locataire habitant dans un logement social et abordable,10,38.0
2018,Île-du-Prince-Édouard,Provinces et territoires,,"Total, mode d'occupation",11,8.9
2018,Île-du-Prince-Édouard,Provinces et territoires,,Propriétaire,11,6.9
2018,Île-du-Prince-Édouard,Provinces et territoires,,Propriétaire qui est un accédant à la propriété,11,4.8
2018,Île-du-Prince-Édouard,Provinces et territoires,,Propriétaire qui n'est pas un accédant à la propriété,11,7.1
2018,Île-du-Prince-Édouard,Provinces et territoires,,Locataire,11,13.8
2018,Île-du-Prince-Édouard,Provinces et territoires,,Locataire n'habitant pas dans un logement social et abordable,11,12.2
2018,Île-du-Prince-Édouard,Provinces et territoires,,Locataire habitant dans un logement social et abordable,11,23.0
