Year,data.Geography,Value
2016,data.Newfoundland and Labrador,26.7
2016,"data.St. John's, Newfoundland and Labrador",59.9
2016,data.Prince Edward Island,16.9
2016,data.Nova Scotia,37.6
2016,"data.Halifax, Nova Scotia",70.9
2016,data.New Brunswick,28.8
2016,"data.Moncton, New Brunswick",65.4
2016,"data.Saint John, New Brunswick",49.1
2016,data.Quebec,66.6
2016,"data.Montréal, Quebec",91.6
2016,"data.Ottawa - Gatineau (Quebec part), Quebec",77.2
2016,"data.Québec, Quebec",83.1
2016,"data.Saguenay, Quebec",75.4
2016,"data.Sherbrooke, Quebec",76.4
2016,"data.Trois-Rivières, Quebec",75.4
2016,data.Ontario,75.2
2016,"data.Barrie, Ontario",66.8
2016,"data.Belleville, Ontario",57.1
2016,"data.Brantford, Ontario",69.6
2016,"data.Greater Sudbury / Grand Sudbury, Ontario",66.5
2016,"data.Guelph, Ontario",83.5
2016,"data.Hamilton, Ontario",81.1
2016,"data.Kingston, Ontario",69.4
2016,"data.Kitchener - Cambridge - Waterloo, Ontario",86.2
2016,"data.London, Ontario",77.7
2016,"data.Oshawa, Ontario",88.7
2016,"data.Ottawa - Gatineau (Ontario part), Ontario",85.0
2016,"data.Peterborough, Ontario",62.7
2016,"data.St. Catharines - Niagara, Ontario",80.9
2016,"data.Thunder Bay, Ontario",76.3
2016,"data.Toronto, Ontario",93.0
2016,"data.Windsor, Ontario",67.1
2016,data.Manitoba,57.4
2016,"data.Winnipeg, Manitoba",88.2
2016,data.Saskatchewan,50.3
2016,"data.Regina, Saskatchewan",90.4
2016,"data.Saskatoon, Saskatchewan",82.6
2016,data.Alberta,67.9
2016,"data.Calgary, Alberta",88.9
2016,"data.Edmonton, Alberta",82.7
2016,"data.Lethbridge, Alberta",71.6
2016,data.British Columbia,78.4
2016,"data.Abbotsford - Mission, British Columbia",79.3
2016,"data.Kelowna, British Columbia",73.7
2016,"data.Vancouver, British Columbia",92.7
2016,"data.Victoria, British Columbia",90.4
2016,data.Yukon,56.3
2016,data.Northwest Territories,41.4
2016,data.Nunavut,0.0
