Year,Géographie,Sources des déchets à des fins d'élimination,GeoCode,Value
2002,,,,767.9
2004,,,,789.8
2006,,,,811.1
2008,,,,779.8
2010,,,,733.8
2012,,,,711.0
2014,,,,698.9
2016,,,,690.7
2018,,,,694.3
2020,,,,686.9
2002,Canada,Sources de déchets non résidentielles à des fins d'élimination,,269.3
2002,Canada,Sources de déchets résidentielles à des fins d'élimination,,498.6
2002,Terre-Neuve-et-Labrador,Toutes les sources de déchets à des fins d'élimination,10,724.9
2002,Terre-Neuve-et-Labrador,Sources de déchets non résidentielles à des fins d'élimination,10,416.2
2002,Terre-Neuve-et-Labrador,Sources de déchets résidentielles à des fins d'élimination,10,308.7
2002,Île-du-Prince-Édouard,Toutes les sources de déchets à des fins d'élimination,11,
2002,Île-du-Prince-Édouard,Sources de déchets non résidentielles à des fins d'élimination,11,
2002,Île-du-Prince-Édouard,Sources de déchets résidentielles à des fins d'élimination,11,
2002,Nouvelle-Écosse,Toutes les sources de déchets à des fins d'élimination,12,416.2
2002,Nouvelle-Écosse,Sources de déchets non résidentielles à des fins d'élimination,12,181.4
2002,Nouvelle-Écosse,Sources de déchets résidentielles à des fins d'élimination,12,234.8
2002,Nouveau-Brunswick,Toutes les sources de déchets à des fins d'élimination,13,551.9
2002,Nouveau-Brunswick,Sources de déchets non résidentielles à des fins d'élimination,13,271.6
2002,Nouveau-Brunswick,Sources de déchets résidentielles à des fins d'élimination,13,280.4
2002,Québec,Toutes les sources de déchets à des fins d'élimination,24,785.6
2002,Québec,Sources de déchets non résidentielles à des fins d'élimination,24,252.0
2002,Québec,Sources de déchets résidentielles à des fins d'élimination,24,533.6
2002,Ontario,Toutes les sources de déchets à des fins d'élimination,35,797.5
2002,Ontario,Sources de déchets non résidentielles à des fins d'élimination,35,284.3
2002,Ontario,Sources de déchets résidentielles à des fins d'élimination,35,513.2
2002,Manitoba,Toutes les sources de déchets à des fins d'élimination,46,775.1
2002,Manitoba,Sources de déchets non résidentielles à des fins d'élimination,46,356.7
2002,Manitoba,Sources de déchets résidentielles à des fins d'élimination,46,418.4
2002,Saskatchewan,Toutes les sources de déchets à des fins d'élimination,47,797.7
