Year,Géographie,Groupe d'âge,Sexe,GeoCode,Value
2015,,,,,68.0
2016,,,,,68.8
2017,,,,,69.4
2018,,,,,68.4
2019,,,,,69.7
2020,,,,,70.2
2021,,,,,69.5
2022,,,,,64.5
2015,Canada,"Total, 12 ans et plus",Hommes,,67.5
2015,Canada,"Total, 12 ans et plus",Femmes,,68.4
2015,Canada,12 à 17 ans,Les deux sexes,,83.8
2015,Canada,12 à 17 ans,Hommes,,82.5
2015,Canada,12 à 17 ans,Femmes,,85.2
2015,Canada,18 à 34 ans,Les deux sexes,,62.2
2015,Canada,18 à 34 ans,Hommes,,60.5
2015,Canada,18 à 34 ans,Femmes,,63.8
2015,Canada,35 à 49 ans,Les deux sexes,,66.6
2015,Canada,35 à 49 ans,Hommes,,65.7
2015,Canada,35 à 49 ans,Femmes,,67.5
2015,Canada,50 à 64 ans,Les deux sexes,,66.7
2015,Canada,50 à 64 ans,Hommes,,67.9
2015,Canada,50 à 64 ans,Femmes,,65.4
2015,Canada,65 ans et plus,Les deux sexes,,74.3
2015,Canada,65 ans et plus,Hommes,,74.6
2015,Canada,65 ans et plus,Femmes,,73.9
2015,Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Les deux sexes,10,79.1
2015,Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Hommes,10,79.7
2015,Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Femmes,10,78.5
2015,Terre-Neuve-et-Labrador,12 à 17 ans,Les deux sexes,10,92.3
2015,Terre-Neuve-et-Labrador,12 à 17 ans,Hommes,10,90.4
2015,Terre-Neuve-et-Labrador,12 à 17 ans,Femmes,10,94.4
2015,Terre-Neuve-et-Labrador,18 à 34 ans,Les deux sexes,10,64.6
2015,Terre-Neuve-et-Labrador,18 à 34 ans,Hommes,10,58.3
2015,Terre-Neuve-et-Labrador,18 à 34 ans,Femmes,10,70.9
2015,Terre-Neuve-et-Labrador,35 à 49 ans,Les deux sexes,10,75.3
2015,Terre-Neuve-et-Labrador,35 à 49 ans,Hommes,10,78.8
2015,Terre-Neuve-et-Labrador,35 à 49 ans,Femmes,10,72.2
2015,Terre-Neuve-et-Labrador,50 à 64 ans,Les deux sexes,10,84.4
2015,Terre-Neuve-et-Labrador,50 à 64 ans,Hommes,10,87.9
2015,Terre-Neuve-et-Labrador,50 à 64 ans,Femmes,10,81.1
2015,Terre-Neuve-et-Labrador,65 ans et plus,Les deux sexes,10,88.0
2015,Terre-Neuve-et-Labrador,65 ans et plus,Hommes,10,90.8
2015,Terre-Neuve-et-Labrador,65 ans et plus,Femmes,10,85.5
2015,Île-du-Prince-Édouard,"Total, 12 ans et plus",Les deux sexes,11,77.6
2015,Île-du-Prince-Édouard,"Total, 12 ans et plus",Hommes,11,78.8
2015,Île-du-Prince-Édouard,"Total, 12 ans et plus",Femmes,11,76.5
2015,Île-du-Prince-Édouard,12 à 17 ans,Les deux sexes,11,92.6
2015,Île-du-Prince-Édouard,12 à 17 ans,Hommes,11,94.6
2015,Île-du-Prince-Édouard,12 à 17 ans,Femmes,11,90.6
2015,Île-du-Prince-Édouard,18 à 34 ans,Les deux sexes,11,78.7
2015,Île-du-Prince-Édouard,18 à 34 ans,Hommes,11,74.9
2015,Île-du-Prince-Édouard,18 à 34 ans,Femmes,11,82.6
2015,Île-du-Prince-Édouard,35 à 49 ans,Les deux sexes,11,71.7
2015,Île-du-Prince-Édouard,35 à 49 ans,Hommes,11,77.0
2015,Île-du-Prince-Édouard,35 à 49 ans,Femmes,11,66.7
2015,Île-du-Prince-Édouard,50 à 64 ans,Les deux sexes,11,72.4
2015,Île-du-Prince-Édouard,50 à 64 ans,Hommes,11,74.8
2015,Île-du-Prince-Édouard,50 à 64 ans,Femmes,11,69.9
2015,Île-du-Prince-Édouard,65 ans et plus,Les deux sexes,11,84.4
2015,Île-du-Prince-Édouard,65 ans et plus,Hommes,11,85.4
2015,Île-du-Prince-Édouard,65 ans et plus,Femmes,11,83.6
2015,Nouvelle-Écosse,"Total, 12 ans et plus",Les deux sexes,12,76.4
2015,Nouvelle-Écosse,"Total, 12 ans et plus",Hommes,12,75.2
2015,Nouvelle-Écosse,"Total, 12 ans et plus",Femmes,12,77.6
2015,Nouvelle-Écosse,12 à 17 ans,Les deux sexes,12,86.7
2015,Nouvelle-Écosse,12 à 17 ans,Hommes,12,86.8
2015,Nouvelle-Écosse,12 à 17 ans,Femmes,12,86.7
2015,Nouvelle-Écosse,18 à 34 ans,Les deux sexes,12,66.7
2015,Nouvelle-Écosse,18 à 34 ans,Hommes,12,68.6
2015,Nouvelle-Écosse,18 à 34 ans,Femmes,12,64.9
2015,Nouvelle-Écosse,35 à 49 ans,Les deux sexes,12,73.7
2015,Nouvelle-Écosse,35 à 49 ans,Hommes,12,69.1
2015,Nouvelle-Écosse,35 à 49 ans,Femmes,12,77.9
2015,Nouvelle-Écosse,50 à 64 ans,Les deux sexes,12,80.4
2015,Nouvelle-Écosse,50 à 64 ans,Hommes,12,77.8
2015,Nouvelle-Écosse,50 à 64 ans,Femmes,12,82.6
2015,Nouvelle-Écosse,65 ans et plus,Les deux sexes,12,82.3
2015,Nouvelle-Écosse,65 ans et plus,Hommes,12,83.0
2015,Nouvelle-Écosse,65 ans et plus,Femmes,12,81.7
2015,Nouveau-Brunswick,"Total, 12 ans et plus",Les deux sexes,13,70.9
2015,Nouveau-Brunswick,"Total, 12 ans et plus",Hommes,13,71.4
2015,Nouveau-Brunswick,"Total, 12 ans et plus",Femmes,13,70.6
2015,Nouveau-Brunswick,12 à 17 ans,Les deux sexes,13,87.2
2015,Nouveau-Brunswick,12 à 17 ans,Hommes,13,84.9
2015,Nouveau-Brunswick,12 à 17 ans,Femmes,13,89.7
2015,Nouveau-Brunswick,18 à 34 ans,Les deux sexes,13,66.9
2015,Nouveau-Brunswick,18 à 34 ans,Hommes,13,70.6
2015,Nouveau-Brunswick,18 à 34 ans,Femmes,13,63.2
2015,Nouveau-Brunswick,35 à 49 ans,Les deux sexes,13,64.3
2015,Nouveau-Brunswick,35 à 49 ans,Hommes,13,60.5
2015,Nouveau-Brunswick,35 à 49 ans,Femmes,13,67.7
2015,Nouveau-Brunswick,50 à 64 ans,Les deux sexes,13,71.5
2015,Nouveau-Brunswick,50 à 64 ans,Hommes,13,72.7
2015,Nouveau-Brunswick,50 à 64 ans,Femmes,13,70.3
2015,Nouveau-Brunswick,65 ans et plus,Les deux sexes,13,76.3
2015,Nouveau-Brunswick,65 ans et plus,Hommes,13,77.7
2015,Nouveau-Brunswick,65 ans et plus,Femmes,13,75.2
2015,Québec,"Total, 12 ans et plus",Les deux sexes,24,57.9
2015,Québec,"Total, 12 ans et plus",Hommes,24,58.7
2015,Québec,"Total, 12 ans et plus",Femmes,24,57.2
2015,Québec,12 à 17 ans,Les deux sexes,24,80.2
2015,Québec,12 à 17 ans,Hommes,24,82.9
2015,Québec,12 à 17 ans,Femmes,24,77.4
2015,Québec,18 à 34 ans,Les deux sexes,24,54.7
2015,Québec,18 à 34 ans,Hommes,24,53.4
2015,Québec,18 à 34 ans,Femmes,24,56.1
2015,Québec,35 à 49 ans,Les deux sexes,24,53.3
2015,Québec,35 à 49 ans,Hommes,24,55.1
2015,Québec,35 à 49 ans,Femmes,24,51.3
2015,Québec,50 à 64 ans,Les deux sexes,24,54.7
2015,Québec,50 à 64 ans,Hommes,24,56.9
2015,Québec,50 à 64 ans,Femmes,24,52.3
2015,Québec,65 ans et plus,Les deux sexes,24,65.1
2015,Québec,65 ans et plus,Hommes,24,65.2
2015,Québec,65 ans et plus,Femmes,24,64.9
2015,Ontario,"Total, 12 ans et plus",Les deux sexes,35,70.4
2015,Ontario,"Total, 12 ans et plus",Hommes,35,69.4
2015,Ontario,"Total, 12 ans et plus",Femmes,35,71.4
2015,Ontario,12 à 17 ans,Les deux sexes,35,83.2
2015,Ontario,12 à 17 ans,Hommes,35,79.5
2015,Ontario,12 à 17 ans,Femmes,35,87.1
2015,Ontario,18 à 34 ans,Les deux sexes,35,64.6
2015,Ontario,18 à 34 ans,Hommes,35,62.6
2015,Ontario,18 à 34 ans,Femmes,35,66.6
2015,Ontario,35 à 49 ans,Les deux sexes,35,69.5
2015,Ontario,35 à 49 ans,Hommes,35,67.7
2015,Ontario,35 à 49 ans,Femmes,35,71.2
2015,Ontario,50 à 64 ans,Les deux sexes,35,69.5
2015,Ontario,50 à 64 ans,Hommes,35,70.6
2015,Ontario,50 à 64 ans,Femmes,35,68.5
2015,Ontario,65 ans et plus,Les deux sexes,35,76.9
2015,Ontario,65 ans et plus,Hommes,35,77.1
2015,Ontario,65 ans et plus,Femmes,35,76.7
