Year,Géographie,Value
2011,,0.03
2012,,0.12
2013,,0.18
2014,,0.29
2015,,0.37
2016,,0.63
2017,,0.97
2018,,2.24
2019,,2.91
2020,,3.52
2021,,5.22
2011,Colombie-Britannique et les Territoires,0.05
2012,Colombie-Britannique et les Territoires,0.16
2013,Colombie-Britannique et les Territoires,0.28
2014,Colombie-Britannique et les Territoires,0.35
2015,Colombie-Britannique et les Territoires,0.65
2016,Colombie-Britannique et les Territoires,0.94
2017,Colombie-Britannique et les Territoires,1.27
2018,Colombie-Britannique et les Territoires,3.62
2019,Colombie-Britannique et les Territoires,7.79
2020,Colombie-Britannique et les Territoires,8.4
2021,Colombie-Britannique et les Territoires,11.64
2011,Manitoba,0.01
2012,Manitoba,0.05
2013,Manitoba,0.05
2014,Manitoba,0.03
2015,Manitoba,0.06
2016,Manitoba,0.11
2017,Manitoba,0.09
2018,Manitoba,0.29
2019,Manitoba,0.56
2020,Manitoba,0.7
2021,Manitoba,1.36
2011,Nouveau-Brunswick,0.0
2012,Nouveau-Brunswick,0.02
2013,Nouveau-Brunswick,0.03
2014,Nouveau-Brunswick,0.03
2015,Nouveau-Brunswick,0.02
2016,Nouveau-Brunswick,0.08
2017,Nouveau-Brunswick,0.06
2018,Nouveau-Brunswick,0.14
2019,Nouveau-Brunswick,0.41
2020,Nouveau-Brunswick,0.53
2021,Nouveau-Brunswick,1.29
2011,Ontario,0.04
2012,Ontario,0.11
2013,Ontario,0.17
2014,Ontario,0.26
2015,Ontario,0.29
2016,Ontario,0.53
2017,Ontario,1.02
2018,Ontario,2.1
2019,Ontario,1.23
2020,Ontario,1.75
2021,Ontario,3.15
2011,Île-du-Prince-Édouard,0.0
2012,Île-du-Prince-Édouard,0.04
2013,Île-du-Prince-Édouard,0.01
2014,Île-du-Prince-Édouard,0.08
2015,Île-du-Prince-Édouard,0.0
2016,Île-du-Prince-Édouard,0.08
2017,Île-du-Prince-Édouard,0.02
2018,Île-du-Prince-Édouard,0.2
2019,Île-du-Prince-Édouard,0.62
2020,Île-du-Prince-Édouard,0.82
2021,Île-du-Prince-Édouard,2.11
2011,Québec,0.04
2012,Québec,0.23
2013,Québec,0.32
2014,Québec,0.64
2015,Québec,0.7
2016,Québec,1.15
2017,Québec,1.64
2018,Québec,3.84
2019,Québec,5.91
2020,Québec,6.81
2021,Québec,8.9
2011,Saskatchewan,0.0
2012,Saskatchewan,0.01
2013,Saskatchewan,0.03
2014,Saskatchewan,0.03
2015,Saskatchewan,0.03
2016,Saskatchewan,0.06
2017,Saskatchewan,0.06
2018,Saskatchewan,0.17
2019,Saskatchewan,0.38
2020,Saskatchewan,0.45
2021,Saskatchewan,1.07
