Year,Géographie,Source,GeoCode,Value
1990,,,,594.7222434
1991,,,,587.9057939
1992,,,,605.2902488
1993,,,,607.6810769
1994,,,,628.1458692
1995,,,,645.4537665
1996,,,,666.6981081
1997,,,,682.2979879
1998,,,,688.613931
1999,,,,701.7587117
2000,,,,726.987283
2001,,,,718.3200432
2002,,,,724.2811296
2003,,,,743.2868544
2004,,,,745.1940475
2005,,,,741.1815369
2006,,,,734.5841374
2007,,,,756.8332581
2008,,,,739.0631516
2009,,,,697.7349388
2010,,,,709.6540607
2011,,,,720.82017
2012,,,,725.585889
2013,,,,732.1623016
2014,,,,729.5997834
2015,,,,732.5350157
2016,,,,715.0937692
2017,,,,725.0139736
2018,,,,740.0054652
2019,,,,738.2834461
2020,,,,672.3538152
1990,Canada,Exploitation pétrolière et gazière,,102.6495801
1991,Canada,Exploitation pétrolière et gazière,,102.1766304
1992,Canada,Exploitation pétrolière et gazière,,110.8194415
1993,Canada,Exploitation pétrolière et gazière,,117.530525
1994,Canada,Exploitation pétrolière et gazière,,121.5134547
1995,Canada,Exploitation pétrolière et gazière,,127.6022177
1996,Canada,Exploitation pétrolière et gazière,,135.3633617
1997,Canada,Exploitation pétrolière et gazière,,136.5043613
1998,Canada,Exploitation pétrolière et gazière,,140.8595952
1999,Canada,Exploitation pétrolière et gazière,,149.9382922
2000,Canada,Exploitation pétrolière et gazière,,155.0704505
2001,Canada,Exploitation pétrolière et gazière,,156.5816327
2002,Canada,Exploitation pétrolière et gazière,,161.5356027
2003,Canada,Exploitation pétrolière et gazière,,165.918248
2004,Canada,Exploitation pétrolière et gazière,,168.2222056
2005,Canada,Exploitation pétrolière et gazière,,171.3072507
2006,Canada,Exploitation pétrolière et gazière,,178.0282075
2007,Canada,Exploitation pétrolière et gazière,,183.0219626
2008,Canada,Exploitation pétrolière et gazière,,179.9139734
2009,Canada,Exploitation pétrolière et gazière,,176.9134363
2010,Canada,Exploitation pétrolière et gazière,,181.4448064
2011,Canada,Exploitation pétrolière et gazière,,187.2113585
2012,Canada,Exploitation pétrolière et gazière,,194.1717061
2013,Canada,Exploitation pétrolière et gazière,,198.8718623
2014,Canada,Exploitation pétrolière et gazière,,204.5293982
2015,Canada,Exploitation pétrolière et gazière,,204.8055239
2016,Canada,Exploitation pétrolière et gazière,,194.3576705
2017,Canada,Exploitation pétrolière et gazière,,196.4977944
2018,Canada,Exploitation pétrolière et gazière,,205.0171409
2019,Canada,Exploitation pétrolière et gazière,,203.4835442
2020,Canada,Exploitation pétrolière et gazière,,178.7973256
1990,Canada,Électricité,,94.7207666
1991,Canada,Électricité,,96.10144237
1992,Canada,Électricité,,102.5179855
1993,Canada,Électricité,,93.12469432
1994,Canada,Électricité,,95.14994432
1995,Canada,Électricité,,98.20743051
1996,Canada,Électricité,,98.19527145
1997,Canada,Électricité,,109.4361326
1998,Canada,Électricité,,122.1154077
1999,Canada,Électricité,,119.1416014
2000,Canada,Électricité,,129.0051132
2001,Canada,Électricité,,129.2362068
2002,Canada,Électricité,,123.5631768
2003,Canada,Électricité,,127.3253464
2004,Canada,Électricité,,118.9943043
2005,Canada,Électricité,,117.5453663
2006,Canada,Électricité,,111.5860054
2007,Canada,Électricité,,119.6036885
2008,Canada,Électricité,,108.8440582
2009,Canada,Électricité,,93.73043934
2010,Canada,Électricité,,94.61971901
2011,Canada,Électricité,,86.56575805
2012,Canada,Électricité,,83.25629306
2013,Canada,Électricité,,79.69232667
2014,Canada,Électricité,,76.2783234
2015,Canada,Électricité,,79.67595639
2016,Canada,Électricité,,74.26951647
2017,Canada,Électricité,,72.63048391
2018,Canada,Électricité,,62.76442967
2019,Canada,Électricité,,61.77806665
2020,Canada,Électricité,,56.18473299
1990,Canada,Transports,,120.4834305
1991,Canada,Transports,,114.317668
1992,Canada,Transports,,115.223505
1993,Canada,Transports,,116.7058174
1994,Canada,Transports,,121.3325641
1995,Canada,Transports,,122.1418004
1996,Canada,Transports,,125.7082914
1997,Canada,Transports,,131.4605986
1998,Canada,Transports,,137.2593897
1999,Canada,Transports,,143.0017722
2000,Canada,Transports,,144.938482
2001,Canada,Transports,,146.6375671
2002,Canada,Transports,,147.7341897
2003,Canada,Transports,,151.7211185
2004,Canada,Transports,,156.104578
2005,Canada,Transports,,160.0960332
2006,Canada,Transports,,161.0473367
2007,Canada,Transports,,164.429582
2008,Canada,Transports,,164.5065626
2009,Canada,Transports,,161.5188004
2010,Canada,Transports,,167.2251646
2011,Canada,Transports,,168.3335701
2012,Canada,Transports,,170.5282893
2013,Canada,Transports,,173.9919606
2014,Canada,Transports,,171.4625906
2015,Canada,Transports,,172.0637936
2016,Canada,Transports,,173.4694044
2017,Canada,Transports,,178.9183144
2018,Canada,Transports,,184.0545352
2019,Canada,Transports,,185.4630855
2020,Canada,Transports,,159.1662993
1990,Canada,Industrie lourde,,97.2152933
1991,Canada,Industrie lourde,,97.14868287
1992,Canada,Industrie lourde,,94.63427245
1993,Canada,Industrie lourde,,94.08968317
1994,Canada,Industrie lourde,,99.67125301
1995,Canada,Industrie lourde,,100.3841244
1996,Canada,Industrie lourde,,103.212054
1997,Canada,Industrie lourde,,102.6316122
1998,Canada,Industrie lourde,,97.56494497
1999,Canada,Industrie lourde,,94.72352641
2000,Canada,Industrie lourde,,94.07612171
2001,Canada,Industrie lourde,,88.33936881
2002,Canada,Industrie lourde,,89.0458514
2003,Canada,Industrie lourde,,88.26942926
2004,Canada,Industrie lourde,,92.17255672
2005,Canada,Industrie lourde,,87.16341018
2006,Canada,Industrie lourde,,87.02021574
2007,Canada,Industrie lourde,,85.95623016
2008,Canada,Industrie lourde,,84.52502135
2009,Canada,Industrie lourde,,71.52651658
2010,Canada,Industrie lourde,,74.55151739
2011,Canada,Industrie lourde,,80.39062009
2012,Canada,Industrie lourde,,80.15849353
2013,Canada,Industrie lourde,,78.57629664
2014,Canada,Industrie lourde,,79.37230134
2015,Canada,Industrie lourde,,77.76538247
2016,Canada,Industrie lourde,,76.29465967
2017,Canada,Industrie lourde,,75.52853937
2018,Canada,Industrie lourde,,77.48983152
2019,Canada,Industrie lourde,,77.35253172
2020,Canada,Industrie lourde,,71.79603901
1990,Canada,Bâtiments,,71.24808311
1991,Canada,Bâtiments,,70.57932477
1992,Canada,Bâtiments,,72.42277422
1993,Canada,Bâtiments,,75.9780908
1994,Canada,Bâtiments,,76.29471267
1995,Canada,Bâtiments,,77.03002514
1996,Canada,Bâtiments,,83.30593192
1997,Canada,Bâtiments,,80.79680422
1998,Canada,Bâtiments,,72.43670409
1999,Canada,Bâtiments,,76.30107737
2000,Canada,Bâtiments,,82.84317147
2001,Canada,Bâtiments,,79.46297601
2002,Canada,Bâtiments,,83.81565363
2003,Canada,Bâtiments,,89.0426142
2004,Canada,Bâtiments,,87.57561972
2005,Canada,Bâtiments,,83.67010254
2006,Canada,Bâtiments,,78.45534601
2007,Canada,Bâtiments,,84.28196559
2008,Canada,Bâtiments,,84.16417455
2009,Canada,Bâtiments,,82.57544998
2010,Canada,Bâtiments,,79.43748596
2011,Canada,Bâtiments,,84.68333966
2012,Canada,Bâtiments,,83.22080597
2013,Canada,Bâtiments,,84.3096308
2014,Canada,Bâtiments,,84.86150666
2015,Canada,Bâtiments,,83.81932509
2016,Canada,Bâtiments,,82.24329454
2017,Canada,Bâtiments,,86.6318212
2018,Canada,Bâtiments,,92.94826032
2019,Canada,Bâtiments,,92.00611649
2020,Canada,Bâtiments,,87.76239075
1990,Canada,Agriculture,,51.7258374
1991,Canada,Agriculture,,52.27084889
1992,Canada,Agriculture,,54.74348272
1993,Canada,Agriculture,,56.53513364
1994,Canada,Agriculture,,59.06730545
1995,Canada,Agriculture,,62.17314862
1996,Canada,Agriculture,,63.44228067
1997,Canada,Agriculture,,63.99978862
1998,Canada,Agriculture,,63.84190686
1999,Canada,Agriculture,,63.4517655
2000,Canada,Agriculture,,64.116883
2001,Canada,Agriculture,,62.86483322
2002,Canada,Agriculture,,62.93379094
2003,Canada,Agriculture,,65.1484707
2004,Canada,Agriculture,,65.93224947
2005,Canada,Agriculture,,66.44078871
2006,Canada,Agriculture,,64.99073522
2007,Canada,Agriculture,,65.0420794
2008,Canada,Agriculture,,64.15948713
2009,Canada,Agriculture,,61.93437375
2010,Canada,Agriculture,,61.85272288
2011,Canada,Agriculture,,62.36535046
2012,Canada,Agriculture,,63.71034811
2013,Canada,Agriculture,,65.37568919
2014,Canada,Agriculture,,63.77116435
2015,Canada,Agriculture,,64.64912636
2016,Canada,Agriculture,,64.94248436
2017,Canada,Agriculture,,64.33110434
2018,Canada,Agriculture,,66.25743317
2019,Canada,Agriculture,,66.66538797
2020,Canada,Agriculture,,68.65485545
1990,Canada,Déchets et autres,,24.41654205
1991,Canada,Déchets et autres,,24.50763764
1992,Canada,Déchets et autres,,25.02314775
1993,Canada,Déchets et autres,,25.49503497
1994,Canada,Déchets et autres,,26.09264023
1995,Canada,Déchets et autres,,26.41928319
1996,Canada,Déchets et autres,,26.02444673
1997,Canada,Déchets et autres,,25.78268694
1998,Canada,Déchets et autres,,26.6679835
1999,Canada,Déchets et autres,,27.58175629
2000,Canada,Déchets et autres,,28.28368622
2001,Canada,Déchets et autres,,28.24408986
2002,Canada,Déchets et autres,,28.81395467
2003,Canada,Déchets et autres,,28.84877462
2004,Canada,Déchets et autres,,28.29571906
2005,Canada,Déchets et autres,,28.7169905
2006,Canada,Déchets et autres,,28.68229682
2007,Canada,Déchets et autres,,28.2989682
2008,Canada,Déchets et autres,,27.83325501
2009,Canada,Déchets et autres,,26.9990876
2010,Canada,Déchets et autres,,26.06832099
2011,Canada,Déchets et autres,,26.09782705
2012,Canada,Déchets et autres,,25.95333045
2013,Canada,Déchets et autres,,26.20873217
2014,Canada,Déchets et autres,,25.9470449
2015,Canada,Déchets et autres,,26.20473919
2016,Canada,Déchets et autres,,26.25691954
2017,Canada,Déchets et autres,,26.72395914
2018,Canada,Déchets et autres,,26.99110652
2019,Canada,Déchets et autres,,27.16278978
2020,Canada,Déchets et autres,,27.35899077
1990,Canada,Production de charbon,,4.025333622
1991,Canada,Production de charbon,,4.174223732
1992,Canada,Production de charbon,,3.539944463
1993,Canada,Production de charbon,,4.161430214
1994,Canada,Production de charbon,,4.158380942
1995,Canada,Production de charbon,,4.044305601
1996,Canada,Production de charbon,,4.015838772
1997,Canada,Production de charbon,,4.003621868
1998,Canada,Production de charbon,,3.490787832
1999,Canada,Production de charbon,,3.126196495
2000,Canada,Production de charbon,,3.16283823
2001,Canada,Production de charbon,,3.249434816
2002,Canada,Production de charbon,,2.866246176
2003,Canada,Production de charbon,,2.722007313
2004,Canada,Production de charbon,,2.811433169
2005,Canada,Production de charbon,,2.348234068
2006,Canada,Production de charbon,,2.30566892
2007,Canada,Production de charbon,,2.557159294
2008,Canada,Production de charbon,,2.517248128
2009,Canada,Production de charbon,,2.423234093
2010,Canada,Production de charbon,,2.762660644
2011,Canada,Production de charbon,,2.669419036
2012,Canada,Production de charbon,,2.681778008
2013,Canada,Production de charbon,,2.856909984
2014,Canada,Production de charbon,,2.381204036
2015,Canada,Production de charbon,,2.267696011
2016,Canada,Production de charbon,,2.439263034
2017,Canada,Production de charbon,,2.233062288
2018,Canada,Production de charbon,,2.545095203
2019,Canada,Production de charbon,,2.545227705
2020,Canada,Production de charbon,,2.278278866
1990,Canada,"Fabrication légère, construction et ressources forestières",,28.23737679
1991,Canada,"Fabrication légère, construction et ressources forestières",,26.62933526
1992,Canada,"Fabrication légère, construction et ressources forestières",,26.36569524
1993,Canada,"Fabrication légère, construction et ressources forestières",,24.06066742
1994,Canada,"Fabrication légère, construction et ressources forestières",,24.86561381
1995,Canada,"Fabrication légère, construction et ressources forestières",,27.45143098
1996,Canada,"Fabrication légère, construction et ressources forestières",,27.43063149
1997,Canada,"Fabrication légère, construction et ressources forestières",,27.68238153
1998,Canada,"Fabrication légère, construction et ressources forestières",,24.37721124
1999,Canada,"Fabrication légère, construction et ressources forestières",,24.49272398
2000,Canada,"Fabrication légère, construction et ressources forestières",,25.49053663
2001,Canada,"Fabrication légère, construction et ressources forestières",,23.70393382
2002,Canada,"Fabrication légère, construction et ressources forestières",,23.97266354
2003,Canada,"Fabrication légère, construction et ressources forestières",,24.29084536
