Year,data.Species group,Value
2015,,79.82
2015,data.Amphibians,63.83
2015,data.Ants,95.14
2015,data.Bee flies,50.77
2015,data.Bees,74.89
2015,data.Beetles,91.68
2015,data.Birds,79.04
2015,data.Black flies,83.05
2015,data.Bryophytes,68.7
2015,data.Corals,33.33
2015,data.Decapods,93.84
2015,data.Dragonflies and damselflies,73.63
2015,data.Fishes,82.51
2015,data.Freshwater bivalves,58.82
2015,data.Grasshoppers and relatives,76.26
2015,data.Horse flies,84.43
2015,data.Lacewings,81.82
2015,data.Macrolichens,70.98
2015,data.Mammals,71.58
2015,data.Mayflies,93.42
2015,data.Mosquitoes,98.46
2015,data.Moths and butterflies,83.01
2015,data.Non-marine snails and slugs,62.5
2015,data.Reptiles,31.82
2015,data.Sea cucumbers,100.0
2015,data.Sea urchins,95.45
2015,data.Selected macrofungi,100.0
2015,data.Spiders,89.29
2015,data.Sponges,90.91
2015,data.Stoneflies,100.0
2015,data.Vascular plants,69.92
2015,data.Yellowjacket wasps,45.12
