Year,Géographie,Minorité visible,Caractéristiques sociodémographiques,Value
2021,Canada,data.Total – Visible minority,"Total, 15 ans et plus",79.0
2021,Canada,data.Total – Visible minority,Hommes+,81.5
2021,Canada,data.Total – Visible minority,Femmes+,76.0
2021,Canada,data.Total – Visible minority,15 à 24 ans,78.0
2021,Canada,data.Total – Visible minority,25 à 64 ans,80.4
2021,Canada,data.Total – Visible minority,65 ans et plus,75.0
2021,Canada,data.Total – Visible minority,Non-immigrants,79.0
2021,Canada,data.Total – Visible minority,Immigrants,78.0
2021,Canada,Total de la population des minorités visibles,"Total, 15 ans et plus",77.0
2021,Canada,Total de la population des minorités visibles,Hommes+,79.0
2021,Canada,Total de la population des minorités visibles,Femmes+,75.0
2021,Canada,Total de la population des minorités visibles,15 à 24 ans,75.0
2021,Canada,Total de la population des minorités visibles,25 à 64 ans,78.0
2021,Canada,Total de la population des minorités visibles,65 ans et plus,78.0
2021,Canada,Total de la population des minorités visibles,Non-immigrants,72.0
2021,Canada,Total de la population des minorités visibles,Immigrants,78.0
2021,Canada,Sud-Asiatique,"Total, 15 ans et plus",81.0
2021,Canada,Sud-Asiatique,Hommes+,83.6
2021,Canada,Sud-Asiatique,Femmes+,78.0
2021,Canada,Sud-Asiatique,15 à 24 ans,80.0
2021,Canada,Sud-Asiatique,25 à 64 ans,80.5
2021,Canada,Sud-Asiatique,65 ans et plus,85.5
2021,Canada,Sud-Asiatique,Non-immigrants,71.0
2021,Canada,Sud-Asiatique,Immigrants,83.2
2021,Canada,Chinois,"Total, 15 ans et plus",76.0
2021,Canada,Chinois,Hommes+,77.0
2021,Canada,Chinois,Femmes+,76.0
2021,Canada,Chinois,15 à 24 ans,76.0
2021,Canada,Chinois,25 à 64 ans,76.0
2021,Canada,Chinois,65 ans et plus,78.0
2021,Canada,Chinois,Non-immigrants,72.0
2021,Canada,Chinois,Immigrants,77.0
2021,Canada,Noirs,"Total, 15 ans et plus",75.0
2021,Canada,Noirs,Hommes+,77.0
2021,Canada,Noirs,Femmes+,74.0
2021,Canada,Noirs,15 à 24 ans,75.0
2021,Canada,Noirs,25 à 64 ans,76.0
2021,Canada,Noirs,65 ans et plus,76.0
2021,Canada,Noirs,Non-immigrants,76.0
2021,Canada,Noirs,Immigrants,74.0
2021,Canada,Philippin,"Total, 15 ans et plus",77.0
2021,Canada,Philippin,Hommes+,77.0
2021,Canada,Philippin,Femmes+,76.0
2021,Canada,Philippin,15 à 24 ans,74.0
2021,Canada,Philippin,25 à 64 ans,78.0
2021,Canada,Philippin,65 ans et plus,71.0
2021,Canada,Philippin,Non-immigrants,74.0
2021,Canada,Philippin,Immigrants,76.0
2021,Canada,Arabe,"Total, 15 ans et plus",76.0
2021,Canada,Arabe,Hommes+,80.0
2021,Canada,Arabe,Femmes+,72.0
2021,Canada,Arabe,15 à 24 ans,70.0
2021,Canada,Arabe,25 à 64 ans,78.0
2021,Canada,Arabe,65 ans et plus,67.0
2021,Canada,Arabe,Non-immigrants,63.0
2021,Canada,Arabe,Immigrants,79.0
2021,Canada,Latino-Américain,"Total, 15 ans et plus",78.0
2021,Canada,Latino-Américain,Hommes+,80.0
2021,Canada,Latino-Américain,Femmes+,77.0
2021,Canada,Latino-Américain,15 à 24 ans,74.0
2021,Canada,Latino-Américain,25 à 64 ans,81.2
2021,Canada,Latino-Américain,65 ans et plus,65.0
2021,Canada,Latino-Américain,Non-immigrants,76.0
2021,Canada,Latino-Américain,Immigrants,78.0
2021,Canada,Asiatique du Sud-Est,"Total, 15 ans et plus",67.0
2021,Canada,Asiatique du Sud-Est,Hommes+,75.0
2021,Canada,Asiatique du Sud-Est,Femmes+,63.0
2021,Canada,Asiatique du Sud-Est,15 à 24 ans,57.0
2021,Canada,Asiatique du Sud-Est,25 à 64 ans,69.0
2021,Canada,Asiatique du Sud-Est,65 ans et plus,78.0
2021,Canada,Asiatique du Sud-Est,Non-immigrants,59.0
2021,Canada,Asiatique du Sud-Est,Immigrants,66.0
2021,Canada,Pas une minorité visible,"Total, 15 ans et plus",80.0
2021,Canada,Pas une minorité visible,Hommes+,82.6
2021,Canada,Pas une minorité visible,Femmes+,77.0
2021,Canada,Pas une minorité visible,15 à 24 ans,80.8
2021,Canada,Pas une minorité visible,25 à 64 ans,81.6
2021,Canada,Pas une minorité visible,65 ans et plus,74.0
2021,Canada,Pas une minorité visible,Non-immigrants,80.0
2021,Canada,Pas une minorité visible,Immigrants,79.0
